total timesteps,ep_rew_mean,Progress,total_time,num_episodes,mean_int_reward,policy_gradient_loss,value_loss,icm_loss,entropy_loss,total_loss
8192,12.260380039999998,0.0%,3.2240586280822754,556,2.1321804478,,,,,
16384,12.194861799999998,0.82%,19.573041200637817,1008,0.2407874661,-0.005549076079163322,9.10140170045197,0.998295958340168,-1.4187156214378773,1.907881220777449
24576,18.99109046,1.64%,35.72458219528198,1376,0.1338096233,-0.004782990993763369,2.308335273526609,0.8686374758835882,-1.4063593878410756,1.0989927041368728
32768,45.42498145999999,2.46%,51.94958567619324,1626,0.1087174554,-0.008923143581000131,1.0584545485675334,0.8163727629464119,-1.3755243638530374,0.9213259034450655
40960,54.78324286,3.28%,67.76371669769287,1832,0.0679334249,-0.008420591602405467,1.1155533550772816,0.768091523880139,-1.3424580363556742,0.8788048002276266
49152,61.9506911,4.1%,84.47614049911499,2031,0.0468402582,-0.006345700128391846,0.8752167521277443,0.7003445259761065,-1.3132732560858131,0.7872316311760418
57344,71.54850366,4.92%,100.71787810325623,2230,0.0368216575,-0.005074993238356469,0.5783378273015842,0.6526067396393046,-1.2945571037009358,0.7099330230456273
65536,79.73131082,5.73%,117.06300187110901,2415,0.0362583243,-0.005705623357274543,0.44678771850885823,0.6257635020883754,-1.2740877190604807,0.6698717116035338
73728,75.75080236,6.55%,134.12410426139832,2588,0.032841339,-0.004856650940018137,0.3983567431219853,0.6072118447395042,-1.2563545171171426,0.6465618539577009
81920,108.63987440000001,7.37%,150.4651780128479,2728,0.038637617,-0.004561256583428807,0.4010636362014338,0.5908535931725055,-1.2405808652751147,0.630503831134306
90112,142.5803803,8.19%,166.99555373191833,2847,0.0312509611,-0.004180995344218942,0.5041663315845654,0.5777840102789924,-1.2245303738862277,0.627782543903027
98304,202.10730612,9.01%,183.31766033172607,2926,0.0316295278,-0.004396727187185566,0.4218488893588074,0.5598356008296832,-1.213026173505932,0.6015808170468453
106496,251.66821881999996,9.83%,199.29386186599731,3002,0.0255932662,-0.0033958086846033408,0.34020884674973784,0.5448234163224697,-1.2011316765099764,0.5785047201289832
114688,273.80166485999996,10.65%,215.60810947418213,3072,0.0227499459,-0.003245475419123145,0.2927839537500404,0.5251152623211965,-1.19395679756999,0.5540691101542883
122880,291.53648122000004,11.47%,231.71274280548096,3139,0.0177538298,-0.0022662606350048868,0.23075569950742647,0.5235448221908883,-1.1820224346593022,0.5463937660781304
131072,287.318652,12.29%,247.87810850143433,3204,0.0158728563,-0.0014543470064372695,0.17307359623373486,0.5027805033372715,-1.1692550444044172,0.5199424282600014
139264,283.47316073999997,13.11%,263.73021173477173,3273,0.0153664158,-0.0020734780023528034,0.1449340303966892,0.4942662117537111,-1.1506044620648026,0.5085522669931447
147456,324.17128074,13.93%,279.50726294517517,3336,0.0153698655,-0.002236271392711994,0.16787823144404684,0.47415321993175896,-1.1320018817670643,0.49071741593689244
155648,325.54565820000005,14.75%,295.03789734840393,3400,0.0145312826,-0.0021252819331273637,0.16510612723941448,0.45486781653016806,-1.11011535897851,0.4711659010607967
163840,341.45089556,15.56%,310.3818824291229,3462,0.0148305056,-0.0016000292482479077,0.16728402189910413,0.4382494369056076,-1.1006196726113557,0.45481783617069327
172032,362.88583212,16.38%,326.58300375938416,3520,0.0139049261,-0.002223098122680836,0.1351096229220275,0.43449566992931066,-1.0784765808843075,0.4477843224092453
180224,379.63675803999996,17.2%,342.918217420578,3579,0.0144392469,-0.0021846620086069723,0.1058146397175733,0.4090656194835901,-1.05012839557603,0.4194286172544867
188416,381.27726795999996,18.02%,358.957643032074,3637,0.0135536375,-0.00187605576096606,0.08227481049107155,0.3908348920987919,-1.0330227092839777,0.39887476757180246
196608,411.77173773999994,18.84%,375.0630030632019,3692,0.0133499732,-0.0015794272957270316,0.08376740818930557,0.3859718891326338,-1.0134021887555718,0.3941906872219917
204800,437.36969244,19.66%,391.2275848388672,3746,0.0128118298,-0.0016380975477848347,0.07907059996650787,0.3707576216896996,-0.9868781049735844,0.37850087193157195
