Progress,mean_int_reward,total timesteps,total_time,ep_rew_mean,num_episodes,value_loss,icm_loss,entropy_loss,policy_gradient_loss,total_loss
0.0%,1.7651811795,8192,3.4237985610961914,11.258559659999998,500,,,,,
0.82%,0.2003626227,16384,21.240484476089478,19.19432304,928,5.742782077379525,0.9553256335202605,-1.4080876756459475,-0.006896539811113411,1.5289141872771017
1.64%,0.230377946,24576,38.43456673622131,34.424211539999995,1235,2.1532334722578526,0.8138714747037739,-1.3918631810694932,-0.005152026614418442,1.0286796192681174
2.46%,0.0676558282,32768,55.43669605255127,50.78227715999999,1487,3.001960204169154,0.7891071845777333,-1.3786414452828466,-0.006008194349127317,1.088702385559736
3.28%,0.0608135543,40960,72.66132426261902,62.81820394,1682,0.794258582429029,0.7586285083089024,-1.3618941987864672,-0.006489284930340922,0.8374054380587713
4.1%,0.0394578469,49152,89.9332184791565,76.8387136,1862,0.6169445564970374,0.7390083143254742,-1.3512764466926455,-0.003652933887689848,0.800337476586409
4.92%,0.0286157582,57344,107.13943648338318,79.58096762000001,2036,0.4920935054542497,0.7142506033182144,-1.3455139245837926,-0.004373019837423827,0.763022651879897
5.73%,0.0374486118,65536,124.32095408439636,98.22138222,2175,0.38937636052723973,0.709056218736805,-1.3438051618635654,-0.004691016516048021,0.7475247531379242
6.55%,0.025329411,73728,142.02770805358887,124.11952796,2299,0.29316034449147993,0.7139776164432987,-1.340974439959973,-0.003342411000928111,0.742959409792354
7.37%,0.026584569,81920,159.37490820884705,151.12769982,2401,0.2208742933755275,0.6954279252560809,-1.329069305676967,-0.005246149714296951,0.716990739622204
8.19%,0.0245817542,90112,176.5185990333557,179.11301914000003,2486,0.18851991929113865,0.6843898156890645,-1.3176059036515653,-0.005044265163262523,0.7027373811018521
9.01%,0.017143443,98304,194.120454788208,162.98177062000002,2573,0.22015378546202555,0.6630226743407548,-1.3059706632047892,-0.0030980076167743662,0.6847282521252799
9.83%,0.0131860789,106496,211.34951162338257,168.0597847,2658,0.4234359436901286,0.6403382760472596,-1.2871701912023128,-0.0022861211417437586,0.682453258302098
10.65%,0.0104620875,114688,229.18052577972412,171.28118988000003,2742,0.3251441629312467,0.6182273718994111,-1.270235215034336,-0.00160717453235627,0.6505810707393002
11.47%,0.009935066,122880,246.62621426582336,190.97949254000002,2822,0.22856904124782887,0.5900271657854319,-1.2541952881030738,-0.0011148614865464405,0.6127725837615601
12.29%,0.0085396901,131072,263.92493295669556,191.79709931999997,2898,0.1180693449525279,0.565295000304468,-1.2336176994256676,-0.0006605666327815305,0.5770358781364426
13.11%,0.007948356,139264,281.24651861190796,192.39082154,2975,0.08768360187204963,0.5545092447428033,-1.22246407661587,-0.002314261007842748,0.5630461788292239
13.93%,0.0065997616,147456,297.9279451370239,195.46986876,3051,0.07620058215961763,0.5452071547741071,-1.2120031969621778,-0.00041879655459854583,0.5527853333346089
14.75%,0.0063079073,155648,314.7576758861542,198.15629665999998,3128,0.06650023587817486,0.5241603794274852,-1.2055629789829254,-0.0007247731730901503,0.5307379256979937
15.56%,0.0060730005,163840,331.94849014282227,197.01980768,3202,0.06373184321755616,0.5166410493431612,-1.2024115970358253,-6.355326101680553e-05,0.5230078783388153
16.38%,0.0064163978,172032,348.7746856212616,201.06453433999997,3277,0.057354780392688556,0.5288856784347444,-1.192500548157841,-0.0009048542116305307,0.5345306710528502
17.2%,0.0062358356,180224,366.05487966537476,196.02341406,3353,0.04435703454282702,0.5106903837295249,-1.1917484464123844,-0.00039290379735324994,0.5150867968040723
18.02%,0.0071759983,188416,383.1415681838989,203.06890868000002,3427,0.05135327120515285,0.5171405456028879,-1.2006714973598718,-0.00031775180418548834,0.5222440975429846
18.84%,0.0075632347,196608,400.44522976875305,206.66505422000003,3499,0.04859423232796871,0.518200042238459,-1.2097355940379202,-0.0015528546137634257,0.5229041800098796
19.66%,0.0123406992,204800,417.86006331443787,216.98846968,3572,0.0446193264014255,0.537449722015299,-1.2043902748264372,-0.0007466191532163266,0.5418369927401198
20.48%,0.0135741265,212992,434.649790763855,218.89662074,3644,0.08123362593669299,0.5215394015191123,-1.1978789810091257,-0.0013112866557236018,0.5295316354472093
21.3%,0.0170539913,221184,451.85314774513245,218.15206330000004,3717,0.1697022441188892,0.5273157018702477,-1.1965778688900173,-0.0019743565160143454,0.5440884906305351
22.12%,0.0164420229,229376,469.4403393268585,233.35805575999998,3790,0.23335946346342099,0.5316945846425369,-1.1979360469616949,-0.002517955883019572,0.554778735400577
22.94%,0.0134193646,237568,486.8162167072296,230.49681878000004,3863,0.2460680795724329,0.5361418498912827,-1.1817338677123188,-0.0014372565452956346,0.5606049321939963
23.76%,0.0121846476,245760,503.9711661338806,229.86650254000003,3937,0.13985722637899017,0.503318373253569,-1.1709936001338064,-0.0009558487562970272,0.5172085110158383
24.58%,0.0115459102,253952,520.4418063163757,226.34919996000005,4010,0.09025545563872583,0.5139258384471759,-1.1587936869822442,-0.0003997663934151182,0.522911407371707
25.4%,0.0107302817,262144,537.5371522903442,232.93228056,4083,0.04959921884728828,0.5037719258107245,-1.1555583168752492,-0.001673845595045612,0.5085644631359487
26.21%,0.0100927797,270336,554.4158101081848,236.81474306000004,4154,0.04941480478773883,0.4939957900904119,-1.1437088304199279,-0.0014401204775502127,0.4987932585214307
27.03%,0.0080227643,278528,571.6013586521149,242.08231973999997,4223,0.0564825054445464,0.49179266332648697,-1.1296013490296901,-0.00046135328804409786,0.49739477854213715
27.85%,0.007647164,286720,588.7644069194794,242.27079532000005,4295,0.04688592959209927,0.4796316592255607,-1.110710148420185,0.00028093799896469686,0.4843483459846672
28.67%,0.0069015459,294912,605.6499915122986,245.96663254000003,4366,0.05008450711106889,0.45800136723555623,-1.097218254301697,0.00023671777998377814,0.4630334897246615
29.49%,0.0064981512,303104,622.4997227191925,245.12104107999997,4435,0.04242745889332582,0.4421983577311039,-1.0901983129791915,0.0004951091691281937,0.4464906145373493
30.31%,0.006442719,311296,639.2222909927368,244.39409377999996,4506,0.039287672473119525,0.44412098852917553,-1.1018121914006769,0.0004106187414233033,0.4480908176506298
31.13%,0.0063921977,319488,656.3427543640137,244.87027692,4576,0.03478981164853394,0.46649055075831714,-1.1023776797577738,4.68029037045823e-05,0.46997421221354096
31.95%,0.006724144,327680,673.4022109508514,245.81478184,4645,0.03303072900998814,0.4513839516090229,-1.100338464602828,-0.0003420711091691326,0.4546528173991048
32.77%,0.0077207453,335872,690.1463813781738,244.87094752000002,4716,0.029289274608595407,0.4529279005713761,-1.0907304943539202,-0.00014370922188360318,0.45584245711004723
33.59%,0.0066912382,344064,707.0352303981781,244.27445590000002,4785,0.034312368632618016,0.4420198785373941,-1.0765919061377645,0.0003106054973548327,0.44548217595039147
34.41%,0.0067512702,352256,723.6055119037628,243.20993923999998,4857,0.029558563074715494,0.4341236083069816,-1.0752989958040415,2.279627133513133e-05,0.43708174424158663
