Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,entropy_loss,policy_gradient_loss,icm_loss,value_loss,total_loss
0.0%,8192,2.5664181702,464,12.69884752,3.6490068435668945,,,,,
0.82%,16384,0.2300229097,859,16.473527179999998,22.875455617904663,-1.4099045161157846,-0.007529096729683535,0.996792256180197,10.737300703674554,2.069769416874684
1.64%,24576,0.1390280548,1150,33.528404939999994,40.137187480926514,-1.389849055558443,-0.005936254500184106,0.8344227077905089,1.4907668025698513,0.9829057625974755
2.46%,32768,0.0822641591,1375,49.10357510000001,57.267908573150635,-1.367977322358638,-0.006551434131736267,0.7928148955572396,1.1248922680970281,0.904648978953769
3.28%,40960,0.0610344845,1559,77.23196706,74.01640009880066,-1.3472776691429318,-0.005582297314323945,0.7547177837695926,0.8182670826790854,0.8359862623060689
4.1%,49152,0.0480268807,1684,123.3184091,91.25657796859741,-1.3261632430367172,-0.005263356636533477,0.7095776217756793,0.5932623563800007,0.768377521750026
4.92%,57344,0.0328268779,1803,130.48119594,109.17316770553589,-1.3045090972445905,-0.003666894648091646,0.675723718223162,0.4578261895221658,0.7211396477105694
5.73%,65536,0.0238082671,1924,143.16237674,126.44681763648987,-1.2970249288715423,-0.002188767465434169,0.6477361229481176,0.38756718606455254,0.6862739648080295
6.55%,73728,0.0210012706,2032,152.93860189999998,143.74596977233887,-1.2936483246274293,-0.0029631277347342802,0.6417959152720869,0.281358782958705,0.669635480794484
7.37%,81920,0.0215809644,2136,166.6998444,161.40120124816895,-1.286447122786194,-0.0016031369683786093,0.6373812032397836,0.15901208533614408,0.6531220980765602
8.19%,90112,0.0187524057,2235,183.2467141,178.67622113227844,-1.274833002127707,-0.0021454546190788114,0.6325814625015482,0.13426375117560382,0.6457932921572007
9.01%,98304,0.0157889189,2330,194.44189898000005,195.5281844139099,-1.2681208029389381,-0.0015541579570884743,0.6094204230699688,0.1171828976701363,0.6209832970412735
9.83%,106496,0.0163654727,2423,200.30227431999995,212.45798587799072,-1.2541670549660922,-0.001911148646768214,0.5905055094743148,0.09775688172958326,0.6000900827825963
10.65%,114688,0.0155667268,2512,209.87356921999995,229.8436291217804,-1.2335535597987473,-0.001099011151100289,0.5724818711634725,0.09301488256896846,0.5816734583052593
11.47%,122880,0.0168745798,2596,224.68944869999999,247.02717876434326,-1.228928988520056,-0.0016256665429438706,0.5472279166569933,0.08019015021018276,0.5550843650237173
12.29%,131072,0.0140429142,2679,234.48709910000002,264.2307207584381,-1.2222240931354462,-0.0014413508272894493,0.5590409057447687,0.07663495870983753,0.5665602665330235
13.11%,139264,0.0138305228,2762,234.33162366,281.8397464752197,-1.20643143504858,-0.0010282002210455048,0.5499968672171235,0.073949876849656,0.5572890348799845
13.93%,147456,0.0138723808,2842,246.93902021999997,298.75606083869934,-1.1939717686735094,-0.0009009070105225746,0.5334964035078883,0.0707942065608222,0.5404857334629183
14.75%,155648,0.0147851495,2918,262.5802393199999,315.96099066734314,-1.1872858688235284,-0.002405795042552178,0.517530089430511,0.07924940337179578,0.5252144502634353
15.56%,163840,0.0153069465,2994,261.63447516,333.1411521434784,-1.1694437755271792,-0.0005649091741962398,0.5137041065376252,0.06786362513921632,0.5204339781341272
16.38%,172032,0.0170231831,3067,268.025892,350.0678253173828,-1.1588626025244593,-0.0014231214506935557,0.4857632631668821,0.07153064945196093,0.49277401596700887
17.2%,180224,0.0168581232,3139,285.75710566000004,367.1294410228729,-1.1455165473744273,-0.0009824196069590076,0.4814164515817538,0.07375034269934985,0.4886932438909929
18.02%,188416,0.0208831647,3211,293.41017638,384.4204967021942,-1.1320079680532218,-0.0007937877799055989,0.4751586403697729,0.06657746988785221,0.48173700858056756
18.84%,196608,0.0159387889,3279,297.7772063,401.40634846687317,-1.1234880110248924,-0.0012512413420440638,0.4701346101472154,0.06751684269620455,0.4767611702826315
19.66%,204800,0.0200914857,3348,318.36154978,418.30432415008545,-1.105725598242134,-0.0018372008357395466,0.4567833222914487,0.06270786717905139,0.46287038892577986
20.48%,212992,0.0186437074,3418,294.65954714000003,435.34831738471985,-1.0909345119260252,-0.0010513989424584492,0.4336325648706406,0.07108835289000126,0.44063626026539493
21.3%,221184,0.019127724,3482,337.7359822,452.99898958206177,-1.0752881184220313,-0.0014558700643214565,0.42700667267199605,0.11396142939120182,0.4382572286046841
22.12%,229376,0.0183728249,3546,341.10784187999997,470.5012092590332,-1.0633827525191009,-0.0019189410485944795,0.4121765218442306,0.07003507133013046,0.41898813487238423
22.94%,237568,0.0143410698,3609,339.53031103999996,487.87630915641785,-1.0586480785161256,-0.0005246053063830595,0.4037994736805558,0.0691952224871784,0.41066653539863535
23.76%,245760,0.0142216642,3670,353.56175776,505.0301158428192,-1.0437185850925743,-0.0015456054266022616,0.40604693156201394,0.06947255458799191,0.41283962647815287
24.58%,253952,0.0161007915,3730,373.3762427800001,522.1693925857544,-1.0250767270103096,-0.0007739036467348634,0.39175802674144505,0.0652134297954035,0.3982019793563119
25.4%,262144,0.0151889798,3790,371.15397648,539.2323615550995,-1.004024507617578,-0.002143179983904985,0.371305624069646,0.06776587547137751,0.37786789361839324
26.21%,270336,0.0144073789,3848,394.25821666,556.5572061538696,-0.9841758193913848,-0.0012685511256306666,0.3582911361241713,0.07267566843293025,0.3654318478549013
27.03%,278528,0.0135877388,3904,410.6714187,573.7300629615784,-0.9569437240250409,-0.0011320726052250056,0.3469531972776167,0.06376248798260349,0.3532162388153545
27.85%,286720,0.0140570969,3957,456.02813581999993,590.2513236999512,-0.9375776291824878,-0.0016291291494883217,0.33457062671659515,0.06435550079040694,0.340843263880687
28.67%,294912,0.0134971372,4006,498.05543068,607.232565164566,-0.9151763813104481,-0.0008339270417136018,0.32136383942561225,0.06666619604402513,0.32794706632584336
29.49%,303104,0.0129057728,4051,514.0985625999999,624.4435167312622,-0.893749074311927,-0.0016451390735948753,0.3072783826850355,0.05351945467955375,0.31246581424563136
30.31%,311296,0.0134233022,4097,559.80553922,641.6317579746246,-0.8843605037778616,-0.0010176248647365796,0.297530505573377,0.043545677364090804,0.30178331082331245
31.13%,319488,0.0136983283,4139,579.6660986,658.3846452236176,-0.8634050391148775,-0.001595045935588231,0.2907585448585451,0.04106521700596204,0.2947055619655824
31.95%,327680,0.0139688214,4181,591.46645668,675.7860403060913,-0.8444352338090539,-0.0002639438327286946,0.27292689722962676,0.03569021185794554,0.2764695240321484
32.77%,335872,0.0129219358,4222,594.18895088,692.7110133171082,-0.8365939688403159,0.0003644168207193536,0.27115037629846483,0.043568811763361734,0.27554369915687293
33.59%,344064,0.0135554317,4264,612.4214333,709.4502544403076,-0.8146054895129055,-0.0013962808757777168,0.27271675210213286,0.03265909589608782,0.27584303360416385
34.41%,352256,0.0128607199,4303,643.19386366,726.612321138382,-0.7904029832221567,-0.000217129466215037,0.2580174317001365,0.03873880447354168,0.26186959920086916
35.23%,360448,0.0127260006,4340,670.5503264,743.2640914916992,-0.7621298010461033,-0.0006006106506975033,0.2450989524484612,0.03152838526184496,0.248191729909576
36.04%,368640,0.0119828557,4377,700.19478576,759.8439180850983,-0.7319642001297325,-0.00036078741768294606,0.2347813015570864,0.030716310320349292,0.23781685384735302
36.86%,376832,0.0114510512,4415,686.0809700799999,776.9674961566925,-0.7189260108396411,0.0010015741033051,0.22250660518184304,0.030849002050308626,0.2256916627972044
37.68%,385024,0.0113064316,4451,723.94396688,794.3629553318024,-0.7053532695397735,-0.0008934807907413709,0.2165448168409057,0.028689246108478984,0.21932439337267945
38.5%,393216,0.0112419201,4488,736.8221843799998,811.5464351177216,-0.6831050264649093,0.0010201945797120003,0.21016789244022221,0.026474984854939976,0.21291741038368742
39.32%,401408,0.0112917119,4521,786.82453216,828.3443429470062,-0.6529128245543688,0.0036224875420511637,0.20405473593855278,0.04699296733451774,0.20911628142620967
40.14%,409600,0.0112760718,4552,846.7198588400001,844.8609600067139,-0.6272168850526214,0.0005045435449902423,0.19183223764412105,0.020471221597108524,0.19392981415833094
40.96%,417792,0.0105651073,4585,832.09880458,861.9490423202515,-0.6160810047294945,0.0006302207788576747,0.18167277115862818,0.018228099398311316,0.18355860317634506
41.78%,425984,0.010577729,4614,869.0064837,878.5717775821686,-0.6062454831320793,-9.678667619888595e-05,0.1851689779374283,0.02918078134116513,0.1880773774039249
42.6%,434176,0.0115750299,4642,975.7774608600001,895.6905324459076,-0.5956736267544329,0.0017519196575278221,0.17875977457151748,0.016684549434739893,0.18060342148074424
43.42%,442368,0.0108611435,4667,1045.18364006,912.347118139267,-0.5797390090767294,-0.00033912522877302593,0.1803584219131153,0.016760816613168573,0.18200059105155483
44.24%,450560,0.011063038,4689,1156.2622767399998,929.0270125865936,-0.5657045308034867,0.0007836062634694236,0.1728246984013822,0.013728107295446535,0.17427586975727377
45.06%,458752,0.0105581152,4709,1250.08750378,946.3228895664215,-0.5501085521653295,0.000687046521211605,0.16758435454685242,0.022829053048644708,0.16993596450383802
45.88%,466944,0.0112332576,4728,1363.70671942,963.0632901191711,-0.5252742169890553,0.002840815002456326,0.16729509258875624,0.010774052690339885,0.16865657935803585
46.69%,475136,0.0108173955,4741,1537.2707535200002,980.0238642692566,-0.5060861942823977,0.0020683793700399986,0.1544410198868718,0.018861079517500913,0.1565339657756259
47.51%,483328,0.011823207,4752,1790.9345429800003,996.9217631816864,-0.4943279898026958,0.0021192421486572414,0.1525847276672721,0.016895123578342462,0.15448616423997205
48.33%,491520,0.0111967676,4761,1994.0008413199998,1013.9705128669739,-0.4881114596500993,0.00132677693051446,0.14814254547818564,0.0735560318125863,0.15563082635249573
49.15%,499712,0.0108839782,4770,2225.1333184399996,1030.7971794605255,-0.49077148609794674,0.0016037368954294605,0.14930156539776362,0.08202227569199749,0.15766416665650632
49.97%,507904,0.0106244248,4778,2458.0728763599996,1047.7316310405731,-0.49738134602084755,0.0058448714874075065,0.1501656944397837,0.06454786648355366,0.15720496823687982
50.79%,516096,0.0096032278,4789,2597.81868414,1064.3696765899658,-0.4830306604038924,0.002146161791506914,0.1497281530930195,0.06214901616986026,0.15615767088915622
51.61%,524288,0.0098111435,4799,2633.74368264,1081.1904408931732,-0.491271549416706,0.0015986144537004214,0.14360170800937339,0.061066981428484726,0.14986826759759192
52.43%,532480,0.0093396345,4807,2688.38629894,1098.3885855674744,-0.507793556409888,0.0009613827247443526,0.1484220583923161,0.060496500169392675,0.1545678466817298
53.25%,540672,0.0085031645,4818,2655.05911242,1114.7425136566162,-0.5091218588408083,0.0007837126406957651,0.14983888594433664,0.050556926325407404,0.15497294984094698
54.07%,548864,0.0076263756,4826,2653.14743786,1131.676626443863,-0.5108192891813814,0.0040786400274280725,0.1449173394765239,0.06585974605586671,0.1519111780848534
54.89%,557056,0.0074511768,4834,2674.06084096,1148.5762312412262,-0.51188435270451,0.0013961371720527499,0.1478984691610094,0.05716710572360171,0.15375479345057488
55.71%,565248,0.0070650562,4844,2713.1545107,1165.326088666916,-0.5148903135210275,0.0016725550688523078,0.1472032569872681,0.04969515034963479,0.15234002752911682
56.52%,573440,0.0066404933,4853,2686.7949412399994,1182.0781362056732,-0.5215641011949629,0.001749494222194868,0.14667209638864734,0.05088909145451907,0.15193595495631873
57.34%,581632,0.0068242174,4862,2702.12509618,1199.051922082901,-0.5380341979209333,0.00040845542734781984,0.1491003977309447,0.060312428277575235,0.15517248610143697
58.16%,589824,0.0060276078,4870,2813.6298107200005,1216.4387590885162,-0.5380455704405904,0.0003312758353028648,0.16127183845965193,0.038769322410280437,0.16518189828421023
58.98%,598016,0.0062038805,4878,2817.5753449799995,1233.1543171405792,-0.5373116816394031,0.0011332156092577763,0.15148861390189267,0.050542201529151495,0.15665615561573362
59.8%,606208,0.0065318927,4887,2817.57159142,1250.2991073131561,-0.545686850976199,0.00016249289706926656,0.15360736849252135,0.03962868511243869,0.15758648629347213
60.62%,614400,0.0059192437,4895,2898.5769789999995,1266.8464922904968,-0.547686864528805,-1.6883485962678868e-05,0.15790340180974455,0.03923711287161495,0.16182542474830977
