Progress,mean_int_reward,total_time,total timesteps,num_episodes,ep_rew_mean,entropy_loss,total_loss,policy_gradient_loss,value_loss,icm_loss
0.0%,1.9443813892,3.5371408462524414,8192,461,10.61294838,,,,,
0.82%,0.2596917491,22.112622022628784,16384,810,20.65480372,-1.4094265446066856,1.9484920088867543,-0.005420955629204566,9.308797877281904,1.0181543167214842
1.64%,0.137118603,40.67856574058533,24576,1070,28.156853419999997,-1.3932028053328396,0.9645322256120391,-0.0041986186946699105,1.1215504322666674,0.8527970442548394
2.46%,0.1066558555,59.21052932739258,32768,1253,51.549947919999994,-1.3819626808166503,0.8708888546428927,-0.006485600857710811,0.6804764263797551,0.8034897720906884
3.28%,0.0778202482,77.04729986190796,40960,1390,75.73026063999998,-1.362997059058398,0.8288019414766123,-0.005946331312050744,0.503311057004612,0.7790654689073563
4.1%,0.0669237223,95.16878724098206,49152,1493,130.61470206,-1.339128909446299,0.792032147039189,-0.006277321665593335,0.45256872205063703,0.7474030070006847
4.92%,0.0512648056,112.74131226539612,57344,1577,180.40431733999998,-1.3171134496107697,0.7595514469815929,-0.004326946683181491,0.40575541990110653,0.7194085996598005
5.73%,0.0409538064,130.71911430358887,65536,1651,201.76277149999999,-1.3063714150339365,0.7128913390764255,-0.004293685785042172,0.2811393568699714,0.6852067719679326
6.55%,0.0318104247,149.34537386894226,73728,1722,216.06676646,-1.2834689303301274,0.6841464666497286,-0.0030398619430158508,0.18816351820132696,0.6656341010238975
7.37%,0.027752924,167.1637785434723,81920,1788,242.03062766,-1.2632468099705876,0.6393856169436124,-0.0021222259165980064,0.15617772074474487,0.6239800674607977
8.19%,0.0239458819,185.1010341644287,90112,1856,249.70811984000002,-1.247940497007221,0.597598709680414,-0.0021829140944719947,0.09698831516725477,0.5881181695731357
9.01%,0.0231407595,203.30929470062256,98304,1921,252.3510148,-1.246811459120363,0.5848389221796161,-0.0011796046747702827,0.10789284678030527,0.5741675979690626
9.83%,0.0234958325,221.77135062217712,106496,1984,260.5361904,-1.2399321403354406,0.5913997243699112,-0.0018637377397792588,0.10680267237185034,0.5809058309067041
10.65%,0.0222332965,241.0042028427124,114688,2044,283.64599427999997,-1.2279277965426445,0.5923131286016918,-0.0015810976108566071,0.1225969977414934,0.5802115385886282
11.47%,0.0220075278,258.773695230484,122880,2102,312.34928054000005,-1.2136424851603806,0.5728282521054889,-0.0026470097819858754,0.09116956885554828,0.5639759961981327
12.29%,0.0224566437,276.6642200946808,131072,2152,363.1579968599999,-1.1875334411859513,0.5545408123785385,-0.002392739955464485,0.11111784411768895,0.5436683019623161
13.11%,0.0215567653,294.78934812545776,139264,2206,342.41115546000003,-1.171603504102677,0.5220005498837194,-0.0021106880706125903,0.07429696146427886,0.5147819225443527
13.93%,0.0207549345,312.752977848053,147456,2252,419.42005838,-1.1596805582754315,0.5171610316935391,-0.0016393311263640613,0.11726732097304193,0.5055982327088714
14.75%,0.0200475903,330.115683555603,155648,2295,441.11364554,-1.142242619395256,0.5035013811436062,-0.0013255050257545815,0.06841858191473875,0.4967920734547079
15.56%,0.0188332432,348.5866229534149,163840,2328,532.1937483,-1.1213484675623477,0.4809550707572634,-0.001588994041958806,0.08429171236275579,0.4726847989251837
16.38%,0.0180494852,368.07659101486206,172032,2360,561.30123574,-1.10619609169662,0.4601383824549691,-0.0009470861798160891,0.05588980180982617,0.454644110891968
17.2%,0.0172894792,384.72946429252625,180224,2394,604.0758335200001,-1.0875947176478804,0.45506143690158185,-0.0016714034188792283,0.0793045355596405,0.4472981236875057
18.02%,0.0159390739,402.93242716789246,188416,2423,657.9033481799999,-1.0638889267109335,0.42780954631045576,-0.0015915116491556172,0.048508721330290425,0.42311782534234227
18.84%,0.0153952034,420.69881415367126,196608,2455,698.332047,-1.0338562002405525,0.40653817135976433,-0.0016441597503856972,0.041308409305202076,0.4025717464042827
