Progress,total timesteps,mean_int_reward,ep_rew_mean,total_time,num_episodes,value_loss,total_loss,entropy_loss,policy_gradient_loss,icm_loss
0.0%,8192,1.4623542851,47.62363746000001,3.614255666732788,1512,,,,,
0.82%,16384,0.1514195514,53.861932820000014,17.034419775009155,2905,5.593643429689109,1.4350363990312915,-1.440527943149209,-0.02005659763467705,0.8776777158258483
1.64%,24576,0.0982962562,57.25885306000001,30.246586561203003,4106,1.858211626857519,1.0721750782827768,-1.4377132896333933,-0.02401804255608959,0.8887557198526338
2.46%,32768,0.0732138698,74.65979168,43.545188665390015,5136,1.2745405392255633,0.9737366735546212,-1.3909478386864067,-0.022743996714879013,0.8485570193035528
3.28%,40960,0.0602906945,73.16396152,56.14374327659607,6076,0.8545261137420311,0.8622737347461775,-1.3058784168213606,-0.01583574217601862,0.7784046975895762
4.1%,49152,0.0509754744,84.17776906,69.35012483596802,6956,0.7355273428373039,0.7036514369879785,-1.1969092823565006,-0.015483760817971792,0.6316470787860453
4.92%,57344,0.0459160141,80.35128686,82.24333643913269,7806,0.6466016409220174,0.5651988126980714,-1.0840377298183739,-0.019162888531000385,0.5024549374589696
5.73%,65536,0.0376293179,82.10754074,95.38261651992798,8662,0.5467836754862219,0.45955080006160626,-0.987696302914992,-0.017793448536578244,0.40665177736664193
6.55%,73728,0.0371632853,97.40813313999999,110.01444292068481,9459,0.4206446155323647,0.38215644172367386,-0.8951787987723947,-0.021608734587419222,0.3422528536291793
7.37%,81920,0.0309842733,101.04004717999999,122.94401812553406,10233,0.440130590822082,0.32179450957751726,-0.8143953088670969,-0.02003748502397144,0.27978519899770615
8.19%,90112,0.0278587121,107.33066774000001,135.66996884346008,10937,0.4096301902085543,0.28452098159561795,-0.7374260334298015,-0.02094114981825243,0.24565207755658774
9.01%,98304,0.0259444542,125.49951234,148.32849216461182,11555,0.42259525100234896,0.24869903302247492,-0.6505800015293062,-0.02258845609996059,0.20869835353223606
9.83%,106496,0.0245339936,140.41562229999997,160.87294387817383,12090,0.49500651911366733,0.2178254252824451,-0.5699747885577381,-0.01730202840316759,0.17005497621139512
10.65%,114688,0.0209552953,150.00800258000004,174.72112655639648,12574,0.5105891238548793,0.19948053452140085,-0.49536424258258194,-0.018175020830203496,0.1502391242189333
11.47%,122880,0.0229061251,184.9669483,187.77278184890747,13001,0.5284862802596763,0.18396334417095658,-0.4315718463389203,-0.01549509949504695,0.13266422609449363
12.29%,131072,0.0176178991,202.63855950000004,200.574853181839,13376,0.5174054014612921,0.1675978118549853,-0.36071475185453894,-0.015616141100593511,0.11741888581891544
13.11%,139264,0.0172990419,216.00812264,214.1038579940796,13690,0.5061931782402098,0.15007738352692812,-0.2887919106520712,-0.013884899398765044,0.10084655564278364
13.93%,147456,0.0146954494,316.26020872,227.2388858795166,13957,0.5358785145217553,0.1416815883718061,-0.20481827622279525,-0.01377236202303064,0.08947097312193364
14.75%,155648,0.0140015002,330.97486932,240.03292751312256,14190,0.428484048624523,0.11639007563119508,-0.1333555002696812,-0.007250364736073281,0.0742667072423501
15.56%,163840,0.0126877785,368.71230128,252.82668089866638,14408,0.34117177448933944,0.09860618964781445,-0.0777420599013567,-0.006218619625929548,0.06511087416147347
16.38%,172032,0.0104509416,391.7508412000001,265.58052945137024,14591,0.37126668946584684,0.09692497929149538,-0.013942076172679663,-0.008316559164202977,0.06062996626133099
17.2%,180224,0.008400689,477.81014106000003,277.85986280441284,14742,0.3147493676457088,0.08384210518655646,0.038972143456339835,-0.0053033572178054255,0.05289750414376613
18.02%,188416,0.0076811966,651.32774764,291.5385253429413,14866,0.33149038220290095,0.07971735418219658,0.08549364814534784,-0.004106625684809029,0.04697897853038739
18.84%,196608,0.006414971,712.91926464,304.50768089294434,14971,0.3419831056264229,0.07557368791622167,0.13632854949682952,-0.0023314197180270236,0.04160851932538208
19.66%,204800,0.0050297263,961.5866066799999,317.7960755825043,15053,0.36139509589411317,0.07418443595665106,0.18841072814539075,-0.004677755901304246,0.03851270195737015
20.48%,212992,0.0040199049,1401.1972201199999,330.60911202430725,15109,0.28311628693481905,0.061017080122016495,0.23806148637086152,-0.0033465041075309405,0.03304010183928767
21.3%,221184,0.003445382,1915.6998896600003,342.94325828552246,15138,0.23814483254682273,0.05317198075844611,0.28094946425408124,-0.004406528483803057,0.02979815035214415
22.12%,229376,0.002979106,2784.8050658199995,355.97635078430176,15155,0.19799964740523138,0.04748703422340336,0.32331891600042584,-0.0043309362711729665,0.02812016310999752
22.94%,237568,0.0025115847,3866.1737391,368.37692046165466,15172,0.12435671913553961,0.03797717077455935,0.3669599449262023,-0.0014741079894256583,0.025688909659947967
23.76%,245760,0.0021489002,4801.78741582,380.86923909187317,15183,0.14930016071011779,0.03797631715702823,0.4156754950527102,0.0004984691086224301,0.022996454175154214
24.58%,253952,0.0019617059,5542.8806906,393.1008348464966,15194,0.10315557829162572,0.0316032573542272,0.4573029399849474,0.0047095596929484,0.02081674355576979
25.4%,262144,0.0019636339,6290.802048900001,406.74230337142944,15203,0.08455377374666569,0.02839229300063669,0.4951157151721418,0.006354128148297425,0.019301502811140382
26.21%,270336,0.0015271222,6957.10871272,419.87543177604675,15213,0.06547061176115676,0.025595538958627706,0.5350422217510641,0.01203153285773419,0.01784532449673861
27.03%,278528,0.0014259348,7670.189676540001,432.777113199234,15221,0.08017374671935613,0.025063158282846776,0.5757336319424212,0.006792395186042961,0.016366544092306867
27.85%,286720,0.0014032709,8148.94183236,445.75079560279846,15229,0.06241620799578414,0.02141849744622591,0.599338673427701,0.00461769332024185,0.01471510731462331
28.67%,294912,0.001510458,8365.2583674,459.48852252960205,15239,0.05682200350374842,0.02120414322472042,0.622633360978216,0.008682387058959575,0.014653704168449622
29.49%,303104,0.0015235213,8599.486444020002,473.06015944480896,15248,0.058578474124033164,0.020257686043584328,0.6399700419045985,0.005269375373987369,0.013872901093782275
30.31%,311296,0.0016061559,8646.99989864,485.69135308265686,15256,0.04983734311367698,0.01936254131788743,0.6415098858065903,0.007583258622757607,0.013620481144243968
31.13%,319488,0.0018468119,8147.083287119999,498.57818841934204,15268,0.04160070886441645,0.018872628090467997,0.6469226668588817,0.0055313517309198874,0.014159422030934366
31.95%,327680,0.001721822,7838.58933352,511.66383695602417,15278,0.0458865031161622,0.018884249936710392,0.6644559607841074,0.0100432726705664,0.013291272358037532
32.77%,335872,0.0015745336,7697.9087699,524.3550572395325,15288,0.031611831662121406,0.01614514837704601,0.6826639392413199,0.0028476225120439356,0.012699202959629475
33.59%,344064,0.0018460376,6466.0109580200005,537.4380822181702,15305,0.03934366998373662,0.016517469973627272,0.6761959197930991,0.0016558743408870633,0.012417515541164903
34.41%,352256,0.0020889373,4412.3610248,550.1006374359131,15330,0.04887985957502679,0.0191934990484539,0.7071694095619023,0.008238891503448528,0.013481623940606369
35.23%,360448,0.0017748752,4078.82039848,563.0497362613678,15340,0.05791334873829328,0.018421275463225986,0.7416434968821705,0.005964670248083094,0.012033473564588348
36.04%,368640,0.0017223611,4960.42319504,576.0133697986603,15350,0.02571746724361219,0.01441729369322573,0.7710466164164245,0.002031511249090544,0.011642395843955456
36.86%,376832,0.0016007328,5741.77929234,588.9452147483826,15359,0.038820898274207136,0.015049664788387887,0.7925559772178531,0.00781445519936385,0.01038612944103079
37.68%,385024,0.0015032876,6821.29350946,601.8624501228333,15369,0.03620427214536903,0.014482101102829579,0.8109553781338036,0.008266362959045677,0.010035037592388107
38.5%,393216,0.001709861,7485.586450740001,614.3163990974426,15381,0.03462608867075687,0.014159010218786494,0.8279246525838971,0.007618596624206081,0.0099345416892902
39.32%,401408,0.0016546322,7200.918810559999,626.9289076328278,15393,0.030642550208358443,0.013017216924741726,0.8563544093631208,0.005735888114541653,0.009379373092451715
40.14%,409600,0.0014919723,7188.534614339999,639.7878232002258,15403,0.029100365297745158,0.011818598238723362,0.8791419393382967,0.0019518071835526775,0.008713380990593577
40.96%,417792,0.0012928216,7039.50615712,653.2473449707031,15412,0.03149127144602062,0.012067332085365494,0.8879892081022263,0.004520085018691749,0.008466196438894258
41.78%,425984,0.0012913855,7026.583148039999,665.7746205329895,15423,0.0295894696506366,0.012382323816299293,0.9037763269618153,0.008080421274360271,0.008615334723799606
42.6%,434176,0.0013408798,7681.001624780001,678.6371672153473,15432,0.03605223814292913,0.012597524598947507,0.9104669546708465,0.009121911609208597,0.008080109623733733
43.42%,442368,0.0013095261,8346.605455,691.397718667984,15440,0.030557173393526683,0.011873227136130454,0.9189753115177155,0.006390726761182771,0.00817843712065951
44.24%,450560,0.0012212865,8226.462119340002,703.7617964744568,15449,0.026088140234560343,0.011214704629762718,0.9282582959160208,0.008537513409487022,0.007752139265357982
45.06%,458752,0.0010595047,8387.82362092,716.416624546051,15457,0.027626166962340902,0.011632198982103974,0.9237919062376022,0.009008747322058943,0.00796870755366399
45.88%,466944,0.0010643674,8594.46875374,729.1523206233978,15467,0.027731789849235612,0.011218638583674428,0.9149840453639626,0.005420232451242634,0.007903436353626603
46.69%,475136,0.001204587,7892.850406920001,741.9460952281952,15478,0.029471945340583262,0.012850707232532638,0.9197075695730745,0.016271064092504967,0.008276406289223815
47.51%,483328,0.0010240588,7853.2856275,754.497622013092,15488,0.027664481910005635,0.011764759934882369,0.9330571397207678,0.008752310549892903,0.008123080688892514
48.33%,491520,0.0011420523,7483.723034639999,767.1136858463287,15500,0.029693209950119127,0.011066580426250004,0.9518829383887351,0.005353508998861442,0.007561908531351946
49.15%,499712,0.0010872008,6943.26244342,779.506329536438,15511,0.029278615979274038,0.011511848351529987,0.977189808152616,0.009909227365471453,0.00759306401705544
49.97%,507904,0.0010844738,6676.6869912600005,792.1364252567291,15523,0.028637862608547948,0.01085818069375134,0.9990101994480938,0.009438612341886914,0.0070505331987078534
50.79%,516096,0.0010207146,6734.84916918,804.7282304763794,15534,0.03064344745048402,0.010643126781624674,1.0175493914633988,0.006682499064440739,0.006910532130132196
51.61%,524288,0.0011519105,6846.009685280001,817.3175258636475,15546,0.026313312973206847,0.009879655775171647,1.0232329063117505,0.006950542136933445,0.006553270264157618
52.43%,532480,0.0010241079,7016.3726699399995,830.5878720283508,15554,0.032786680369463285,0.010492125187086032,1.0367765825241804,0.004724821198056186,0.006740975030334084
53.25%,540672,0.0009889165,7329.70103854,843.2351694107056,15563,0.025723005358099727,0.009209688081395882,1.0603001477196812,0.005092844656495004,0.006128103079936409
54.07%,548864,0.0011623038,7526.5924261,856.5884912014008,15574,0.024746626996807207,0.009405611674974931,1.067114520445466,0.010428595590002587,0.0058880894162939516
