total timesteps,mean_int_reward,total_time,Progress,num_episodes,ep_rew_mean,total_loss,value_loss,policy_gradient_loss,entropy_loss,icm_loss
8192,1.1319255328,3.7249457836151123,0.0%,1676,45.63642906000001,,,,,
16384,0.1552943417,20.24986243247986,0.82%,3055,53.85884464,1.238661606930868,3.7515864135697483,-0.03608040013610312,-1.4392760157585145,0.8671110055875033
24576,0.0850901762,36.23503923416138,1.64%,4284,64.61636010000001,1.095299421109008,2.192023862525821,-0.029372852223642575,-1.3936682851053774,0.8790343200787902
32768,0.0622727019,52.22990274429321,2.46%,5431,64.62893215999999,0.8425369090262299,0.9560546586755663,-0.0322274176390272,-1.2905107622034848,0.7501541849225759
40960,0.0532219312,68.19993424415588,3.28%,6488,75.6458888,0.662244706845317,0.6713873285334557,-0.03498146764528039,-1.1861586578190326,0.5986041207564995
49152,0.0429048718,84.45495223999023,4.1%,7465,74.56428714,0.5552615635614652,0.6145440157968551,-0.03330201203395087,-1.0789427725598215,0.49713736318517476
57344,0.0375287019,100.94984459877014,4.92%,8341,81.71544403999998,0.4420115182266963,0.5157918669399806,-0.029849592400787682,-0.9780313902068883,0.39341729077277704
65536,0.0358394858,119.78975009918213,5.73%,9157,87.84865135999999,0.38353876946150334,0.5359758828766644,-0.024408980865868818,-0.8846779346931726,0.3323820792604238
73728,0.034652099,135.6245572566986,6.55%,9883,98.95049904000001,0.3274631780033226,0.5307339086430147,-0.025774707741808966,-0.7760018134955317,0.27696725791320204
81920,0.0280820187,151.7346384525299,7.37%,10536,110.57558509999998,0.280926237800926,0.5863743962021545,-0.024960447851810008,-0.6710270377341658,0.22478484296589157
90112,0.0275116359,167.40450525283813,8.19%,11098,129.60287156,0.24017871835835702,0.5817311496008187,-0.022370403552571926,-0.5782365459483116,0.18424264375353233
98304,0.0261454023,183.0145242214203,9.01%,11591,136.9345724,0.2170764748848125,0.6019244587281719,-0.021681721913081077,-0.4869117422262207,0.1590522012033034
106496,0.0282990697,199.89454531669617,9.83%,11984,199.0803266,0.2007827403643967,0.6982469253940508,-0.020538714175710706,-0.4056928465142846,0.13301191924256273
114688,0.0238382178,215.48954439163208,10.65%,12354,191.6271986,0.18430887733541215,0.709754336788319,-0.015375142106621479,-0.3177180621773005,0.1148709578672424
122880,0.0226435513,231.1045377254486,11.47%,12667,257.43121704000004,0.16589055875903078,0.6599090499803424,-0.013131881778352944,-0.238280862942338,0.10121284193883184
131072,0.0199127794,246.87428545951843,12.29%,12929,282.49102104,0.1373070864146233,0.5430843882262707,-0.00786747100680857,-0.17934803804382682,0.08378539469267707
139264,0.0171591833,263.1143891811371,13.11%,13159,336.53373036,0.13178936943433198,0.5826873519457877,-0.00791954329838557,-0.10353041831403971,0.07431258856959175
147456,0.014575574,278.63418984413147,13.93%,13383,340.32086898,0.10721016613120923,0.443990647548344,-0.0061489470250193365,-0.032516819052398206,0.06342599607887678
155648,0.011273783,294.13456296920776,14.75%,13588,359.0008050799999,0.08843338175775656,0.3387736856879201,-0.004384267980937336,0.02766273431479931,0.05499443998705829
163840,0.0101988785,309.914160490036,15.56%,13789,385.57027014000005,0.08123063910470608,0.3235003345471341,-0.0035886429241128613,0.08279624786227942,0.049239469942403954
172032,0.0098940833,325.9294002056122,16.38%,13989,389.98477687999997,0.07207586532779449,0.2757154851220548,-0.002546856418420547,0.1207825755700469,0.04475900245743105
180224,0.0087993026,341.17417883872986,17.2%,14189,394.01732153999995,0.06718665303038773,0.2603679401392583,-0.004895778799046288,0.16703668227419258,0.04163943689636653
188416,0.00950923,357.0443515777588,18.02%,14343,459.5464114,0.055367662233787404,0.19525853368686513,-0.0031864200454642757,0.22046583937481046,0.03616045086964732
196608,0.0072968957,372.7141535282135,18.84%,14477,571.5386915400001,0.05742967622493189,0.23310729485820048,-0.002505633704245047,0.26762568512931467,0.03436951010953635
204800,0.0067021887,388.7440016269684,19.66%,14594,667.66641304,0.05635346943400865,0.2364746665582061,0.013027372019604763,0.2969596955925226,0.031403265576227565
212992,0.0062186462,404.21407532691956,20.48%,14696,758.8980322599999,0.05479082806062359,0.25209101189975625,-0.005755937651236527,0.32550967978313566,0.03015732063577161
