Progress,mean_int_reward,total timesteps,total_time,ep_rew_mean,num_episodes,value_loss,icm_loss,entropy_loss,policy_gradient_loss,total_loss
0.0%,1.7752515121,8192,3.6001548767089844,53.690778419999994,1420,,,,,
0.82%,0.1423562953,16384,20.699127912521362,65.70631058,2676,4.204023960977793,0.8794415124924854,-1.4006249689497055,-0.027382541737486492,5.056082931732791
1.64%,0.0821660644,24576,37.25279402732849,65.94437543999999,3794,2.101499013742432,0.7873599416576326,-1.3376058634370565,-0.02134971251479594,2.8675092428852684
2.46%,0.0620812028,32768,53.76879572868347,70.29074432,4824,1.1533003059215843,0.6806054971413686,-1.2525990412570536,-0.017584435016105154,1.816321368046848
3.28%,0.0512366917,40960,70.13108563423157,81.80500768,5766,0.6739249674603343,0.5702687283046544,-1.1517505046911538,-0.02292626504659265,1.221267430718396
4.1%,0.0442932007,49152,87.0542516708374,89.58448194,6624,0.6460910599911586,0.4655429236125201,-1.0418120902962982,-0.02342603740572278,1.088207946197956
4.92%,0.0378151138,57344,103.48867845535278,88.32373297999999,7413,0.6576136091724039,0.37453640580642966,-0.9416058293078094,-0.019991189102558773,1.0121588258762748
5.73%,0.0332108839,65536,121.79369258880615,105.58139910000001,8119,0.6361950485967099,0.3128843809012324,-0.8322854150552302,-0.01889643956450014,0.9301829899334422
6.55%,0.0328425546,73728,138.32069754600525,109.34867734,8782,0.6083168288227171,0.2463033737440128,-0.7381151585839689,-0.01711016022344868,0.8375100423432812
7.37%,0.0310565591,81920,155.3146777153015,126.27611032000003,9384,0.5761903344187885,0.21238140683853998,-0.6464755025226623,-0.015529000944746837,0.7730427403125818
8.19%,0.0254948898,90112,171.7125916481018,136.6036642,9949,0.5518769245943986,0.17302836104645394,-0.5724108180496842,-0.013793129149672867,0.7111121564911796
9.01%,0.0261171391,98304,188.7456033229828,147.21859016,10464,0.5482189891743474,0.15376676819869317,-0.49699611326213927,-0.013806450526448013,0.6881793068465927
9.83%,0.0250029724,106496,204.8121693134308,177.44973206000003,10907,0.5564444938558154,0.13347024547983893,-0.42573636113665997,-0.010690062390748403,0.679224676944906
10.65%,0.0236774039,114688,221.27307415008545,192.55836320000003,11290,0.6038746710168198,0.11864835689484607,-0.3447845521382987,-0.00929350161035002,0.7132295263013158
11.47%,0.0223933297,122880,238.08788204193115,204.28443321999995,11631,0.6010805967962369,0.1003729095478775,-0.2618224286474288,-0.007925938173682166,0.6935275681704323
12.29%,0.0191225488,131072,254.41427874565125,238.44586904,11940,0.542713659396395,0.08476691535615828,-0.18571831369772554,-0.007294497700834417,0.6201860770517189
13.11%,0.0162642796,139264,271.0576100349426,330.98600855999996,12198,0.5846793938893825,0.07279768796288408,-0.10246060788631439,-0.007536758442914321,0.6499403234093523
13.93%,0.0136192375,147456,287.5828642845154,347.30723259999996,12433,0.5168968256330118,0.06449002716108225,-0.02572893463075161,-0.0038995178123739102,0.57748733498172
14.75%,0.0113025095,155648,303.6484956741333,312.51302431999994,12661,0.436166117945686,0.051540649351954924,0.03756258953362703,-0.0045004333950341,0.48320633390260675
15.56%,0.0101740273,163840,320.15708804130554,352.6869360400001,12865,0.436949191079475,0.04780309688212583,0.09144175387918949,-0.001631539072385333,0.4831207488892154
16.38%,0.009517818,172032,336.74507761001587,429.0459357,13047,0.379590278363321,0.042650898791907824,0.13705943636596202,-0.003211039389106141,0.41903013776612263
17.2%,0.0088038627,180224,352.77178382873535,473.32943174,13202,0.32699882505694405,0.03824225250864401,0.17235760735347866,-0.0006369787520477823,0.3646040988135403
18.02%,0.0074648668,188416,368.90039253234863,547.62341686,13339,0.3880347792408429,0.03679666328971507,0.21209890991449357,0.0003555494440790125,0.425186991974637
18.84%,0.0063720203,196608,385.0977966785431,508.3852048,13481,0.3551953597692773,0.03202898892486701,0.2483283649198711,0.00068642083728829,0.38791076953143255
19.66%,0.0060498768,204800,401.4395229816437,661.20690296,13593,0.31460313068237156,0.03137031402729917,0.2890527820214629,0.00026324792487280744,0.34623669263454354
20.48%,0.0053846048,212992,417.77669167518616,670.67927324,13703,0.30065525895915923,0.027598956278234256,0.3229967814870179,-0.000844604968868968,0.32740961026852455
21.3%,0.0046446582,221184,434.1675035953522,745.9556980000001,13795,0.3028599917306565,0.026445032209448983,0.35681135607883335,-0.0005902634585316724,0.3287147604815738
22.12%,0.0043200403,229376,450.0106770992279,1078.94142712,13872,0.2609095162828453,0.024672698933136415,0.39221951202489436,-0.0015733739858261857,0.2840088412301555
22.94%,0.0037700166,237568,466.6459755897522,976.7925991400001,13948,0.2592098514491227,0.022655385974940146,0.43389236577786505,0.000847758353955466,0.28271299577801823
23.76%,0.0035039847,245760,483.1010653972626,982.6405585,14025,0.2051183558476623,0.020849016099236905,0.4812910348642617,-0.002708492133696846,0.22325887981320233
24.58%,0.0031587488,253952,499.50324416160583,1357.35405488,14079,0.1794898898107931,0.018740418225206668,0.5115507486276328,-0.005506532640432288,0.19272377539556748
25.4%,0.0027150535,262144,515.8465766906738,1944.36039542,14113,0.1634170297445962,0.017899163292167942,0.5624709114432335,-0.0030095796854588243,0.17830661335130532
26.21%,0.0029277712,270336,531.5978076457977,1486.48236198,14159,0.1502381891827099,0.015722908254610958,0.596403829799965,-0.0007361379565178424,0.165224959480803
27.03%,0.0023716623,278528,547.6509869098663,2190.07822456,14187,0.1791025741142221,0.015609741033404134,0.6281513684429229,0.00014343449355920247,0.1948557496411854
27.85%,0.0021140392,286720,563.8195264339447,3106.2055115400003,14203,0.12236968622601126,0.014264655453735032,0.6710992380976677,-0.002110090864022129,0.13452425081572417
28.67%,0.0019531198,294912,579.7772426605225,3673.96624356,14221,0.08435519383710925,0.012700396158834337,0.7084564922377468,-0.0003210792925293932,0.0967345107034142
29.49%,0.0019504759,303104,595.9763720035553,3718.24977792,14244,0.10011692829866661,0.01171521751311957,0.7382350247353315,0.00040104020569483554,0.112233186017481
30.31%,0.0017802439,311296,611.9944930076599,4380.5623909,14253,0.10816573495685589,0.011557645604625577,0.7711533353663981,0.00294993564917632,0.12267331621065777
31.13%,0.0017897215,319488,628.1384792327881,5058.63810666,14264,0.06576559038367122,0.010403869984656922,0.7979380347765982,0.004975591177145888,0.08114505154547404
31.95%,0.0015326564,327680,644.4706797599792,5957.987470260001,14274,0.08512253472181328,0.009995329371304252,0.8212274252437055,0.009489959097350426,0.10460782319046795
32.77%,0.0017790112,335872,660.3142824172974,6883.187571140001,14286,0.07973471522655018,0.009341884401510469,0.8002620041370392,0.008803683578586002,0.09788028320664664
33.59%,0.0015166877,344064,676.6155595779419,7532.84704376,14294,0.07275652357438958,0.01079583759601519,0.7879802566953004,0.005598026153364971,0.08915038732376974
34.41%,0.001485734,352256,693.2378764152527,7827.611955519999,14302,0.05694787692418686,0.010643770658862194,0.7935900970362126,0.007068251939998571,0.07465989952304763
35.23%,0.0013616156,360448,709.4425492286682,8240.219638219998,14310,0.061178856379683566,0.01004775608816999,0.79679443128407,0.009098762641290314,0.08032537510914387
36.04%,0.001244966,368640,725.3398444652557,8294.3256244,14319,0.055911856392594925,0.009816511247117887,0.7992188462987542,0.005178517086439001,0.07090688472615181
36.86%,0.0014701788,376832,741.2988574504852,8244.90675072,14329,0.054668339286308765,0.009927836532369838,0.7870636169798673,0.005257979542831399,0.06985415536151
37.68%,0.002187643,385024,757.8044290542603,6919.122781800001,14348,0.07729255330405067,0.010233274141864968,0.7678304520435631,0.025115088210111457,0.11264091565602712
38.5%,0.0020723626,393216,773.5862262248993,4603.192837080001,14370,0.09744959929830657,0.011028378699484165,0.7570654868148268,0.03223919270295254,0.14071717070074327
39.32%,0.0022574876,401408,789.3747463226318,2827.4629065800004,14403,0.06870399094405003,0.011323986882780445,0.7652613392099739,0.010660897294344138,0.0906888751211746
40.14%,0.0017383584,409600,805.8302221298218,2901.0543262600004,14423,0.07173606774595101,0.010987498261602013,0.755748079624027,0.014039250337921291,0.09676281634547432
40.96%,0.0015043692,417792,822.175918340683,3937.9896726200004,14432,0.040805883616849316,0.011568446798628429,0.76926598418504,0.0027795297687907275,0.05515386018426847
41.78%,0.0014294055,425984,838.7699682712555,4952.11853724,14442,0.03778390620918799,0.010746707954604062,0.7940817785449326,0.004067295703215602,0.05259790986700765
42.6%,0.0011554614,434176,854.9743723869324,5890.381117400001,14450,0.04005990583336825,0.010247014698688873,0.8036988101899624,0.008590864480190464,0.058897785012247586
43.42%,0.0010388252,442368,871.4094800949097,6911.939984019999,14459,0.04071356209960868,0.009581668193277437,0.7961309640668333,0.004363200465341078,0.0546584307582272
44.24%,0.0009615071,450560,887.7626729011536,7960.95276128,14469,0.04286190616267049,0.010128701934809215,0.7835565434768796,0.005684070600900132,0.05867467869837985
45.06%,0.000993659,458752,904.1646480560303,8212.884568779999,14479,0.04747369801634704,0.010363261864404194,0.7786843178793788,0.00525417508136952,0.06309113496212075
45.88%,0.0012605922,466944,919.9522480964661,7480.34702898,14494,0.04476568609238711,0.009869095555404783,0.7825028663501143,0.005460534684212009,0.06009531633200391
46.69%,0.0011547573,475136,935.707439661026,7135.480362219999,14504,0.06007505638899602,0.01043904214639042,0.7927190404385328,0.004999393716888481,0.07551349225227491
47.51%,0.0011879756,483328,951.8117942810059,6511.052444980001,14516,0.047173966518221276,0.010065866975855898,0.7962132673710585,0.008242226031354206,0.06548205952543137
48.33%,0.0012960551,491520,968.2059624195099,6286.798180780001,14528,0.043471700325062555,0.0099918031020934,0.8044581092894078,0.008389575324738264,0.06185307875189422
49.15%,0.0012971971,499712,984.5185141563416,6588.396228920002,14539,0.045416731197201445,0.009918664362703566,0.8069552556611598,0.004799463430563172,0.060134858990468186
49.97%,0.0013106521,507904,1000.5055122375488,6619.729394520001,14551,0.043135945831454595,0.009908953080230275,0.8245924460701645,0.00610760612040316,0.05915250503208802
50.79%,0.0011718079,516096,1016.5704085826874,7062.215008899999,14559,0.04148341715690549,0.00964112072979333,0.8270228470675647,0.004048655036600601,0.05517319292329942
51.61%,0.001264085,524288,1032.8252816200256,7099.17564628,14570,0.037122479907429805,0.009516474838528665,0.8380622240714729,0.005823471218760795,0.05246242596471926
