Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,entropy_loss,policy_gradient_loss,icm_loss,value_loss,total_loss
0.0%,8192,1.7233613439,1861,40.07206164,3.915346145629883,,,,,
0.82%,16384,0.1284039117,3541,44.52980230000001,21.45875859260559,-1.4226149109192192,-0.01992860444847579,0.8898610177915544,4.711065428704023,5.580997842047102
1.64%,24576,0.0764918997,5042,47.445263919999995,38.87277317047119,-1.3719198497012257,-0.02388377194974862,0.8241962995612994,2.3542269623838363,3.154539489995387
2.46%,32768,0.06309119,6342,55.97414686000001,56.103434801101685,-1.279479822423309,-0.02484957609568052,0.7214366048341617,1.3836542272008956,2.0802412559393764
3.28%,40960,0.054863445,7418,65.34460278,73.51290369033813,-1.1570300242863596,-0.0343902863899709,0.5959914398146793,0.9802638286724686,1.541864982097177
4.1%,49152,0.0538399391,8320,77.87787064,90.73077607154846,-1.0068972811568528,-0.033605009599930964,0.45642321864143015,0.8910275851842016,1.3138457942257007
4.92%,57344,0.046374496,9090,97.80450425999999,108.3704891204834,-0.874834033800289,-0.025579453497561504,0.3560950969927944,0.9477311149938032,1.278246758489036
5.73%,65536,0.0421139202,9769,106.5078163,125.20584392547607,-0.7567427434958518,-0.017209967339288597,0.27874920901376754,0.8803363440325483,1.1418755857070273
6.55%,73728,0.0402806699,10373,116.01883504,142.1567792892456,-0.6482625019270927,-0.012967027286729983,0.22583973245928063,0.8239731467561796,1.0368458519287302
7.37%,81920,0.0361760213,10918,146.43661596,158.84031295776367,-0.5417237695306539,-0.01191659888510565,0.17993190214037896,0.6889335623709485,0.8569488656262216
8.19%,90112,0.0303897114,11397,151.04534494,175.9350402355194,-0.4436286424985155,-0.010963745417046634,0.14474428966641426,0.6569290034356527,0.7907095476850203
9.01%,98304,0.0294001264,11824,151.22898863999998,193.04404973983765,-0.3551760671660304,-0.009161785760546642,0.12026796145364642,0.6260270980419591,0.7371332737350589
9.83%,106496,0.0256681961,12222,185.43018281999997,210.1199028491974,-0.274976116605103,-0.007581474921448032,0.10616397022968158,0.6386331003624945,0.7372155956707281
10.65%,114688,0.0230179047,12601,206.96923804,227.01300740242004,-0.19927905509248375,-0.011489916222846239,0.08730294193082955,0.5407767863711342,0.6165898120791174
11.47%,122880,0.0178980178,12940,221.34550846,243.53514862060547,-0.12636468252167105,-0.007333953197112839,0.07784375937189907,0.47560050170868634,0.5461103078834725
12.29%,131072,0.0162729136,13258,223.15475722,260.76378083229065,-0.05411065211519599,-0.010733792394551193,0.06604632149683312,0.45762897831154986,0.5129415074138317
