Progress,mean_int_reward,total_time,total timesteps,num_episodes,ep_rew_mean,entropy_loss,total_loss,policy_gradient_loss,value_loss,icm_loss
0.0%,1.4253840985,4.236557722091675,8192,1595,47.821545619999995,,,,,
0.82%,0.1514125657,22.708741426467896,16384,3038,50.20437231999999,-1.4160625519230963,4.928648429762516,-0.02694203161826385,4.014356059581042,0.9412344017997384
1.64%,0.0865595158,40.691349029541016,24576,4300,56.28147896,-1.3687801348045467,2.611039914744596,-0.026705470895704974,1.8215693052392452,0.8161760804010555
2.46%,0.0667546371,58.058772802352905,32768,5487,59.55333058,-1.2806522646918892,1.790143042576164,-0.020491043402217617,1.0860375730786473,0.724596512899734
3.28%,0.0574983499,76.68532633781433,40960,6619,62.064923400000005,-1.162442281562835,1.2276003657880104,-0.03465810254748399,0.6631807629717514,0.599077705363743
4.1%,0.0484730259,94.25014352798462,49152,7689,67.54930696000001,-1.053349443897605,1.0020797998624786,-0.035252051569621363,0.565533135458827,0.47179871597327294
4.92%,0.0386160424,112.38981556892395,57344,8709,72.06525282,-0.9594200953375548,0.8722734363974943,-0.032882009470655005,0.5098927754675969,0.39526267040055246
5.73%,0.0368487693,130.3617045879364,65536,9657,77.14614501999999,-0.8759033975657076,0.7331496751886059,-0.03453868990575782,0.4498317674268037,0.31785659766755997
6.55%,0.0311312893,148.64535522460938,73728,10546,79.75222552000001,-0.7807813895400614,0.7154134521468503,-0.03085415673228386,0.4661280669388361,0.28013954194029794
7.37%,0.0249336959,165.63679194450378,81920,11339,88.93253832,-0.6950934649910778,0.6803230107600633,-0.02679438550706768,0.4801314832060598,0.2269859130610712
8.19%,0.0293522773,182.7370843887329,90112,12031,104.98617412,-0.6126782230567187,0.6901308559393484,-0.024638736377239973,0.5224306361749769,0.19233895614161156
9.01%,0.0268035803,200.8788402080536,98304,12634,121.42909676000001,-0.5286880620755255,0.8011715643721125,-0.01659566298746919,0.6498618593672291,0.1679053679923527
9.83%,0.0273996594,220.29363369941711,106496,13148,137.17597682,-0.4528670858591795,0.8928271691578953,-0.011483227574867073,0.7573412812314928,0.1469691155012697
10.65%,0.027660268,237.20189499855042,114688,13596,154.92565103999996,-0.38152593181002886,0.8340664422508104,-0.010163522713514202,0.7215477406047285,0.12268222435959615
11.47%,0.0242574557,255.62186431884766,122880,14018,166.91310864,-0.3040201894938946,0.9067974948442824,-0.009787569791446116,0.8082802881253883,0.10830477651034016
12.29%,0.0205697135,273.4550609588623,131072,14420,175.56160442,-0.23741678074002265,0.7994909361427548,-0.0069306608710772225,0.7121163453441113,0.09430525166972074
13.11%,0.0159436791,291.4031231403351,139264,14809,178.8378975,-0.17384538128972055,0.7150231803105749,-0.008228687536709498,0.6385206521954387,0.08473121565184556
13.93%,0.015526935,309.59433484077454,147456,15152,207.83943194,-0.12735012583434582,0.580905968554082,-0.010977768189975288,0.5207843780284748,0.07109935871558264
14.75%,0.0148340677,326.6868546009064,155648,15438,263.1565166,-0.07858541030436754,0.5751327028726415,-0.008478042876678409,0.5156233524787239,0.06798739327059593
15.56%,0.015044153,344.55829644203186,163840,15694,297.94624548,-0.0170467684045434,0.6132348642602844,-0.005022805035132774,0.5559015384409577,0.06235613085445948
16.38%,0.0126221076,362.1102042198181,172032,15935,317.79684392,0.036047201883047816,0.49163428231461487,-0.003513596057903015,0.4411730750347488,0.05397480333776912
17.2%,0.0110893041,380.1238303184509,180224,16143,358.5169346800001,0.08991968305781484,0.4625120180136909,0.00043905342044666795,0.4122536530718207,0.049819311521423514
18.02%,0.0099185274,397.9422392845154,188416,16329,421.9729813199999,0.13794527798891068,0.46253148969692165,-0.0010548683306110238,0.41984818030614407,0.04373817772138864
18.84%,0.0092103604,415.1674602031708,196608,16522,386.49327954,0.18976804064586758,0.3739874873393586,-0.00166667805646799,0.33593070299830285,0.03972346239752369
19.66%,0.0083260126,432.02158999443054,204800,16682,470.82058937999994,0.23639895990490914,0.3740681130756237,-0.0025549837958570715,0.3410824783146381,0.03554061855684267
20.48%,0.006568622,448.8187630176544,212992,16824,525.0029036999999,0.2776702938601375,0.37039689030526957,-0.0004279651996371434,0.3382779229898006,0.03254693251510617
21.3%,0.0060449352,465.3218197822571,221184,16968,490.33442537999997,0.29901448357850313,0.31367559059063976,-0.0014061235583426226,0.28619335951516406,0.02888835463381838
22.12%,0.0054003226,482.3355505466461,229376,17077,683.05451524,0.3037880854681134,0.281869803740181,-7.35391105371441e-05,0.25368862770264966,0.028254715148068498
22.94%,0.0047657141,499.53759360313416,237568,17180,709.62800788,0.3242648140527308,0.3100572624951789,-0.003340323496154569,0.2853256722795777,0.02807191371175577
23.76%,0.0046105135,515.7341303825378,245760,17264,892.7866439999999,0.35703775035217405,0.31647563521970556,-0.0007596763856217225,0.29092822871170937,0.026307082893617918
24.58%,0.0039708963,532.6905937194824,253952,17321,1396.98869278,0.3797175123356283,0.33378058092090573,0.00025674461973169136,0.3081404587137513,0.025383377587422727
25.4%,0.003581971,548.642865896225,262144,17365,1692.4839112799998,0.4165469205006957,0.2881636499140271,0.00019259997029197844,0.2644076839322224,0.0235633660115127
26.21%,0.0030551719,565.4853980541229,270336,17388,2372.87716396,0.4494490975048393,0.2544824173639812,0.0016743908594820916,0.2311905307462439,0.021617495758255244
27.03%,0.0024320859,583.2972149848938,278528,17399,3286.6768579,0.4930496370885521,0.19623922619312886,0.0013823887117812577,0.17497513836424333,0.01988169911710429
27.85%,0.002224494,600.7620842456818,286720,17416,4381.28617376,0.5364251654129475,0.14892728763331403,0.0045064519694002665,0.12698110290948533,0.017439732754428405
28.67%,0.001821034,618.1737766265869,294912,17426,5289.685436559999,0.5586522303055972,0.18827885386327853,0.00829852919833957,0.16318941998906666,0.016790904675872298
29.49%,0.0016183279,634.8804364204407,303104,17434,6154.06903924,0.5969073189422488,0.12603362508059893,0.005914402638226801,0.10442623286944581,0.015692989572926308
30.31%,0.0016053992,652.7142539024353,311296,17444,6702.037440720001,0.6233750938437879,0.10442414569622031,0.007086449398383936,0.08263280124847369,0.014704895049362676
31.13%,0.0015043556,670.6640663146973,319488,17457,6546.236293219999,0.621616596635431,0.10517362268429582,0.006624996515628425,0.08425833685923863,0.014290289309428772
