total timesteps,mean_int_reward,num_episodes,Progress,ep_rew_mean,total_time,entropy_loss,total_loss,policy_gradient_loss,value_loss,icm_loss
8192,0.788248002,1124,0.0%,7.0,3.9094645977020264,,,,,
16384,0.086840932,2062,0.82%,9.72,21.474496603012085,-1.3852209224365652,3.654346082122795,-0.01965701512919395,2.8270538728684187,0.8469492243835702
24576,0.0561941929,2825,1.64%,9.8,37.87422800064087,-1.3248330040834844,2.2343096386832793,-0.01866333873889875,1.4841948843561112,0.7687780930660665
32768,0.0453833474,3375,2.46%,15.16,54.497314453125,-1.2521710853092372,1.5885076721622036,-0.02595589789986752,0.9420438517816365,0.6724197182804346
40960,0.0347948831,3757,3.28%,24.08,71.06021237373352,-1.175514133553952,1.4557669418194947,-0.023887994346985235,0.9103864665608853,0.5692684696055949
49152,0.029286516,4035,4.1%,30.5,87.98315334320068,-1.1031828519888223,1.3018593661527484,-0.020509597631789885,0.8315973890945315,0.49077157469000665
57344,0.0245323942,4238,4.92%,40.74,104.22561550140381,-1.0276742990128696,1.0804706223979068,-0.016440723653003773,0.6699135750997811,0.4269977709511295
65536,0.0178350955,4405,5.73%,53.36,120.45829057693481,-0.9672746775206178,0.8898861440496318,-0.014196276628246126,0.5398288299096748,0.36425359076820313
73728,0.0187151792,4501,6.55%,78.06,137.15805435180664,-0.9037249598652124,0.8261687098905831,-0.015643555017056353,0.5171598042361438,0.32465246067149567
81920,0.0144312699,4567,7.37%,127.0,153.42944312095642,-0.8386860411148518,0.638107128266461,-0.011358784279104531,0.3560284990468062,0.2934374134987593
90112,0.0117587771,4596,8.19%,195.46,169.7452118396759,-0.7910853570327163,0.5035124174181284,-0.007687321994276297,0.2561663471045904,0.2550333923078142
98304,0.0095027034,4610,9.01%,313.2,185.888569355011,-0.7441755788866431,0.384945997201874,-0.008855433472046547,0.15926335839612876,0.2345380722777918
106496,0.007364755,4618,9.83%,448.48,202.62035822868347,-0.7025618667714297,0.305063084282036,-0.005796702749913965,0.10030467218457488,0.21055511484737507
114688,0.0058773629,4626,10.65%,577.16,218.95860409736633,-0.6551804345101118,0.254576301243267,-0.003773079904587736,0.0668144116345502,0.19153496951330454
122880,0.0053939346,4634,11.47%,667.48,235.33819913864136,-0.6216925396118314,0.23692631889191054,-0.0013044522371089963,0.06486962590715847,0.17336114522186108
131072,0.0053201599,4642,12.29%,795.98,251.5683581829071,-0.6088618319947272,0.21904383997942062,-0.00040310687088239964,0.058406292496738385,0.1610406543535646
139264,0.0045574846,4650,13.11%,913.28,269.058965921402,-0.5830923242028803,0.21216386752573196,0.0005870475561725154,0.05440521511154657,0.15717160485801288
147456,0.0045940722,4658,13.93%,992.4,287.82647919654846,-0.5782139616087079,0.19934323594749329,0.00016687156159020104,0.052916714886350746,0.14625964949955234
155648,0.0054048002,4666,14.75%,992.74,305.8315210342407,-0.6046177809126675,0.20093174449994314,-0.0001793169265930984,0.05051817219723489,0.15059288922930136
163840,0.0046163547,4676,15.56%,995.0,323.4117212295532,-0.6057744835969061,0.20963304493487617,0.0007279475669157203,0.04769879757382114,0.16120629979413933
