num_episodes,mean_int_reward,total_time,ep_rew_mean,Progress,total timesteps,policy_gradient_loss,value_loss,total_loss,icm_loss,entropy_loss
1510,0.8703269304,3.393885612487793,5.56,0.0%,8192,,,,,
2835,0.0738772873,23.574999809265137,5.86,0.82%,16384,-0.021216672775099275,3.114363671746105,1.1747719515650767,0.8654572516679764,-1.3891352052800356
3883,0.038858939,41.650453090667725,7.98,1.64%,24576,-0.025916624015362332,1.9426314575597643,0.9484812461964621,0.7568097628420218,-1.309060001000762
4658,0.0499911427,60.21564555168152,10.04,2.46%,32768,-0.031721633102305274,1.2401450383011252,0.7814901214803077,0.6606477809604258,-1.2108499445952474
5105,0.1083167151,76.5963613986969,16.94,3.28%,40960,-0.030374518040249127,1.3596607099752873,0.6660030566478466,0.5330744374543428,-1.1055053466930986
5393,0.0606732866,93.11617732048035,29.2,4.1%,49152,-0.02478568210348676,1.4861848349217326,0.5816335585377288,0.43549364325590434,-1.001611557137221
5582,0.0334472333,108.96467733383179,41.64,4.92%,57344,-0.01869308070592956,0.972811842802912,0.44785491138944733,0.3524430351797491,-0.9195863251574338
5717,0.0222009633,124.84483981132507,59.62,5.73%,65536,-0.009270859591843573,0.5988269364228472,0.3611262295662245,0.3021706218831241,-0.861659067356959
5821,0.0153612349,140.01627492904663,78.24,6.55%,73728,-0.004627465127005069,0.33149350419989787,0.29812603882726124,0.26543943491997196,-0.8169736660085618
5916,0.0123191148,156.68940472602844,84.04,7.37%,81920,-0.0047380311472941085,0.17814681477320846,0.2512611471526893,0.23392026879009792,-0.7742182983085513
5995,0.0100680351,173.09263968467712,99.56,8.19%,90112,-0.006002259783335404,0.14614526733348612,0.23826528896323823,0.22425098820822315,-0.7417899131309241
6069,0.008754092,189.48917651176453,113.5,9.01%,98304,-0.007899050366521,0.09251221406157129,0.21288860430664697,0.20442728793714196,-0.7240835736971348
6131,0.0081875062,204.56381464004517,130.72,9.83%,106496,-0.007454548206493531,0.07597390979644843,0.20587777110449162,0.19902583494549617,-0.7079868617467582
6171,0.0078754787,219.13282752037048,184.74,10.65%,114688,-0.011970314203442085,0.05661283431691118,0.19419716809988888,0.18973291608854198,-0.689807309769094
6184,0.0066916643,235.09919953346252,273.9,11.47%,122880,-0.013310562851982528,0.03990416083688615,0.18713494477859074,0.1844755849801004,-0.6680358149576933
6193,0.0051927519,249.42280197143555,400.84,12.29%,131072,-0.01047081811322185,0.03742375997680938,0.18031145842012708,0.17761616423376836,-0.6493417362682521
6202,0.0047262194,264.49384236335754,544.3,13.11%,139264,-0.0028229694130825337,0.09064885964762652,0.17987251447163177,0.1710899254481774,-0.620802972279489
6211,0.004208277,279.06878685951233,679.88,13.93%,147456,-0.0013960953754608614,0.09458599513345689,0.17248616545177323,0.16316717547597365,-0.5978192116133869
6220,0.0037894474,294.3023056983948,804.96,14.75%,155648,0.0002517900233695903,0.08189139295163841,0.16487032749496874,0.15665600919746794,-0.591709787864238
6228,0.0038144439,308.4651906490326,919.18,15.56%,163840,0.0006541979638148719,0.07911125582768364,0.16167200801160853,0.15369546263245865,-0.5942760405596346
6236,0.0034292851,323.5977990627289,970.52,16.38%,172032,-0.0006146245038565194,0.06649660620569194,0.16013907271099867,0.15355087454081512,-0.5741838895715773
6244,0.0034373041,338.2311894893646,980.94,17.2%,180224,0.0009209040381625202,0.060856118926403725,0.1545192912867538,0.14834158899029717,-0.5612486890517175
