total timesteps,mean_int_reward,total_time,Progress,num_episodes,ep_rew_mean,total_loss,value_loss,policy_gradient_loss,entropy_loss,icm_loss
8192,1.0899957585,3.349893093109131,0.0%,1170,7.18,,,,,
16384,0.0778777459,17.50513529777527,0.82%,2088,9.04,1.1668650230092816,3.044965221360326,-0.020349613038933383,-1.380485580302775,0.8644034621771425
24576,0.0991231147,32.700117349624634,1.64%,2632,20.46,0.8556187625321471,1.2022066835779697,-0.028072261205963393,-1.30314179090783,0.7382053202949465
32768,0.0548065966,47.83998346328735,2.46%,2974,24.52,0.7635697202713034,1.211455076513812,-0.02311063497067401,-1.219956616964191,0.6447352761169896
40960,0.0429430777,64.54980325698853,3.28%,3205,35.86,0.6189885248441194,0.7247644614661113,-0.019884377078208886,-1.1509821514599026,0.5485005164053292
49152,0.0275961791,81.57994556427002,4.1%,3343,56.28,0.5408491800014482,0.5384212636388839,-0.015523356398015581,-1.089717907924205,0.4885593892773613
57344,0.0215462825,97.35001683235168,4.92%,3448,87.3,0.45358858816277375,0.3386460163164884,-0.008319505262360702,-1.0418388121761382,0.420555937057361
65536,0.0200522683,112.90991926193237,5.73%,3524,104.98,0.390324932873414,0.21321971366996878,-0.006855151855366839,-1.004672221885994,0.3696884766919538
73728,0.0189367973,128.85989999771118,6.55%,3574,159.38,0.3740800714641496,0.1485011899669189,-0.00811016678026521,-0.9750059091020375,0.3600409691454843
81920,0.0164446102,144.28007698059082,7.37%,3607,212.84,0.3556255960490291,0.15201915283396375,-0.006631155911980267,-0.9509259395301342,0.34108679635683076
90112,0.0119505877,160.81966137886047,8.19%,3618,340.14,0.3275232183088369,0.14482749293529196,-0.007549524318315332,-0.9117451949510723,0.31379542144713923
98304,0.0092207129,176.08968782424927,9.01%,3626,464.38,0.2947570787599371,0.07126912985622766,-0.00572321542133924,-0.8695820024702698,0.28820248731644826
106496,0.0080034889,192.2395794391632,9.83%,3635,598.7,0.2753536167036275,0.06484543244496307,-0.0030475955857194826,-0.8281026246957481,0.26917383301770315
114688,0.0064296113,208.2598214149475,10.65%,3643,722.88,0.25673011445187544,0.0639136241572487,-0.0012752194499597847,-0.7881605778355152,0.2504662739811465
122880,0.0064036686,224.59956407546997,11.47%,3651,818.44,0.22990766983813474,0.054747523233845644,-0.0007500866271610083,-0.7588287820573896,0.2245079261774663
131072,0.0057867292,241.15954780578613,12.29%,3660,900.42,0.21530868050012247,0.05332398353475583,0.00025084866331207304,-0.7407551005482673,0.2099511972803157
139264,0.0052903664,258.6392910480499,13.11%,3668,933.2,0.207859403805148,0.05657788457228889,5.764355343844555e-05,-0.7185486010275781,0.20219585099257528
147456,0.0044158305,275.50938844680786,13.93%,3677,949.24,0.19908873877402092,0.0476685266910863,-0.0004952951156647499,-0.6804327277466655,0.19437141561647878
155648,0.0050840667,293.3993196487427,14.75%,3685,964.6,0.18342151556437053,0.052910188385021685,0.00033833530694183544,-0.6557283072732389,0.1780966631951742
155648,,305.8927335739136,,3685,964.6,0.17561928338305832,0.04476792917243984,-0.0008421873052968439,-0.6541679496411235,0.17122670919634403
