total timesteps,mean_int_reward,total_time,Progress,num_episodes,ep_rew_mean,total_loss,value_loss,policy_gradient_loss,entropy_loss,icm_loss
1024,1.962246221,0.3952522277832031,0.0%,20,-135.35759215000002,,,,,
2048,0.6135961562,2.4102957248687744,0.1%,40,-135.50600695,1.8698427388310506,3.191325694322586,-0.004559133335876565,-1.4047036170959473,1.5511660827323794
3072,0.3936391487,3.460031747817993,0.2%,60,-132.48874574,1.0053293246737822,0.3273663411382586,-0.004140980812581531,-1.379190620034933,0.9730067886412144
4096,0.3474409555,4.459860563278198,0.31%,80,-126.38756022000001,0.9479431495731696,0.19273447804152966,-0.0032224369142209155,-1.3541745096445084,0.9289919454604387
5120,0.314254407,5.459915399551392,0.41%,100,-119.10286664000002,0.8431749938556297,0.12808370089624077,-0.008339572779530936,-1.321819007396698,0.8312005810439587
6144,0.2479512952,6.49006986618042,0.51%,120,-108.42919702,0.7760357048367053,0.09180408989777789,-0.0011747320486279306,-1.3032003678381443,0.7669727690517902
7168,0.2192761855,7.509953260421753,0.61%,140,-100.7600656,0.7038697935223446,0.08891481440514326,-0.004439717576041412,-1.2769376449286938,0.6954222838394344
8192,0.2297741285,8.47993779182434,0.72%,160,-94.58581950000001,0.6535641482291743,0.0919687480200082,-0.004517654929310679,-1.247066181153059,0.6448190389201045
9216,0.2290014884,9.500295400619507,0.82%,184,-92.58735555999999,0.6269291253337304,0.09034934762166813,-0.0077991259906970405,-1.2198724430054426,0.6186741031706333
10240,0.1666809201,10.53026556968689,0.92%,204,-86.91736896,0.6127048740363521,0.08563139627221972,-0.005537640685374667,-1.1879688315093517,0.6046954984776676
11264,0.1389101762,11.490072011947632,1.02%,224,-80.77114834,0.5562613407045851,0.06889277347363532,-0.005854211153213905,-1.1593169420957565,0.549957484472543
12288,0.1408758463,12.479899644851685,1.13%,244,-75.90409736,0.5133151417489843,0.09123233251739293,-0.0030963218223956897,-1.1252436097711325,0.5045015406794846
13312,0.1250474317,13.410052061080933,1.23%,264,-71.41587226,0.49094820796552197,0.07018321275245398,-0.004598426419022755,-1.088727805763483,0.48438972933217883
14336,0.1191588558,14.379875659942627,1.33%,284,-68.32238882,0.4495551837647589,0.060313232912449166,-0.00128315359025809,-1.0661581475287676,0.4436521758325398
15360,0.1025875848,15.400068759918213,1.43%,304,-62.55260458,0.4350230610626578,0.055203422845806926,0.0007304844794010125,-1.0385384168475866,0.429429670330137
16384,0.0989719424,16.38997173309326,1.54%,324,-61.11038372,0.4111299991705759,0.06768415047554299,-0.002064105199811409,-1.0032165991142392,0.40456799464300275
17408,0.0981444656,17.340031385421753,1.64%,348,-61.17513601999998,0.39645455862570905,0.054926827317103744,-0.001832300453598103,-0.9690025150775909,0.3911451059393585
18432,0.0969458971,18.390031337738037,1.74%,368,-59.002748919999995,0.3614205515263714,0.05710827698931098,-0.0031268952692671084,-0.9445775151252747,0.356022413354367
19456,0.0820792393,19.36011815071106,1.84%,388,-56.40864068,0.34358343016630044,0.053077310702065006,-0.0018505969800521244,-0.9166282564401627,0.3384607587940991
20480,0.0795328843,20.28985619544983,1.95%,408,-53.10416792,0.3148382355708917,0.04552438770770095,-0.00478567166760639,-0.8847028873860836,0.31076436396688223
21504,0.0807107396,21.27989912033081,2.05%,428,-49.77746226,0.3086857360928622,0.046449674788163975,-0.003831633720477194,-0.8580161454156041,0.3044239319860935
22528,0.0713549468,22.2999370098114,2.15%,448,-47.925882599999994,0.27584078895474057,0.038717149873264134,-0.0014581177070533118,-0.8362924568355083,0.2721148857381195
23552,0.0660217676,23.300039052963257,2.25%,468,-47.671754420000006,0.29702527714572224,0.0530458745197393,0.0010994467912545623,-0.8093429431319237,0.2916107450146228
24576,0.0616887487,24.259952306747437,2.36%,488,-48.076884899999996,0.2788541706339913,0.04705877002561465,0.00018214900325092985,-0.7921709138900042,0.27413007873110473
25600,0.0629776506,25.30492377281189,2.46%,512,-48.164393340000004,0.27552308982270285,0.05328728538006544,-0.0028177833152488977,-0.7748383693397045,0.2704761396162212
26624,0.0511587652,26.28005838394165,2.56%,532,-45.80342571999999,0.26102256018213593,0.050227556290337816,-0.0031886614440809007,-0.7496426226571202,0.25631867069751024
27648,0.0522101621,27.250244140625,2.66%,552,-43.36453700000001,0.24158030009857986,0.0479237889230717,-0.002578933097501012,-0.72776800673455,0.2370458145160228
28672,0.0499777293,28.259851694107056,2.76%,572,-41.91614468000001,0.21954095412194954,0.03948739846237004,-0.0029668850209337762,-0.7012580279260874,0.21588890277780592
29696,0.0478361565,29.289862394332886,2.87%,592,-41.7765972,0.21627121605414207,0.03517625710810535,-0.0016887401435747634,-0.6844586730003357,0.21292246435768902
30720,0.0432353331,30.249767541885376,2.97%,612,-40.843349260000004,0.22277345717570315,0.03746681346092373,-0.00010581189649740423,-0.6710322834551334,0.21903735701926053
31744,0.0567758143,31.239835262298584,3.07%,632,-41.182656779999995,0.19736948247164174,0.03296646676608361,-0.0033693998548050925,-0.6491896631196141,0.19440977578051388
32768,0.0347341744,32.269967555999756,3.17%,652,-39.98106896,0.19956167037771477,0.037788338580867276,0.00029591603650895755,-0.6221639160066843,0.19575324491597712
33792,0.0395497522,33.289926290512085,3.28%,672,-39.41841494,0.1883081859141169,0.047567952424287796,0.0012336393590551735,-0.5958101563155651,0.18342802673578262
34816,0.0306807939,34.2899694442749,3.38%,696,-37.419480959999994,0.17814255656262384,0.031934429018292576,0.0007722844306836841,-0.5733681200072169,0.17487188521772623
35840,0.0329429495,35.42999601364136,3.48%,716,-35.225869839999994,0.17225969259334778,0.04147525707958266,-2.2863195179634744e-05,-0.5523657714948058,0.16811445320490748
36864,0.0317116808,36.46989440917969,3.58%,736,-34.13859354,0.16059631648523437,0.035319490532856435,-0.002856260428327691,-0.5350199723616242,0.1573499934747815
37888,0.0277402081,37.439826011657715,3.69%,756,-33.180814760000004,0.16319094827761016,0.03238689209683798,-0.0018389741469567876,-0.526513272896409,0.16013615648262203
38912,0.0277464415,38.44995594024658,3.79%,776,-31.59357932,0.147937189071719,0.031798807671293616,-0.007235328608188949,-0.5135595919564366,0.1454808411654085
39936,0.0236782996,39.369980812072754,3.89%,796,-30.145425400000004,0.14983678213398305,0.027600926885497756,0.0022738873308623293,-0.5012205597013235,0.14684930071234703
40960,0.0210459196,40.3900146484375,3.99%,816,-29.70756102,0.14067928324174173,0.02555319199746009,0.00011309947411441968,-0.4901485862210393,0.1381126540945843
41984,0.0244143796,41.4000039100647,4.1%,836,-30.406139120000002,0.14947106162280854,0.02410538020194508,0.002136660986261846,-0.47002198779955506,0.14684685750398785
43008,0.026148724,42.45995616912842,4.2%,860,-30.45511434,0.1355802037720959,0.022706543357344344,0.00027762626686051676,-0.45262637780979276,0.1332817868096754
44032,0.0193513353,43.45995235443115,4.3%,880,-30.286484820000002,0.1313180770444338,0.025672184929135256,-0.0017070553482009087,-0.4316099900752306,0.12892156408634037
45056,0.0174114779,44.46996259689331,4.4%,900,-28.17405838,0.13500669266249013,0.020074315660167485,0.006134502593237362,-0.4035516194999218,0.13238581083714962
46080,0.0170624024,45.45991611480713,4.51%,920,-27.09456408,0.1183081765585326,0.020507303212070838,-0.001410634709076668,-0.3844061284326017,0.11639850970823318
47104,0.0189862427,46.469825983047485,4.61%,940,-26.93351624,0.11988952284603291,0.021702676174754743,-0.004355143019624062,-0.3663219567388296,0.11815476953051984
48128,0.0164753693,47.40985608100891,4.71%,960,-25.914684339999997,0.11589719189743566,0.02379868483694736,-0.002527120310178945,-0.3491439730860293,0.11377003544475883
49152,0.0141123034,48.36999464035034,4.81%,980,-25.940985079999997,0.10410791197224731,0.01645054467371665,-0.0019078980243089113,-0.33104965928941965,0.10265364730730653
50176,0.0149866729,49.339786529541016,4.92%,1000,-25.24062792,0.10379504786043112,0.018039787260931917,-0.0018031105490949621,-0.3167876908555627,0.10217138018924743
51200,0.013910271,50.36000609397888,5.02%,1024,-24.9130829,0.09920624733086644,0.018667381664272398,0.0009131931466020593,-0.2953754737973213,0.09724818984977901
52224,0.013409849,51.3200888633728,5.12%,1044,-25.199620620000005,0.09724095999156654,0.017775670523406006,-0.0012256306615362458,-0.27789392601698637,0.09558595600537956
53248,0.0147473891,52.29992723464966,5.22%,1064,-25.345964119999998,0.09534966365858134,0.016726191206544172,-0.0006890257905898024,-0.26930979173630476,0.09374594711698592
54272,0.0141339416,53.310036182403564,5.32%,1084,-24.09596444,0.09442296789169152,0.01619196074170759,-0.0017931291328320128,-0.25329852662980556,0.09298308473080397
55296,0.0122382777,54.35998272895813,5.43%,1104,-22.988791799999998,0.09107740342300055,0.016714409895939752,-0.0001618109669401346,-0.23916396778076887,0.08942214353010058
56320,0.0101107576,55.25995111465454,5.53%,1124,-22.007568799999998,0.08457575835280212,0.01663941497099586,-0.0007051308704914469,-0.2193574095144868,0.08298232994275168
57344,0.0093859761,56.299960136413574,5.63%,1144,-22.458191739999997,0.07683278913609393,0.01439662148914067,-0.0021606549780991352,-0.19946838542819023,0.07560919248498976
58368,0.0112631315,57.320021629333496,5.73%,1164,-22.46862994,0.08015779735633255,0.012479518190957606,-0.0033488429271533323,-0.18679329007863998,0.07924472982995212
59392,0.0117966542,58.299805879592896,5.84%,1184,-21.936003999999997,0.08013954438834833,0.0135571636055829,0.0010137168761492482,-0.17313689459115267,0.07868245634017512
60416,0.0102374301,59.300166845321655,5.94%,1208,-21.523981799999998,0.0774557929003805,0.019096606978564523,-0.0005204774226684082,-0.16214190609753132,0.0755981799447909
61440,0.0110030646,60.32003378868103,6.04%,1228,-20.9552196,0.07550630177531126,0.017938836244866252,-0.00028996724433118877,-0.15157974790781736,0.07374141487525776
62464,0.0095367717,61.29991436004639,6.14%,1248,-21.004169140000002,0.07323636198671399,0.016066335927462205,-0.0016249759973628996,-0.14111338183283806,0.07179222599370405
63488,0.0145644059,62.28986883163452,6.25%,1268,-20.83270598,0.06942369408945168,0.014829840096354019,0.0037548361807793387,-0.13578578922897577,0.06756522646173835
64512,0.012038162,63.269866704940796,6.35%,1288,-20.819374719999995,0.07692291477019009,0.014016651766723953,0.0004919016668846131,-0.12520808447152376,0.07547205942682922
