mean_int_reward,num_episodes,total timesteps,ep_rew_mean,Progress,total_time,icm_loss,policy_gradient_loss,value_loss,entropy_loss,total_loss
2.6281833975,20,1024,-137.61853615,0.0%,0.6338441371917725,,,,,
0.698221919,40,2048,-134.6365007,0.1%,1.7143056392669678,1.2959001706913114,8.169557955632037e-05,4.744404260069132,-1.4104861095547676,1.77034876625618
0.4313424157,60,3072,-126.62833838,0.2%,2.87178897857666,0.9699990991503,-0.002526246593974892,0.2550013717263937,-1.3941684626042843,0.9952466116635418
0.3405288052,80,4096,-120.32022938,0.31%,3.9833462238311768,0.8500526724383235,-0.005854693114619995,0.1287164888344705,-1.364913547411561,0.8623388520103086
0.2773336577,100,5120,-111.98184148,0.41%,5.11426043510437,0.806848656386137,-0.007867963342244318,0.13700001733377576,-1.3248047176748514,0.8197618617852902
0.2556055181,120,6144,-105.2073297,0.51%,6.286066055297852,0.7283593835309148,-0.006270339645809161,0.10640513157704845,-1.2822536565363407,0.7383728627240387
0.2069591378,140,7168,-99.33628652000002,0.61%,7.385592937469482,0.6860231989994645,-0.0033710167616155633,0.09835804533213377,-1.244163602590561,0.6955219018565163
0.1763228406,160,8192,-92.6854884,0.72%,8.510929584503174,0.6205606302246451,-0.002508302502557243,0.09018274897243828,-1.2087752390652895,0.6293280748716332
0.1436010812,184,9216,-83.44220997999999,0.82%,9.591581583023071,0.5843737819232047,-0.00610683943245633,0.0962691354798153,-1.1782346200197935,0.5933900115279406
0.1360191437,204,10240,-80.10263474,0.92%,10.696634769439697,0.5560521520674229,-0.00271207703874888,0.10216336353914812,-1.1501155644655228,0.5659972807174628
0.1225819948,224,11264,-75.06621924,1.02%,11.813703060150146,0.518902016337961,-0.006742140503542501,0.10511886002495885,-1.1223786603659391,0.5287396882901025
0.1256528021,244,12288,-70.75106552,1.13%,12.91615891456604,0.47345195757225156,-0.004445324624268127,0.09961909358389676,-1.0922493375837803,0.48296933446821444
0.1206124946,264,13312,-69.3538198,1.23%,14.021519899368286,0.4401315408758819,-0.002253845220641864,0.07199010107433423,-1.067627614364028,0.4471051664612512
0.0953624764,284,14336,-65.51096702,1.33%,15.039979219436646,0.44283905206248164,-0.0003516929888481843,0.07645235938252881,-1.0450785141438246,0.4504491187018497
0.0972092625,304,15360,-64.27506682,1.43%,16.170539379119873,0.38234639586880803,-0.0006007957628906041,0.07651446660747752,-1.0269686244428158,0.3899377629532667
0.0943237398,324,16384,-63.11908136000001,1.54%,17.245040893554688,0.38616192108020186,-0.0032746804672542894,0.08140776213258505,-0.9999442901462317,0.39397522924673495
0.1027739772,348,17408,-64.9363365,1.64%,18.365120887756348,0.36927714198827744,-0.0021744574944540826,0.06749163329368457,-0.9783060727640986,0.3758088595682005
0.0807906221,368,18432,-64.34814048,1.74%,19.7439227104187,0.3761662938632071,-0.002301832451971952,0.08727726596407592,-0.9534834828227758,0.38466383721441744
0.0865499309,388,19456,-61.84900677999999,1.84%,20.85285449028015,0.37511082412675023,8.282837970543432e-05,0.08729023998603225,-0.9320702105760574,0.383848130963324
0.0907696908,408,20480,-59.05377582000001,1.95%,21.892536878585815,0.33712937869131565,-0.0038357184529843364,0.06420560268452391,-0.9081995533779263,0.3431663671144696
0.0797609756,428,21504,-57.088494600000004,2.05%,22.987309455871582,0.3263108958490193,0.004663321119054797,0.078163766709622,-0.8689899146556854,0.3345936046318869
0.0641818425,448,22528,-54.89608306,2.15%,24.158364295959473,0.3195484122261405,-0.002206563888031128,0.06107208688626997,-0.834836264140904,0.3254349645259644
0.0555685657,468,23552,-52.96381222,2.25%,25.34027600288391,0.2571304247248918,-0.003105287837394095,0.057818525237962604,-0.8046832252293825,0.2626017484649486
0.0597032157,488,24576,-50.413858839999996,2.36%,26.364325761795044,0.2646484470460564,-0.0045832787500734145,0.06108039407990873,-0.7792010484263301,0.27029815857903994
0.0502842869,512,25600,-48.60090565999999,2.46%,27.428990840911865,0.25538907549344003,0.0037930101669490244,0.05478541791671887,-0.7660045512020588,0.2612469183018068
0.0469901973,532,26624,-45.41237504000001,2.56%,28.417752265930176,0.25251763919368386,-0.002110013180849436,0.053270510863512754,-0.7546025700867176,0.2576336889619502
0.041573818,552,27648,-43.67328622,2.66%,29.533796787261963,0.232608858961612,-0.0030357846208689497,0.050740451260935515,-0.7352459253743291,0.23737932562561864
0.0444595722,572,28672,-43.357548140000006,2.76%,30.65303659439087,0.2232238280121237,-0.0017639122024136738,0.04556222588871606,-0.7185616604983807,0.22760365938075394
0.0435356688,592,29696,-43.97771143999999,2.87%,31.71744179725647,0.22513134800828993,-0.00040769600460340114,0.0524173031153623,-0.7075312826782465,0.23033230871936583
0.0404044078,612,30720,-43.659379040000005,2.97%,32.83229160308838,0.21238445374183357,-0.0028240137931126235,0.03714087457046844,-0.6836981866508722,0.21581613981956915
0.0399710295,632,31744,-43.26802593999999,3.07%,34.0358772277832,0.2008480371441692,-0.006136872914076852,0.045054522750433534,-0.6568973511457443,0.20473980212780488
0.0381344711,652,32768,-41.66168738,3.17%,35.28213381767273,0.19387787207961082,-0.003347175297028969,0.04644757823552936,-0.6263844491913915,0.19818791237346084
0.0370559264,672,33792,-40.73966892000001,3.28%,36.45531487464905,0.1849705793429166,-0.00248771045945509,0.054327520105289295,-0.6051180884242058,0.1901545603075
0.0245840134,696,34816,-38.77354992,3.38%,37.827120304107666,0.1739329833071679,0.00037227635007272466,0.04174718976719305,-0.5842013703659177,0.17814492991889447
0.0270208166,716,35840,-36.29136778,3.48%,39.15714979171753,0.16468712920323014,0.00028697109757753916,0.040017243154579774,-0.5644817491993308,0.16871755062844587
0.0298179761,736,36864,-37.25792224,3.58%,40.14449334144592,0.16391693148761988,-0.00019914680474731683,0.038779243419412524,-0.5471306489780545,0.1677749411490864
0.0259105828,756,37888,-37.18055752000001,3.69%,41.230499029159546,0.16103424283210188,-0.004407472702464783,0.05034706459264271,-0.5268314313143492,0.16562820202111966
0.0264255482,776,38912,-35.47562154,3.79%,42.325026512145996,0.15490843635052443,0.0030124861877317663,0.03823449680930935,-0.513592591509223,0.15903313465022856
0.0212670918,796,39936,-33.468915020000004,3.89%,43.47718954086304,0.1446958896704018,-0.0029700472262733394,0.04238768701907247,-0.5015218411572278,0.14863765364968173
0.0237016125,816,40960,-33.39112738,3.99%,44.58900737762451,0.13601835875306278,-0.0034033150965720265,0.035503393126418814,-0.47848832374438643,0.13922836655604745
0.0254193406,836,41984,-32.5388643,4.1%,45.74779987335205,0.13703864312265068,-0.006691055084703813,0.0338288334896788,-0.45971207320690155,0.1397524209631482
0.0225099531,860,43008,-31.389044220000002,4.2%,46.850024461746216,0.12522912747226655,0.0037083088301184887,0.030469302626443096,-0.4343144642189145,0.12864688861792273
0.0183534273,880,44032,-30.158839379999996,4.3%,47.93951416015625,0.11198885785415769,-0.004448862210424825,0.03322750639927108,-0.4135186509229243,0.11486672227304232
0.0181453726,900,45056,-29.34244976,4.4%,49.089359998703,0.1233654998941347,-0.0010943631854674154,0.03223409136990085,-0.3954802737571299,0.12647947271257803
0.017799195,920,46080,-29.70671656,4.51%,50.292232513427734,0.11080535349901766,0.005421899004623754,0.028769415119313635,-0.3789073624648154,0.1142244849114114
0.017750642,940,47104,-29.66636902,4.61%,51.323052406311035,0.11186565202660859,-0.0003007144551971921,0.02573235447925981,-0.3646602570079267,0.11440881602901486
0.0200597274,960,48128,-30.824205659999997,4.71%,52.46384119987488,0.10598084016237408,0.0030075518214250085,0.026796542268129997,-0.34935136465355754,0.10896124957132958
0.0172763909,980,49152,-30.791726980000004,4.81%,53.67842769622803,0.10461644944734871,-0.0011540570809360747,0.02769918776175473,-0.33097076043486595,0.10727096251543057
0.0182148936,1000,50176,-29.67767716,4.92%,54.87090301513672,0.09856904053594917,-0.00426384914128557,0.029485743973054923,-0.307014181278646,0.10109123001912611
0.0145841178,1024,51200,-28.240997719999996,5.02%,55.826905965805054,0.09160851873457432,-0.0018937147238703926,0.03353362312191166,-0.2886522840708494,0.09477250957437844
0.0162158393,1044,52224,-27.92119874,5.12%,56.9375274181366,0.09106058947509155,0.0026121575417481346,0.029059043314191513,-0.2746870992705226,0.09422770956068552
0.0138197489,1064,53248,-28.071513799999998,5.22%,57.96717953681946,0.08952716155909002,0.0010692308977575315,0.027066445793025196,-0.25773053243756294,0.0923407292281683
0.0117866151,1084,54272,-27.417466320000003,5.32%,59.089089155197144,0.0852051695692353,0.00048598731953987514,0.025851483638689388,-0.23879857920110226,0.08783891666505822
0.0093041426,1104,55296,-23.969552879999995,5.43%,60.19615888595581,0.08381111221387982,-6.488600864885973e-06,0.0217880046548089,-0.22939517349004745,0.08598926381927421
0.0096806038,1124,56320,-22.80158888,5.53%,61.248042821884155,0.078638898616191,0.002173305080701846,0.020209720423736144,-0.21743192989379168,0.0808772011666348
0.0082684412,1144,57344,-22.340368459999993,5.63%,62.36675047874451,0.08078622148605064,-0.00010284928135035861,0.021243165545456577,-0.20484799332916737,0.08290025311246124
0.009394205,1164,58368,-22.698824379999998,5.73%,63.425827741622925,0.07685311423847452,0.004213554433798224,0.021874869882594794,-0.1899263048544526,0.07946195667011383
0.0100368632,1184,59392,-23.164928299999996,5.84%,64.49591732025146,0.07456202997127548,0.001260024834768988,0.021322562301065773,-0.17450615298002958,0.07682028868485895
0.0083180199,1208,60416,-23.032809999999998,5.94%,65.54249262809753,0.07438454410294071,0.00028919982625445035,0.020103855844354257,-0.16111689992249012,0.07642384967000158
