Progress,mean_int_reward,total timesteps,total_time,ep_rew_mean,num_episodes,value_loss,icm_loss,entropy_loss,policy_gradient_loss,total_loss
0.0%,2.3930790301,1024,0.573004961013794,-139.65856940000003,20,,,,,
0.1%,0.5989965699,2048,1.7825992107391357,-138.863833075,40,3.902538165450096,1.3579741716384888,-1.4080019909888506,-0.00038025683607767447,5.260132080252507
0.2%,0.4324392683,3072,2.8862853050231934,-135.83587958,60,0.4245661785826087,0.9575902577489614,-1.3937340937554836,-0.003948132730133765,1.3782083036014363
0.31%,0.3760913524,4096,4.023408889770508,-130.76043122000002,80,0.15924483491107821,0.8785480251535773,-1.3696996998041868,-0.0037640657579811627,1.0340287943066744
0.41%,0.2437116817,5120,5.12451696395874,-126.15141832000003,100,0.10257506766356528,0.8816723795607686,-1.3386939074844122,-0.0020200936168349466,0.982227353607499
0.51%,0.2492420918,6144,6.273081302642822,-116.73413936000003,120,0.10950253740884364,0.7684265421703458,-1.3091817758977413,-0.004411897995915381,0.8735171815832741
0.61%,0.2103178052,7168,7.457154035568237,-106.70189251999999,140,0.09722722042351961,0.7084432626143098,-1.280431304126978,-0.0018576849462177986,0.8038127980916117
0.72%,0.1729152725,8192,8.612072944641113,-99.81512210000001,160,0.08600502129411325,0.6553992126137018,-1.2478751055896282,-0.0013410015312146483,0.7400632323766003
0.82%,0.1537632714,9216,9.767337799072266,-89.96266987999999,184,0.09409494890132919,0.6115129208192229,-1.2127617541700602,-0.0026651992363379414,0.7029426704842141
0.92%,0.1264973113,10240,10.91338586807251,-84.35000682,204,0.08635562285780907,0.5586192491464317,-1.1858701203018427,-0.002048344017486493,0.6429265279867542
1.02%,0.1314720408,11264,11.997289896011353,-79.93983526000001,224,0.08196218305965886,0.513659406453371,-1.1619543619453907,0.0007951381609297527,0.5964167276739597
1.13%,0.1181853033,12288,13.203651666641235,-78.51816966,244,0.08327650581486523,0.5167939076200128,-1.1353178787976503,0.0016552146570041654,0.6017256280918822
1.23%,0.1029417792,13312,14.240890502929688,-75.95310914000001,264,0.09008870465913787,0.4984040637500584,-1.1097418833523989,0.0014734894609300707,0.5899662578701264
1.33%,0.0952165774,14336,15.355679988861084,-74.498646,284,0.0744323956896551,0.47284067096188664,-1.0790940318256617,-0.0010761315243616896,0.54619693512718
1.43%,0.1038609687,15360,16.52193331718445,-71.43185696,304,0.07027195603586733,0.4461728800088167,-1.0523703526705503,0.0004905587422077485,0.5169353947868918
1.54%,0.0878533111,16384,17.752930402755737,-71.94133458,324,0.0724279218702577,0.4183114739134908,-1.0250189360231161,-0.00252093719165795,0.4882184585920905
1.64%,0.0858003312,17408,18.89153742790222,-70.05718551999999,348,0.0798834934248589,0.4093692125752568,-0.9951906120404601,0.0003120768939147196,0.48956478289403044
1.74%,0.0817782094,18432,20.012672185897827,-65.34722282,368,0.08537305891513824,0.37190449284389615,-0.9607239970937371,-0.0010420944642763289,0.45623545729475806
1.84%,0.0673596712,19456,21.12795352935791,-62.621216159999996,388,0.07587216194951907,0.3360502771101892,-0.9336365507915616,-0.0010594926649396487,0.4108629463947686
1.95%,0.0610166309,20480,22.168888092041016,-56.73710488,408,0.07320289430208504,0.32980736903846264,-0.9117805482819676,-0.002615067791042684,0.40039519554950503
2.05%,0.0661487792,21504,23.299002408981323,-56.879871279999996,428,0.07086597272427753,0.3025509021244943,-0.8937747590243816,-0.0019202779694740052,0.3714965968792978
2.15%,0.0639742248,22528,24.45525074005127,-56.53290757999999,448,0.06722710694884881,0.29820194374769926,-0.8677018582820892,-0.001106086562433956,0.36432296413411414
2.25%,0.0524800211,23552,25.69580864906311,-54.81890062,468,0.0501332085696049,0.2878142101690173,-0.8430459210649133,-0.000613593751593624,0.3373338249870286
2.36%,0.0558641293,24576,26.848230600357056,-53.83180472,488,0.05501018249196932,0.26783921266905963,-0.8274890724569559,0.00013751402209258063,0.3229869091831215
2.46%,0.0483832288,25600,27.95460033416748,-52.20466982000001,512,0.05194499995559454,0.27125985198654234,-0.8078081300482154,-0.0006780790251383591,0.32252677291699855
2.56%,0.0393843966,26624,29.111679077148438,-48.703752480000006,532,0.06015267386101186,0.27046135859563947,-0.7842041244730353,0.00129069545376869,0.33190472791042
2.66%,0.0422315967,27648,30.17920422554016,-46.48884022,552,0.039172787495772354,0.22780258464626968,-0.7671269988641143,0.00016527219145803551,0.26714064433350004
2.76%,0.0414667161,28672,31.344055891036987,-45.49402834000001,572,0.04885510602616705,0.2307877221610397,-0.7472845520824194,-0.000920400370739241,0.2787224278164675
2.87%,0.0342270137,29696,32.38822054862976,-45.15917928,592,0.04661593108903617,0.21682474808767438,-0.7211236339062452,-0.0007880978858821305,0.2626525812908284
2.97%,0.0325839726,30720,33.52868151664734,-42.376100040000004,612,0.03969624140881933,0.20680576586164534,-0.6963755069300532,0.0010516402595881667,0.24755364753005282
3.07%,0.031987615,31744,34.69475054740906,-41.867687299999986,632,0.0358159942261409,0.19355908082798123,-0.6683648061007261,-0.0027125637562528063,0.22666251129786932
3.17%,0.0302704403,32768,35.858211278915405,-40.30057754,652,0.03216453795903362,0.1836374884005636,-0.6499019879847765,-0.002394004864403116,0.2134080214951941
3.28%,0.027019449,33792,37.00752520561218,-38.65836772,672,0.0321703051449731,0.17775238177273422,-0.6320600546896458,0.00021716148574483542,0.21013984840345218
3.38%,0.0244772512,34816,38.22935247421265,-38.99144188,696,0.03688601512112655,0.17675624508410692,-0.6142897028476,0.004487274007068777,0.21812953421230225
3.48%,0.0235388594,35840,39.37728023529053,-39.56993954000001,716,0.03841765229299199,0.17222273291554302,-0.600601376965642,-0.0042756148474867,0.20636477036104833
3.58%,0.0267107403,36864,40.50182580947876,-40.11792988,736,0.03266724727291148,0.16271099250297993,-0.5888053011149168,0.0016968918738457994,0.19707513164973722
3.69%,0.0295936057,37888,41.61215424537659,-39.81247028,756,0.039902264907141216,0.1644546464085579,-0.5700885597616434,-0.0016818204328924598,0.20267509088280664
3.79%,0.0214299935,38912,42.751357078552246,-38.37954896,776,0.03458711292478256,0.14983371167909354,-0.5390703221783042,0.002137674901386344,0.18655849950526243
3.89%,0.02352096,39936,43.89597296714783,-35.41112074000001,796,0.03015091635461431,0.1409064931795001,-0.520103913731873,-0.0018140546974810498,0.16924335483663336
3.99%,0.0203276739,40960,45.040913581848145,-33.4644104,816,0.02902349225769285,0.1357799918623641,-0.5096969474107027,0.0024692090870332096,0.16727269320709015
4.1%,0.0170521186,41984,46.1814022064209,-32.35127942,836,0.027903615409741178,0.12938729848247021,-0.4937097025103867,-0.0001163122275427722,0.15717460166466862
4.2%,0.0193562162,43008,47.34524440765381,-32.120532499999996,860,0.02725366775121074,0.13985888531897217,-0.47718387050554156,0.0004594483400660797,0.167572001410249
4.3%,0.0195746783,44032,48.4698531627655,-32.4563675,880,0.02734155982034281,0.13235138170421124,-0.45753399934619665,0.003747356974968442,0.1634402984995225
4.4%,0.0217566418,45056,49.56983304023743,-33.85312246,900,0.021941092709312215,0.1231543926987797,-0.4411741029471159,0.004788849573895008,0.14988433498198692
4.51%,0.024217344,46080,50.72895789146423,-35.30348988,920,0.024128960343659855,0.12633226322941482,-0.4268791899085045,0.0029738077196569145,0.15343503129273162
4.61%,0.0215300624,47104,51.83963131904602,-34.762733499999996,940,0.02955951594049111,0.12387787876650691,-0.4078131839632988,0.0001306484196418776,0.1535680431266399
4.71%,0.0187974784,48128,52.922977924346924,-34.0892967,960,0.02994174708146602,0.11500002059619874,-0.3839763547293842,0.006736631593382214,0.15167839927104695
4.81%,0.0171529016,49152,54.05426216125488,-33.5399835,980,0.027253487569396384,0.1043624758021906,-0.36755253840237856,0.005981470946447432,0.13759743431803442
4.92%,0.016225516,50176,55.2297728061676,-31.911463819999998,1000,0.02646139558055438,0.10366195417009294,-0.3509380854666233,0.0009596828728813808,0.13108303262352872
5.02%,0.0156994834,51200,56.40045356750488,-30.490523720000002,1024,0.025192237008013763,0.10228850250132382,-0.33317566895857453,-5.142532640376352e-05,0.12742931418293382
5.12%,0.0134007627,52224,57.52409482002258,-27.71002252,1044,0.023884713169536553,0.09599921246990561,-0.3046492198482156,-0.0010233346270444026,0.11886059101239776
5.22%,0.0130305159,53248,58.648866415023804,-26.230939680000002,1064,0.02259798691375181,0.09040250553516671,-0.28276512771844864,0.0021461657550200814,0.1151466582039386
5.32%,0.0122589728,54272,59.8091242313385,-25.210962160000005,1084,0.02305284165777266,0.08361343771684915,-0.26602291595190763,0.0005109465477051234,0.10717722592232694
5.43%,0.0104207421,55296,61.03468680381775,-24.9818888,1104,0.016230814333539456,0.0853178653633222,-0.25149708334356546,0.0029148475908751196,0.10446352728773678
5.53%,0.0111164995,56320,62.103516578674316,-23.473115579999998,1124,0.01966701279161498,0.0824447720660828,-0.24039898440241814,0.002857212237306915,0.10496899709500469
5.63%,0.009523016,57344,63.243807315826416,-22.16956678,1144,0.022984371971688233,0.07873126870254055,-0.23710196278989315,0.0021332862509977416,0.10384892692522653
5.73%,0.0113250362,58368,64.41503357887268,-21.798600359999995,1164,0.020352866122266278,0.07737079280195758,-0.2254141690209508,-0.0012106355080093098,0.09651302341621455
