Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,entropy_loss,policy_gradient_loss,icm_loss,value_loss,total_loss
0.0%,1024,1.8290585191,20,-151.39702574999995,0.6266491413116455,,,,,
0.1%,2048,0.6831646949,40,-151.244309375,1.9034929275512695,-1.4198725000023842,-0.002749599338609003,1.382430906407535,1.8515440132468939,3.2312253203158203
0.2%,3072,0.4664224221,60,-144.30433198,3.02805757522583,-1.416840773075819,-0.006581070883165302,1.060141509398818,0.2349743414670229,1.2885347799826756
0.31%,4096,0.3793165051,80,-132.41859944,4.1369500160217285,-1.3942611142992973,-0.004305222641578765,0.9299012990668416,0.12672555109020323,1.052321627515466
0.41%,5120,0.3086874539,100,-124.16481276,5.358510494232178,-1.357628520578146,-0.0067612519757325315,0.8803697396069765,0.08641518111107871,0.9600236687423227
0.51%,6144,0.2685608849,120,-113.98478282,6.489040374755859,-1.320964502170682,-0.005528846562736613,0.8382706474512815,0.08539679780369624,0.9181385986922412
0.61%,7168,0.212509365,140,-105.31333732000002,7.59998083114624,-1.2806875947862864,-0.007519333302976237,0.7342494772747159,0.07788121089106426,0.804611354862804
0.72%,8192,0.2186824118,160,-96.02773434,8.72801923751831,-1.2400906905531883,-0.0024870335371027473,0.6669586533680558,0.06885039299959317,0.7333220128305462
0.82%,9216,0.1900268676,184,-88.99927335999999,9.919259071350098,-1.2066361624747515,-0.002887826730329374,0.5830765962600708,0.07833807071438059,0.658526840244122
0.92%,10240,0.1454450114,204,-80.94624644000001,10.983941793441772,-1.1707612369209528,-0.0030723073324530987,0.576488284394145,0.07219918497139588,0.6456151620330879
1.02%,11264,0.1354072686,224,-76.90360284,12.152954816818237,-1.1434707585722208,-0.0018707107484229658,0.4971972624771297,0.06601330765988678,0.5613398593885935
1.13%,12288,0.1318661141,244,-75.57259372,13.318861246109009,-1.123779458925128,-0.004233572323559066,0.47964242612943053,0.06109449517680332,0.5365033489826748
1.23%,13312,0.1068602213,264,-74.81878616,14.468461275100708,-1.0985596794635057,-0.001483874327620171,0.4846618566662073,0.06595917278900743,0.5491371551275945
1.33%,14336,0.1230688167,284,-71.85976038,15.579103708267212,-1.0707429442554712,-0.002582450895322477,0.449562001042068,0.060140209505334496,0.50711975965208
1.43%,15360,0.1018785473,304,-68.70849058,16.738962411880493,-1.0422281511127949,-0.002418612446591954,0.4063081913627684,0.06930418434785679,0.4731937632640333
1.54%,16384,0.1033934871,324,-66.18119103999999,17.97427797317505,-1.0119874710217118,0.00011800450835273198,0.39498858945444226,0.06671846483368427,0.4618250587964793
1.64%,17408,0.0907676327,348,-62.649992999999995,19.042996168136597,-0.989468383602798,-0.0066977427132880905,0.3786275931634009,0.07621688116341829,0.44814673161353114
1.74%,18432,0.0686490949,368,-59.87242933999999,20.211655378341675,-0.9684848627075553,0.0013176593447610898,0.3773982301354408,0.07799016719218343,0.45670605667238534
1.84%,19456,0.069599325,388,-56.77661952,21.388776540756226,-0.9341080645099282,-0.00018657895583391372,0.35164973558858037,0.07352955202804878,0.42499270866079525
1.95%,20480,0.0724140154,408,-53.24573914,22.467719554901123,-0.9033568948507309,-0.0016224766625534779,0.3326140968129039,0.05612369056325406,0.38711531071360444
2.05%,21504,0.0637821129,428,-50.72762686,23.724001169204712,-0.8759519327431917,0.00527987868407109,0.31048920983448625,0.04683809808921069,0.36260718660776803
