total timesteps,mean_int_reward,Progress,ep_rew_mean,num_episodes,total_time,icm_loss,total_loss,policy_gradient_loss,entropy_loss,value_loss
8192,0.52,0.0%,64.05430137500001,8,3.1129777431488037,,,,,
16384,0.01,0.27%,63.41921806249999,16,15.09156322479248,1.0586597104556859,3.2618497353831515,-0.0030409386528450254,-1.4351272884756328,4.412461927160621
24576,0.0,0.55%,60.989317833333324,24,26.8121657371521,1.015339649654925,1.4167203819898895,-0.003419104259646865,-1.4250400200486184,0.8095996731892228
32768,0.0,0.82%,55.1602093125,32,37.863823890686035,1.0080641116946936,1.0617313167491607,-0.003207824474861538,-1.3990011136978864,0.11375005905865691
40960,0.0,1.09%,51.983906425,40,49.17308282852173,0.9611081915907562,0.976516991477852,-0.00191718440152229,-1.3706647243350745,0.0346519685772364
49152,0.0,1.37%,50.741019916666666,48,60.46202230453491,0.8976246738806367,0.9014788190910789,-0.0034332726376139046,-1.3357584534212947,0.014574835696112131
57344,0.0,1.64%,48.42662980000001,56,71.34367108345032,0.8282837640494108,0.8399332510292655,-0.0031204759951148457,-1.3360440583899618,0.02953992594993906
65536,0.0,1.91%,46.11984918000001,64,82.15073442459106,0.8492891111411154,0.8522203207091363,-0.004070488855097867,-1.3146874291822315,0.014003396846237592
73728,0.0,2.18%,43.721883719999994,72,93.65701842308044,0.8200546005740762,0.8286888772999713,-0.0020559290595360625,-1.3123895497992635,0.021380411570862633
81920,0.0,2.46%,44.74301606000001,80,104.58969736099243,0.7999884958378971,0.8010451947709354,-0.0051593605793330555,-1.2762513557448982,0.01243211902474286
90112,0.0,2.73%,46.29449366,88,115.44657945632935,0.7483598309569061,0.7547355768508603,-0.0032856381964413385,-1.2543677432462572,0.01932276818079117
98304,0.0,3.0%,48.44855992000001,96,126.54996752738953,0.6922830346040427,0.6950969557514334,-0.0037629377758996545,-1.2359774569049478,0.013153717846580548
106496,0.0,3.28%,49.75326522,104,137.27069449424744,0.6943631782196462,0.6979848586768401,-0.0034729451701661514,-1.2077640902251006,0.014189251254720148
114688,0.0,3.55%,51.721070520000005,112,147.77068996429443,0.6428494195919484,0.6471083899411078,-0.0031792908737280565,-1.1774664234369994,0.014876522445774754
122880,0.0,3.82%,53.16233104,120,158.84419417381287,0.6045567684341222,0.6092110275931936,-0.002375114398562798,-1.1809169944375753,0.014058747115268489
131072,0.0,4.1%,54.72503423999999,128,169.78237056732178,0.6253346923738718,0.6339861612165455,-0.0022057000914524716,-1.1474609078839422,0.021714337868252186
139264,0.0,4.37%,55.96437217999999,136,179.99561095237732,0.5681634387001395,0.5756717885699092,-0.0003023074410319301,-1.1261768471449614,0.015621314621603233
147456,0.0,4.64%,56.92588046,144,191.00867557525635,0.5563264490570873,0.5615413511124104,-0.0023319083895415303,-1.0896599357947707,0.015093620889729209
155648,0.0,4.92%,57.98220601999999,152,201.93512988090515,0.5145863508339972,0.5206521594053255,-0.0014532574503492968,-1.0531872214749456,0.01503813204335529
163840,0.0,5.19%,59.11211884,160,212.36276626586914,0.47942612394690515,0.48577265698454825,-0.0013709623805396667,-1.0170554028823973,0.015434990836365615
172032,0.0,5.46%,61.179687539999996,172,223.37597942352295,0.4416537783574313,0.447726774527459,-0.0015525389892585703,-1.0095958217978478,0.0152510703185726
180224,0.0,5.73%,62.365873380000004,180,234.23364853858948,0.4437458083033562,0.4545576874107054,-0.00097824272316852,-0.994874757155776,0.023580243661035637
188416,0.0,6.01%,64.55248963999999,188,244.75888323783875,0.42895230269059537,0.4357167255015472,-0.0008325077744440782,-0.9603878765366971,0.015193861170791934
196608,0.0,6.28%,66.1936533,196,255.77906680107117,0.4058625051751733,0.4125165108849168,-0.0011442534372227832,-0.9289349408820271,0.015596518293932604
204800,0.0,6.55%,67.80526118,204,266.7521421909332,0.38310745945200325,0.3899644500604248,-0.0007666869920191056,-0.9211930408142507,0.01524735520088143
212992,0.0,6.83%,69.67260277999999,212,277.7080047130585,0.3816545947920531,0.38920071114484206,-0.00015347545382421346,-0.9037159736268222,0.015399183613226342
221184,0.0,7.1%,71.25487919999999,220,288.5504813194275,0.3590828353073448,0.3718147804880877,0.00464850060901281,-0.8845620379783213,0.01616688914346014
229376,0.0,7.37%,73.53114018000001,228,299.9339168071747,0.3425107603892684,0.3489133429457444,-0.0007238373735243447,-0.8580383685417473,0.014252839860000676
237568,0.0,7.65%,76.43767864,236,310.1253719329834,0.32986399261280896,0.337968025976108,0.00017358923399289663,-0.839841753989458,0.01586088825861225
245760,0.0,7.92%,78.38135670000001,244,320.8117575645447,0.3269192981533706,0.3340632863519202,-0.0008811337868794362,-0.8136958573013544,0.01605024397085799
253952,0.0,8.19%,80.62458398000001,252,331.93393087387085,0.29980726644862443,0.306694495210888,-0.0005286794564543742,-0.7806501996703445,0.014831816437435918
262144,0.0,8.47%,82.93727040000002,260,342.3436861038208,0.28461514541413635,0.29191440966913873,-0.00016218970482910678,-0.7623691362328827,0.014922907919662975
270336,0.0,8.74%,85.03653244000002,268,352.9173641204834,0.27380170142278076,0.2810982406797485,2.0083547324268018e-05,-0.7597832884639502,0.01455291141928683
278528,0.0,9.01%,87.26037016000001,276,364.42198061943054,0.28298475563060493,0.2906314419656906,0.00037855932444699075,-0.7480308044701814,0.014536254021277274
286720,0.0,9.28%,88.26971739999999,284,374.8202817440033,0.27592920013703404,0.28232026849550695,-0.0011599561880282203,-0.7290906626731157,0.015102049093002279
294912,0.0,9.56%,89.67571786,292,385.7348155975342,0.26130529704969374,0.2686929418391621,5.879427067087377e-05,-0.7007422169670463,0.01465770103759496
303104,0.0,9.83%,90.5313646,300,396.8646152019501,0.2469184919958934,0.2539902975947091,7.313692746654093e-05,-0.6670381172560156,0.013997337342698302
311296,0.0,10.1%,91.54942136,308,407.5616488456726,0.2335381368175149,0.23965462157479625,-0.000527880321719258,-0.643439919501543,0.013288730158001272
319488,0.0,10.38%,93.50748144,316,420.80217027664185,0.2228346914751455,0.22876658279037354,-0.00029006750110360254,-0.6042613500729204,0.012443917632663216
327680,0.0,10.65%,93.9475551,324,433.3590385913849,0.20498714395798742,0.2114000817987544,-0.00013419057133611428,-0.5845605941489339,0.01309425682420624
335872,0.0,10.92%,93.99155972000003,332,446.0757658481598,0.20037886803038418,0.21352593807109263,0.005434336154161809,-0.5709656971506775,0.01542546777309326
344064,0.0,11.2%,94.2098679,344,458.34188079833984,0.19940019622445107,0.21632744376873295,0.001741408277649193,-0.5641071189194917,0.03037167853326537
352256,0.0,11.47%,95.5215115,352,470.090265750885,0.19587626005522907,0.21750899906029467,0.0035906816422657728,-0.559921044204384,0.03608411472559965
360448,0.0,11.74%,95.75230527999999,360,481.9319438934326,0.19897086180280893,0.20640964061825304,0.0008062316802666421,-0.562250560708344,0.013265094270354893
368640,0.0,12.01%,96.33193338,368,494.2509686946869,0.20223674767185001,0.21197647278800433,2.354704243190623e-05,-0.5496264819987118,0.019432356147444808
376832,0.0,12.29%,95.59042271999999,376,504.87901496887207,0.18647590880282222,0.19585015209242104,0.0020155874926013314,-0.5215560217387974,0.014717311593994965
385024,0.0,12.56%,96.30013665999999,384,514.7370584011078,0.18603039814624936,0.19425420346675226,0.0007448533064772058,-0.5079492611810565,0.014957904028051416
393216,0.0,12.83%,97.35038662,392,525.5036571025848,0.17928274392616003,0.18605548757916532,-0.0002858080853680758,-0.4914447285234928,0.014117103476746707
401408,0.0,13.11%,98.49796296000001,400,536.6597127914429,0.17018914174987004,0.17626029796209639,-0.0009036425252930934,-0.4481395485345274,0.0139495974750389
409600,0.0,13.38%,99.71222569999998,408,547.9544236660004,0.1578402833896689,0.1649893148465767,0.00017404964392561282,-0.44687584494240584,0.0139499636259643
417792,0.0,13.65%,100.23407306000001,416,560.1069934368134,0.16015380137832835,0.1665932725800024,-0.0004006882340315189,-0.4243815093766898,0.013680318871411145
425984,0.0,13.93%,102.34822911999998,424,572.4971446990967,0.15264867297373713,0.1624079271625567,0.0024717647666227713,-0.39898949158377944,0.014574978844393627
434176,0.0,14.2%,104.51117756,432,583.6982836723328,0.14277287643635644,0.1517786408475762,0.0010561432711687076,-0.3609742794185877,0.015899242280102043
442368,0.0,14.47%,106.09707073999999,440,595.2118351459503,0.1303665351239033,0.14233349725476435,0.0008262563389842296,-0.33074860656633975,0.02228141158375365
450560,0.0,14.75%,106.98180022000003,448,607.6773710250854,0.11893769089365377,0.1272846714458553,0.001172154720612269,-0.30479758358560505,0.01434965166317852
458752,0.0,15.02%,107.47752236000001,456,620.3468556404114,0.11241669041337446,0.11936906075419347,-1.0407294621581076e-07,-0.2713306373450905,0.013904948827530461
466944,0.0,15.29%,108.89328347999998,464,632.5540311336517,0.10812746590236202,0.12182450104663585,0.002305114161286452,-0.24472758220508695,0.022783841965974716
475136,0.0,15.56%,109.7488546,472,644.724799156189,0.10005055546062067,0.10973542474209555,0.0026196354330952137,-0.2135012188926339,0.014130467696759297
483328,0.0,15.84%,110.79362940000001,480,656.4541492462158,0.09398596778046339,0.10520920581443453,0.0020990526327742606,-0.21355141401290895,0.018248370802393766
491520,0.0,16.11%,111.1198534,488,667.2071688175201,0.0960948962951079,0.10363240589603447,0.0011230268968501962,-0.22990332646295428,0.012828965408152726
