Progress,total_time,total timesteps,mean_int_reward,ep_rew_mean,num_episodes,icm_loss,entropy_loss,value_loss,total_loss,policy_gradient_loss
0.0%,3.0152406692504883,8192,1.8367761448,25.625903625,8,,,,,
0.82%,23.100661993026733,16384,0.1963381802,30.283507125,16,0.9324783211108297,-1.4269215578213335,9.716204522177577,1.9034742286044135,-0.006245447241736014
1.64%,42.19055700302124,24576,0.1100511883,34.79068183333334,24,0.8762130203191191,-1.4234904813580216,0.6782452974002808,0.943679864123399,-0.0035768593574812386
2.46%,58.81616806983948,32768,0.0916500203,37.294599343749994,32,0.8402519883122295,-1.409836341254413,0.2958048907399643,0.8694045507767919,-0.004279266094340173
3.28%,75.96445775032043,40960,0.0507817326,38.896237075,40,0.8241236666217446,-1.40495714712888,0.20718151607434265,0.8443205340185234,-0.005212842106554602
4.1%,96.77651476860046,49152,0.0275192706,39.6615629375,48,0.7764147338923066,-1.386159725114703,0.11711982945853379,0.7875334232726284,-0.005932935655316437
4.92%,114.73145794868469,57344,0.013742273,39.927992120000006,56,0.7481796627864241,-1.3575854220427572,0.05554148432856891,0.7528906208594346,-0.00843190359846491
5.73%,131.28465723991394,65536,0.0108012713,38.469434660000005,64,0.7043362424010411,-1.3382889745756983,0.01821029874845408,0.7054739239111107,-0.006833483647757923
6.55%,148.888245344162,73728,0.0078697122,36.0880116,72,0.6729911218862981,-1.3235957648605108,0.007846510662693618,0.6734088135411371,-0.0036695941143019954
7.37%,169.23080778121948,81920,0.0071718074,32.045794719999996,80,0.6692822673823684,-1.3196040375158191,0.004334596829676229,0.6694573484490765,-0.0025837861625962835
8.19%,186.47443175315857,90112,0.007298015,27.741164380000004,88,0.669391475780867,-1.308507321961224,0.005011204804281988,0.6695482268663552,-0.0034436939493998745
9.01%,203.01799273490906,98304,0.0106457744,24.58731026,96,0.6344588255742565,-1.2956083847209812,0.005537596463182126,0.6345275262095432,-0.00485059011031484
9.83%,223.1399369239807,106496,0.012028356,23.419532059999998,104,0.6392122274963186,-1.2725253057666124,0.007206611732181045,0.6391423863709386,-0.007905022985980479
10.65%,241.15098309516907,114688,0.0131715066,25.114275499999998,112,0.614186673448421,-1.257015254162252,0.011798968592302117,0.6144839282992136,-0.008826420084376408
11.47%,257.7250850200653,122880,0.0175195042,27.538641319999996,120,0.592503767227754,-1.229806783143431,0.01233052206971479,0.5931388771780546,-0.00597942256670914
12.29%,277.46941781044006,131072,0.0137728673,30.075135420000002,128,0.5554705572780222,-1.210579714924097,0.01530126981670037,0.556587844812271,-0.004128394474213264
13.11%,296.33844900131226,139264,0.0103838664,32.81436892,136,0.5473940656054765,-1.202020262554288,0.010819289680512156,0.54815484284281,-0.0032115173071770426
13.93%,313.47238779067993,147456,0.0085461869,35.133507939999994,144,0.534783529303968,-1.178967449720949,0.010302960134049499,0.5355367187057958,-0.0027710661157713044
14.75%,332.3627059459686,155648,0.005235029,37.64554576,152,0.493189359549433,-1.1634104076772929,0.012091058041005454,0.49418780847834276,-0.002106568751907504
15.56%,352.26087188720703,163840,0.0037198419,38.067469720000005,160,0.48233200395479797,-1.1488026531413198,0.00904545602916187,0.4829832977913253,-0.0025325176638890056
16.38%,368.9257810115814,172032,0.0034231169,38.13038986,172,0.47621525928843766,-1.1356798824854195,0.010817122287517123,0.4771888472040784,-0.0010812431311098786
17.2%,385.6620180606842,180224,0.0030226278,37.824818019999995,180,0.45046611726284025,-1.114169786684215,0.01583597216322232,0.45177440276801295,-0.0027531171114950756
18.02%,406.0636603832245,188416,0.0032663436,37.641355399999995,188,0.42769625305663794,-1.08535182652995,0.01056899200616499,0.42857710944825433,-0.001760428090001247
18.84%,425.00119137763977,196608,0.0044086915,37.63136720000001,196,0.4047827822389081,-1.0642382331192493,0.011465195630285053,0.40589720739462243,-0.0003209440731423092
19.66%,441.6186556816101,204800,0.0078669386,37.92114138,204,0.39583482396556063,-1.036626887973398,0.012001593809873156,0.3968802083561659,-0.0015477499038212294
20.48%,459.1205110549927,212992,0.0078261303,38.6146108,212,0.37306556683033704,-1.0135086205787958,0.013425717594736852,0.37432560037494733,-0.0008253821486338155
21.3%,479.3957312107086,221184,0.0046271693,39.576002339999995,220,0.36082957722246645,-1.0065794575028122,0.0139122137981758,0.36206594286537475,-0.0015485573690932723
22.12%,496.16451954841614,229376,0.0034980432,40.62101314,228,0.355840802565217,-0.9879839618690311,0.012781078304192306,0.35695388204552414,-0.0016502835011215876
22.94%,514.918523311615,237568,0.0035078157,42.154134739999996,236,0.33503767061047257,-0.9688332449644804,0.012441087836805309,0.3362119969788968,-0.0006978241525629531
23.76%,533.38356757164,245760,0.0051646774,43.02848006,244,0.327000912069343,-0.9587986391503364,0.012061026185676837,0.3281840850436589,-0.0002292964425180131
24.58%,551.2614593505859,253952,0.005920629,43.603517700000005,252,0.31981643693288786,-0.9468747379258275,0.012876453558487811,0.32100328703221587,-0.0010079525652079042
25.4%,569.5056207180023,262144,0.0062579374,44.50616492,260,0.31654535769484937,-0.9213977531995624,0.012559136388358639,0.3176589362550325,-0.00142335078652738
26.21%,586.3522367477417,270336,0.0063225982,45.619414340000006,268,0.2955955935991369,-0.9032920379657299,0.012378272674254731,0.296745911081156,-0.0008750978540640289
27.03%,606.4655284881592,278528,0.0061305204,47.28053738,276,0.28537229510257023,-0.8859844137914479,0.011979459781491642,0.2864775575696597,-0.0009268351105967701
27.85%,624.9385788440704,286720,0.0054563932,48.6929527,284,0.2801235567545518,-0.8586277532856912,0.014037120032844541,0.2814495500071227,-0.0007771875071355394
28.67%,641.6679930686951,294912,0.0048828722,50.10365444000001,292,0.2594742054585367,-0.8486901599913835,0.01332979995106598,0.2607875537978514,-0.00019631655791911253
29.49%,661.4864001274109,303104,0.0048220168,51.87252157999999,300,0.26247898397268726,-0.8324909191112966,0.01334725356916806,0.2636073093089931,-0.0020640002061097632
30.31%,679.2170650959015,311296,0.0060230747,53.87907018,308,0.2427623827010393,-0.8051257087383419,0.013867931721460992,0.2440668807127488,-0.0008229516043661248
31.13%,696.2289991378784,319488,0.0047016333,55.924787480000006,316,0.23342689740238712,-0.7769365425221622,0.014643806042749929,0.23487410423444793,-0.00017173772214132266
31.95%,716.445722579956,327680,0.0044088845,58.18706603999999,324,0.2205492050619796,-0.7496179095935076,0.013947118257556212,0.22179099990435147,-0.001529169833837483
32.77%,733.7011888027191,335872,0.004199318,60.27582574,332,0.2082212626351975,-0.7264360639732331,0.014234096228369708,0.20957259096752354,-0.0007208129051089438
33.59%,750.9415254592896,344064,0.0052275529,63.61225976000001,344,0.19765239499974996,-0.6988274777773767,0.016206478394860824,0.19924155155234102,-0.000314912868950083
34.41%,770.8938615322113,352256,0.0052339691,65.6779634,352,0.19034590032533744,-0.6830641773063689,0.022728586213997915,0.19256314167813934,-0.0005561726859787691
35.23%,789.2610924243927,360448,0.0060193597,66.91122978,360,0.18389383604517207,-0.6604984608944505,0.016036195695278366,0.18545467333562082,-0.0004278227907907701
36.04%,805.7420423030853,368640,0.005941735,68.99244324,368,0.17529041981324553,-0.6425459135789424,0.01662207112312899,0.17690848823775945,-0.0004413868779896679
36.86%,824.1376252174377,376832,0.0055194606,70.3042984,376,0.16915590388234705,-0.6257584864739328,0.0158791196058246,0.17063205296308667,-0.0011176287984284083
37.68%,844.1019358634949,385024,0.0050606131,72.22648978000001,384,0.16223067808896302,-0.6103978231549263,0.018221693050418254,0.16406761746297344,0.00014770068968567753
38.5%,861.0043160915375,393216,0.0047856423,74.40118846,392,0.1576939781778492,-0.5892913937568665,0.016406891671522317,0.1593080191596949,-0.00026648185306532855
39.32%,880.2536194324493,401408,0.0052003005,76.3361369,400,0.15603227324318142,-0.5741514475550502,0.01666197375975571,0.15768962469109185,-8.845928065132442e-05
40.14%,898.5033714771271,409600,0.004293597,77.64905168,408,0.14863767949864268,-0.5497154451906681,0.01809701286774725,0.15041847255303176,-0.0002890823238566512
40.96%,916.7787711620331,417792,0.0051337354,78.97199047999999,416,0.1424476944259368,-0.5273861757479608,0.018950166728018303,0.14439127031831084,0.00048559219572200715
41.78%,936.2870693206787,425984,0.0044299427,80.25396081999999,424,0.13561833599815146,-0.5068537229672074,0.017572626724631845,0.13743932749614046,0.0006372882552582516
42.6%,953.1115438938141,434176,0.0039393992,81.04464762,432,0.1280526495189406,-0.4846802799263969,0.01929543047367588,0.1300918060453548,0.0010961347904663312
43.42%,970.7843754291534,442368,0.0038625996,81.31249526,440,0.12353152187424712,-0.4585266507929191,0.01710111992279053,0.12518415565733548,-0.0005747820919069287
44.24%,991.99272108078,450560,0.0039732009,81.92888314000001,448,0.1171952877775766,-0.4372845752164721,0.018473900147137103,0.11914089713283971,0.0009821934054940612
45.06%,1009.2998776435852,458752,0.0038275421,82.63979018,456,0.11444163372507318,-0.4254721447825432,0.018493224180087964,0.11625496211044142,-0.00035994032640560166
45.88%,1026.1411910057068,466944,0.0049849679,83.3140319,464,0.11285699014551938,-0.41692616150248796,0.018456102114032546,0.11473426883144966,0.00031668474527034573
46.69%,1046.445127248764,475136,0.010146673,83.81779686,472,0.11262002583243884,-0.41018866896629336,0.0190926320278777,0.11456595656630512,0.0003666753107851298
47.51%,1064.5721349716187,483328,0.0104510518,84.51402874,480,0.11256680986261927,-0.3813542332965881,0.02314572658765428,0.11495740505895358,0.0007602253756888791
48.33%,1081.8955087661743,491520,0.0073246063,85.60476484,488,0.10613905601785519,-0.37220854584593327,0.022785722870548853,0.1084697925501176,0.0005216424520752841
49.15%,1102.255099773407,499712,0.0050607092,86.82294742,496,0.10393274886882864,-0.3797380618052557,0.020525972103769163,0.10611193803782175,0.0012659195861620437
49.97%,1119.7209050655365,507904,0.0051813546,88.33299468000001,504,0.10412027596612461,-0.37390909250825644,0.02485806624868019,0.10659632163460757,-9.760956385050751e-05
50.79%,1137.2904434204102,516096,0.004763818,90.95096415999998,516,0.0994102048309287,-0.342564166826196,0.02204317577097754,0.10173228539863861,0.0011776299061213922
51.61%,1158.4481377601624,524288,0.0036736794,92.22110700000002,524,0.09568186405813321,-0.31284758935216817,0.029449064196387553,0.0987702162009264,0.0014344572315442546
52.43%,1175.6910998821259,532480,0.0049152117,94.29254891999999,532,0.08795059080293868,-0.29475098657421767,0.020727873421742517,0.08992804222081417,-0.000953359242987573
53.25%,1192.656269311905,540672,0.0042426573,96.26879244,540,0.08642394702183083,-0.27846347955055534,0.024955325481505496,0.08908711650676178,0.0016763693678039798
54.07%,1213.0266518592834,548864,0.0037323135,98.16433090000002,548,0.08480017902038525,-0.2551383904647082,0.023817712307481996,0.08731268262340254,0.0013073237226907666
54.89%,1231.6162133216858,557056,0.0036922746,99.21571086,556,0.08152805690770037,-0.24376189317554237,0.02572017470793071,0.08410723186115629,7.157482662844499e-05
55.71%,1248.5501334667206,565248,0.0033383964,99.9356154,564,0.08135125909757335,-0.2382929283194244,0.023413069115258624,0.08371557882499585,0.00023012815896642996
56.52%,1267.370374917984,573440,0.0030148374,101.50821258,572,0.07702716048806905,-0.23367780232802032,0.025820295790390448,0.07972679691268161,0.001176068455735103
57.34%,1287.6715178489685,581632,0.0031396207,101.72108096,580,0.07766136783466208,-0.2439828365575522,0.023941618215144445,0.08060020261208414,0.005446729559076019
58.16%,1304.2963309288025,589824,0.0032609744,101.70161374,588,0.08213918582478072,-0.23276730249635874,0.0199351867457608,0.08418806185930339,0.0005535735994658586
58.98%,1321.5243203639984,598016,0.0031360994,101.66073871999998,596,0.07572635386895854,-0.2008921131491661,0.024086193894754616,0.07826794525646152,0.001329719980275206
59.8%,1340.120108127594,606208,0.0030900288,101.78053745999998,604,0.07288263126683887,-0.18707638550549746,0.022018920480923042,0.07529549891036147,0.0021097559543029293
60.62%,1360.7044236660004,614400,0.0026500644,101.49932005999999,612,0.07024584493192379,-0.17420475818216802,0.02238275405306922,0.07256126935153975,0.0007714901430905007
61.44%,1377.1534688472748,622592,0.0028221106,101.12337166000002,620,0.07038190447492525,-0.16078107235953212,0.02370468199997049,0.07293932146509886,0.001869487901765546
62.26%,1396.116375207901,630784,0.0030026248,101.98857174000001,628,0.06797404310491402,-0.14525131052359938,0.028484163648317917,0.07097522243544667,0.0015276296570086315
63.08%,1415.228744506836,638976,0.0025853536,102.90154641999997,636,0.06605750588059892,-0.13081066240556538,0.024548669372825314,0.06870606902297154,0.0019369620509009713
63.9%,1432.3388261795044,647168,0.0025861308,103.0503009,644,0.06407199089298957,-0.12385820434428751,0.02335165293538921,0.06649982238102191,0.0009266619449343194
64.72%,1450.7939393520355,655360,0.0024173246,103.25250412,652,0.06291015039605555,-0.11243725279346109,0.023524817826137225,0.06531254701472623,0.0004991483605696302
65.54%,1470.2757360935211,663552,0.002269946,103.75846664000001,660,0.06447296796250157,-0.09188912720419466,0.02789288136518735,0.06735266458491146,0.0009040848589115375
66.36%,1487.5817215442657,671744,0.0023182087,103.43694968,668,0.06028505409194622,-0.08400494591332971,0.02360594272176968,0.06271771858576256,0.000720702216393653
67.17%,1505.9747216701508,679936,0.0022246702,102.86563046,676,0.06151434767816681,-0.08921507457271219,0.031127840096314686,0.06482575150070982,0.0019861981291152938
67.99%,1524.9344244003296,688128,0.0023551206,102.05666920000002,688,0.06098541838291567,-0.07598720379173755,0.022859420275062804,0.06340663687058304,0.001352764601610802
68.81%,1542.6532592773438,696320,0.0019726045,101.49474692,696,0.05976151685172226,-0.0562508700415492,0.034809627744698445,0.06344294609122891,0.0020046646503680647
69.63%,1560.262290239334,704512,0.0020878912,101.37228592000001,704,0.05705811101070139,-0.05143806058913469,0.02203131567395076,0.0594235539918984,0.0016231141380193617
70.45%,1579.728506565094,712704,0.0022701252,101.76261945999998,712,0.057609250344103205,-0.023975573433563113,0.022196564476439563,0.05982804021944181,-8.665723053428174e-06
71.27%,1597.6562936306,720896,0.0027671618,102.63172736000003,720,0.053578972513787446,-0.004326996719464659,0.022986204808034927,0.05606841618074339,0.001908231861524394
72.09%,1614.1790058612823,729088,0.0033566073,102.84253137999998,728,0.05137313787126914,-0.007906754268333316,0.026098407111794585,0.05418868262430772,0.0020570404185912793
72.91%,1633.2639582157135,737280,0.0029536645,103.78195084,736,0.05290151077788323,-0.008249766519293189,0.02319577344701429,0.05601973114761368,0.007986430250290178
73.73%,1653.2370393276215,745472,0.0023953949,105.01469374,744,0.051450745420879684,0.0012136392761021852,0.022979258636905798,0.05395144538033775,0.002027740957674818
74.55%,1669.4660050868988,753664,0.0021397409,105.77484018,752,0.05004539443762042,0.016714662266895174,0.027535441408599582,0.05314082803487415,0.0034188945639377633
75.37%,1686.628791809082,761856,0.0021392252,106.33243208000002,760,0.046706528363574765,0.03412547637708485,0.02521578687192232,0.049334814035516115,0.0010670698474912054
76.19%,1706.01580286026,770048,0.0019358312,106.90390851999999,768,0.04941356428316794,0.04912664988078177,0.02810406573294131,0.05247167374736247,0.002477028909003921
77.0%,1725.5936768054962,778240,0.002063975,106.85330672,776,0.04724007451150101,0.057737778732553126,0.027284788293582097,0.05014844423317029,0.0017989089231106765
77.82%,1742.4870941638947,786432,0.0020754452,107.16167093999998,784,0.04602509658434428,0.05933954492211342,0.025671630922124676,0.048740904120233804,0.0014864444367705032
78.64%,1759.7235803604126,794624,0.0018949655,107.18577886000001,792,0.04595070752693573,0.05983934192918241,0.027798138694083718,0.048895962529913385,0.0016544113356927793
79.46%,1779.927142381668,802816,0.0017646345,107.06428226,800,0.04516901861788938,0.06095608095638454,0.03257359149422427,0.04850870633972638,0.0008232857241457312
80.28%,1797.1795945167542,811008,0.0017697272,106.86054272,808,0.0451930663359235,0.0607055670581758,0.02746841300813685,0.04884228377998713,0.009023761432499375
81.1%,1814.1623497009277,819200,0.0017781911,106.3217009,816,0.04562450868543237,0.059315796056762335,0.028781961319555193,0.04869385285128175,0.0019114803389386026
81.92%,1834.1767876148224,827392,0.0016767129,106.58161541999999,824,0.04609052831074223,0.06857819333672524,0.026407356889080802,0.04897291075295819,0.002416467533078818
82.74%,1852.0222897529602,835584,0.0016479855,107.01996636,832,0.04372349145851331,0.08529749480076135,0.02837042604430735,0.046746941594298305,0.0018640753135425996
83.56%,1868.642579317093,843776,0.001773333,106.89284210000001,840,0.04398829796991777,0.09249618826434017,0.026218738852639943,0.04674555290066244,0.0013538104548067947
84.38%,1888.8591170310974,851968,0.0016777125,106.93969328000001,848,0.04373131068277871,0.09784111944027245,0.02697246290458679,0.04659132033391663,0.0016276336067923892
85.2%,1906.6305947303772,860160,0.0016445418,107.46293454,860,0.04312967442238005,0.10205190856941045,0.02562384645468683,0.045815840311754764,0.0012378124390602634
86.02%,1924.3368027210236,868352,0.0015708733,107.48218504,868,0.04376415368024027,0.1053256068378687,0.034450797190152115,0.04729400559748122,0.0008477219822573126
86.84%,1942.3145110607147,876544,0.0014265514,105.71617199999999,876,0.04245787760155508,0.10814304552040994,0.028663311327886732,0.04554098123992241,0.002167725055786476
87.65%,1961.7467365264893,884736,0.0016029192,105.01911128,884,0.042412222757411654,0.11693150294013321,0.02547455361802804,0.045043418896654155,0.0008374077743968979
88.47%,1978.6902072429657,892928,0.0014783827,103.74057191999998,892,0.041858016174228393,0.14000476151704788,0.02714094486909744,0.044746543161837724,0.001744325006995786
89.29%,1998.1952664852142,901120,0.0013579056,102.39929978,900,0.03853943560388871,0.16434731003828346,0.03062042363783348,0.041798219406318206,0.0019674143864615266
90.11%,2015.931568145752,909312,0.001442713,101.1391789,908,0.037456634556292556,0.17219153768382967,0.02452257247680336,0.04013275418732791,0.002238623833550209
90.93%,2034.1254386901855,917504,0.0014505663,100.22402715999999,916,0.03726246853184421,0.18194546760059893,0.026770001131126264,0.04023115594988015,0.002916873049233162
91.75%,2054.103294610977,925696,0.0022732144,95.38866633999999,924,0.03586578277900117,0.19924924029037355,0.026551059931125564,0.0389480314110094,0.004271426388956749
92.57%,2070.9778246879578,933888,0.0019258356,89.86069708000001,932,0.036872037569992244,0.1948854284826666,0.02707742644506652,0.03967981951365994,0.001000392991610414
93.39%,2089.6109414100647,942080,0.0018312162,84.93324471999999,940,0.03608158410352189,0.20583631596527993,0.023396456350383232,0.03823625203017354,-0.0018497770838666453
94.21%,2108.21471452713,950272,0.0016289338,80.28733522,948,0.0347476784751052,0.2254055704921484,0.022363175489954302,0.03735599487353517,0.0037199884943453334
95.03%,2127.1406495571136,958464,0.0014868171,76.30216868,956,0.03291668158053653,0.23853241391479968,0.023792026481351057,0.0352626311099385,-0.0003325311873313952
95.85%,2146.072621822357,966656,0.0013518632,72.70237552,964,0.03205491623521084,0.24129291167482733,0.020285856563782546,0.0342167144522942,0.0013321256070510643
96.67%,2162.94438290596,974848,0.0015446317,74.13148136,972,0.03180450310028391,0.24048341964371503,0.022954843363459078,0.03435203516247964,0.002520477258498215
97.48%,2181.3413877487183,983040,0.0012027892,78.22897718,980,0.031625891217845495,0.254858992388472,0.021607489600194187,0.033892388712036585,0.0010574853417167644
98.3%,2201.9799122810364,991232,0.0011483541,80.81953297999999,988,0.030125962354941294,0.2753676709253341,0.02102152260750927,0.03276712768131586,0.00539013065623637
99.12%,2218.9252927303314,999424,0.0012145893,82.74265027999999,996,0.02927737234858796,0.3013606214895844,0.022846494563691522,0.03175131229931903,0.0018929049436192124
99.94%,2236.8142824172974,1007616,0.001126751,84.3005815,1004,0.02704666147910757,0.3191692452412099,0.021429880313917238,0.029400563525753997,0.0021091401525470425
