total timesteps,mean_int_reward,total_time,ep_rew_mean,Progress,num_episodes,entropy_loss,total_loss,value_loss,icm_loss,policy_gradient_loss
8192,0.794876961,2.925607681,-24.6949495,0.00%,8,,,,,
16384,0.123172287,19.74360776,-26.47263625,0.82%,16,-1.422025834,7.061992533,6.222413039,0.848182617,-0.008603123
24576,0.059982842,36.78952575,-25.23438208,1.64%,24,-1.414484674,1.89840921,1.064691463,0.838055343,-0.004337597
32768,0.040684106,54.24549103,-26.37155291,2.46%,32,-1.418284877,1.267153709,0.447947166,0.821249549,-0.002043005
40960,0.034328831,71.99644113,-24.60557638,3.28%,40,-1.424348858,0.918364222,0.109164378,0.812699757,-0.003499913
49152,0.027034916,87.75924158,-21.77351533,4.10%,48,-1.412069522,0.868464346,0.060317798,0.812079282,-0.003932735
57344,0.026204055,101.9590724,-16.42090908,4.92%,56,-1.406536702,0.874014548,0.088842771,0.790944879,-0.005773102
65536,0.020919326,117.0083096,-9.71015342,5.73%,64,-1.407460739,0.869499393,0.080914101,0.79433852,-0.005753228
73728,0.024315159,131.7789922,-7.63520458,6.55%,72,-1.396817139,0.818516855,0.034527773,0.791306191,-0.007317109
81920,0.015765242,146.8273294,-1.31427372,7.37%,80,-1.391533832,0.804796504,0.018070537,0.79114275,-0.004416782
90112,0.0120721,161.6686432,5.71554488,8.19%,88,-1.377235402,0.782786674,0.018119587,0.770018589,-0.005351502
98304,0.012312239,177.8714089,9.00380468,9.01%,96,-1.359437488,0.755191839,0.018065517,0.740450109,-0.003323788
106496,0.010307079,193.4606771,11.98803762,9.83%,104,-1.342049901,0.725008125,0.01493303,0.712164484,-0.002089389
114688,0.01026324,209.8053763,13.52316284,10.65%,112,-1.323061234,0.704225044,0.01943723,0.686953563,-0.002165749
122880,0.007652319,225.3718991,18.4385203,11.47%,120,-1.307145905,0.677434984,0.024991006,0.655640116,-0.003196139
131072,0.008076363,240.2134261,19.13752754,12.29%,128,-1.285440175,0.661546824,0.017629039,0.649214092,-0.005296308
139264,0.013975601,255.7662029,20.3391659,13.11%,136,-1.270948516,0.635669885,0.035006876,0.603698422,-0.003035413
147456,0.007666317,271.8051634,22.3216942,13.93%,144,-1.259405047,0.65905565,0.043406799,0.617561813,-0.001912963
155648,0.004494899,287.1692193,23.69530494,14.75%,152,-1.245970762,0.591049658,0.011772162,0.58158588,-0.002308385
163840,0.005238308,303.2324042,24.58879818,15.56%,160,-1.229897548,0.573596847,0.008240952,0.570247791,-0.004891896
172032,0.003991638,319.0272758,28.41658114,16.38%,172,-1.198522668,0.573751643,0.012815205,0.563867978,-0.002931541
180224,0.002744578,333.9574208,30.91236716,17.20%,180,-1.167647893,0.526729062,0.018729646,0.510772384,-0.002772969
188416,0.002478242,349.8223968,33.93812712,18.02%,188,-1.135249126,0.488210996,0.009203842,0.482098177,-0.003091023
196608,0.002125885,364.7730873,35.82941146,18.84%,196,-1.105626555,0.467507009,0.011931821,0.45872628,-0.003151093
204800,0.002110735,379.9720056,37.83928324,19.66%,204,-1.09173072,0.437419944,0.008229198,0.42950418,-0.000313434
212992,0.00206216,395.9935617,39.32413438,20.48%,212,-1.074796832,0.432540462,0.00849694,0.424975333,-0.000931811
221184,0.002170907,412.4732583,40.25588642,21.30%,220,-1.057382271,0.414908383,0.009030183,0.406761067,-0.000882868
229376,0.002481225,429.2540274,40.80629378,22.12%,228,-1.032810292,0.402520604,0.008935259,0.394965965,-0.00138062
237568,0.00245207,445.630091,41.47652026,22.94%,236,-1.008992278,0.388124623,0.008853946,0.380435334,-0.001164657
245760,0.003168181,461.6258845,43.23688988,23.76%,244,-0.994753683,0.364518161,0.009032004,0.355973391,-0.000487234
253952,0.003324353,478.0615079,45.2531991,24.58%,252,-0.980655179,0.356054195,0.009844731,0.346660389,-0.000450925
262144,0.00435785,494.5918884,47.63720122,25.40%,260,-0.962883991,0.353465366,0.00962359,0.345301329,-0.001459553
270336,0.004189724,510.7271323,50.51151042,26.21%,268,-0.946089715,0.337792832,0.009621229,0.32899468,-0.000823077
278528,0.005191487,526.0287898,53.76098452,27.03%,276,-0.919008932,0.327666025,0.009370396,0.319012416,-0.000716786
286720,0.004795841,541.8484666,56.96546332,27.85%,284,-0.894738547,0.322072654,0.010365811,0.311006357,0.000700485
294912,0.004831883,557.9439363,59.42592416,28.67%,292,-0.866151998,0.296866994,0.009622155,0.286708378,0.00053646
303104,0.005385082,573.3281071,61.57045848,29.49%,300,-0.828148179,0.283496193,0.010633235,0.273491011,-0.000628053
311296,0.004386809,589.1589093,64.10203418,30.31%,308,-0.791993943,0.261663419,0.011291381,0.249471132,0.000900906
319488,0.004805102,605.0662379,66.27956508,31.13%,316,-0.768031187,0.253287705,0.011676807,0.24104423,0.000566669
327680,0.004386056,620.8074808,66.06842088,31.95%,324,-0.755467191,0.239978908,0.010957831,0.227141124,0.001879953
335872,0.004154572,636.1797137,63.87989448,32.77%,332,-0.747232444,0.236591669,0.01284026,0.223562772,0.000188637
344064,0.004501627,651.8569844,65.70043764,33.59%,344,-0.737742587,0.229517428,0.012215007,0.216790832,0.000511589
352256,0.004234889,667.1301937,64.17468856,34.41%,352,-0.734112168,0.226720539,0.015409322,0.211327762,-1.65E-05
360448,0.003912567,682.2937016,64.2911008,35.23%,360,-0.746613397,0.226871341,0.01068271,0.216450239,-0.000261608
368640,0.003787962,697.5950725,64.31761876,36.04%,368,-0.734226177,0.234301372,0.012643364,0.221134653,0.000523355
376832,0.00375371,712.9140551,66.44400598,36.86%,376,-0.721700266,0.222330083,0.012369527,0.209209335,0.000751221
385024,0.003662318,728.3891244,70.98063418,37.68%,384,-0.696971506,0.219003656,0.011817356,0.207029906,0.000156394
393216,0.003577536,744.3821027,72.1182844,38.50%,392,-0.667500355,0.20775011,0.012608437,0.193610565,0.001531107
401408,0.003262446,760.0519037,75.95504774,39.32%,400,-0.644965153,0.19147571,0.012823995,0.177717727,0.000933988
409600,0.002891118,775.6493604,77.60076804,40.14%,408,-0.614291941,0.189698038,0.01346276,0.175849652,0.000385625
417792,0.002964629,791.3000352,79.95730492,40.96%,416,-0.591843899,0.177953488,0.013462689,0.164350982,0.000139817
425984,0.002967643,807.1356685,81.38793316,41.78%,424,-0.580323034,0.17457123,0.014846144,0.160041255,-0.000316169
434176,0.003030555,823.5960665,83.34284818,42.60%,432,-0.5694159,0.167482164,0.012848457,0.153818647,0.000815059
442368,0.003029423,840.1325126,84.62532358,43.42%,440,-0.539926785,0.16501302,0.014127381,0.150547892,0.000337747
450560,0.002552622,856.7552464,85.62603452,44.24%,448,-0.50312124,0.155948464,0.013420019,0.142304432,0.000224013
458752,0.002696196,872.3732004,86.02935862,45.06%,456,-0.475649455,0.143241203,0.014026395,0.128432801,0.000782007
466944,0.002523462,887.957361,86.7908899,45.88%,464,-0.452510231,0.143247951,0.014401531,0.127823254,0.001023166
475136,0.002326763,904.1435146,87.82262258,46.69%,472,-0.440255505,0.135823072,0.012691477,0.122650092,0.000481503
483328,0.002617485,920.343257,88.25768048,47.51%,480,-0.428146523,0.129274835,0.01279687,0.115633338,0.000844626
491520,0.002737964,936.3453677,89.04835604,48.33%,488,-0.408164211,0.13158791,0.014014093,0.117195006,0.000378811
499712,0.002446564,954.7076607,89.56392498,49.15%,496,-0.385134812,0.125068559,0.013481263,0.111294179,0.000293118
507904,0.00260264,973.1200423,90.1036663,49.97%,504,-0.364333808,0.118520375,0.012857591,0.105676918,-1.41E-05
516096,0.002353355,988.9715672,91.7928518,50.79%,516,-0.343383191,0.115567476,0.014353261,0.10028438,0.000929836
524288,0.002227539,1004.801848,92.50520728,51.61%,524,-0.330730565,0.120161415,0.021533522,0.096869684,0.001758209
532480,0.002179727,1021.452562,93.03912578,52.43%,532,-0.32934061,0.112107303,0.013912821,0.097500647,0.000693835
540672,0.002077978,1037.764473,93.8081409,53.25%,540,-0.323320874,0.108537098,0.012995406,0.095295699,0.000245993
548864,0.0020378,1054.317106,95.12965842,54.07%,548,-0.306768672,0.106819411,0.013217176,0.092919913,0.000682322
557056,0.002076339,1070.245606,96.51695444,54.89%,556,-0.294720237,0.107723207,0.016578241,0.089428302,0.001716664
565248,0.002067592,1086.621843,97.42560848,55.71%,564,-0.292494759,0.107047619,0.016408504,0.089272436,0.00136668
573440,0.002057459,1102.979321,98.4922129,56.52%,572,-0.286456732,0.102706797,0.013693438,0.088387134,0.000626225
581632,0.002094912,1118.750238,100.2740041,57.34%,580,-0.274661725,0.104058498,0.016374206,0.085863595,0.001820698
589824,0.002010107,1135.100737,101.4550581,58.16%,588,-0.269132168,0.10179591,0.016171854,0.083831194,0.001792862
598016,0.002137794,1151.825004,101.8670852,58.98%,596,-0.257981563,0.100872972,0.016097763,0.083712033,0.001063176
606208,0.001959381,1168.132772,101.4497007,59.80%,604,-0.236183532,0.099153327,0.01684596,0.081660539,0.000646827
614400,0.001981895,1184.099702,101.2116092,60.62%,612,-0.22274393,0.095959519,0.01765791,0.077138998,0.001162611
622592,0.001914491,1200.830741,101.6174435,61.44%,620,-0.207851309,0.096590331,0.018948662,0.076372048,0.001269622
630784,0.002043314,1217.73989,101.8397725,62.26%,628,-0.181166502,0.08810727,0.015082463,0.073074083,-4.93E-05
638976,0.001726518,1233.82998,102.0478186,63.08%,636,-0.164953613,0.08739962,0.016915004,0.068651611,0.001833005
647168,0.001705684,1250.244686,102.4462761,63.90%,644,-0.138463018,0.085436992,0.014984287,0.069395722,0.001056983
655360,0.001834365,1267.927409,102.9599856,64.72%,652,-0.107782674,0.085878779,0.019739045,0.06411206,0.002027674
663552,0.001884726,1284.892868,103.2901726,65.54%,660,-0.091102085,0.07804564,0.015341806,0.061833496,0.000870338
671744,0.001778424,1300.959809,103.3456887,66.36%,668,-0.070986367,0.076326179,0.014884303,0.060116586,0.00132529
679936,0.001731602,1317.987009,103.261624,67.17%,676,-0.068320132,0.077330174,0.017841826,0.05759091,0.001897437
688128,0.001863653,1335.098934,103.1445992,67.99%,688,-0.070753334,0.076055685,0.018187326,0.057075915,0.000792444
696320,0.001778143,1351.440417,103.0007911,68.81%,696,-0.085825793,0.085578264,0.025297553,0.057995905,0.002284805
704512,0.001842756,1367.871733,102.7135029,69.63%,704,-0.078773028,0.077500135,0.016223284,0.060531357,0.000745494
712704,0.001692133,1384.544247,102.1333944,70.45%,712,-0.052133434,0.075996376,0.017027221,0.058926923,4.22E-05
720896,0.001611285,1401.991985,101.8541578,71.27%,720,-0.035813304,0.074303344,0.01683696,0.055221554,0.00224483
729088,0.001720473,1417.745915,101.935726,72.09%,728,-0.020679294,0.07216512,0.016165682,0.053702129,0.002297309
737280,0.001626427,1434.019523,101.6991318,72.91%,736,0.007327255,0.07272801,0.01742169,0.05359766,0.001708661
745472,0.001740187,1450.621625,102.0098392,73.73%,744,0.023444612,0.068565709,0.016928086,0.049292512,0.002345111
753664,0.001610398,1466.964602,102.777928,74.55%,752,0.023243994,0.06604788,0.017958257,0.047427414,0.000662209
761856,0.001615093,1483.156063,104.044709,75.37%,760,0.037159664,0.069895831,0.016838223,0.051154353,0.001903254
770048,0.001596363,1499.204006,104.5841126,76.19%,768,0.058063281,0.065567718,0.015476069,0.047473072,0.002618577
778240,0.001578713,1515.823462,105.1365459,77.00%,776,0.06332049,0.064728371,0.017038296,0.045347359,0.002342716
786432,0.001557983,1531.576133,105.6308974,77.82%,784,0.065584274,0.067835697,0.019374942,0.046184694,0.00227606
794624,0.00162635,1547.263817,105.9426874,78.64%,792,0.071987985,0.064644369,0.018978285,0.044398849,0.001267235
802816,0.001614116,1563.671456,105.9493229,79.46%,800,0.070217488,0.063193727,0.015747333,0.044930599,0.002515796
811008,0.001689173,1580.272741,106.2443173,80.28%,808,0.061185431,0.06257082,0.015846023,0.04498937,0.001735427
819200,0.001516603,1597.18568,106.2708074,81.10%,816,0.05585212,0.062521996,0.015632624,0.045621076,0.001268296
827392,0.001359233,1613.476406,106.0517965,81.92%,824,0.061365779,0.068464738,0.019483715,0.046304828,0.002676194
835584,0.00140983,1631.176601,105.9859715,82.74%,832,0.074092149,0.064825646,0.018858614,0.044341779,0.001625252
843776,0.001393416,1648.910918,105.6500216,83.56%,840,0.088037415,0.061950416,0.016540668,0.043033177,0.002376571
