Progress,mean_int_reward,total timesteps,total_time,ep_rew_mean,num_episodes,value_loss,icm_loss,entropy_loss,policy_gradient_loss,total_loss
0.0%,1.9329338918,8192,3.0390539169311523,-5.00270025,8,,,,,
0.82%,0.1403771085,16384,19.559876203536987,-5.3117913749999985,16,10.723275165259839,0.9326974547468125,-1.4357661178335548,-0.003359303350960625,11.652613316655689
1.64%,0.1037315825,24576,35.90940713882446,-5.14082025,24,0.4026804067892954,0.8547265091445297,-1.4393037861213087,-0.004575746623355442,1.2528311693104697
2.46%,0.0766712436,32768,52.238452196121216,-1.8009595937499996,32,0.27945331762894055,0.8602608811575919,-1.428677609656006,-0.007533515579704014,1.1321806832068284
3.28%,0.0540288577,40960,68.42165565490723,3.974989,40,0.23790772409411148,0.8330128035042434,-1.4131220705807208,-0.0100675287222611,1.060852998876094
4.1%,0.0298469555,49152,84.2846508026123,6.653648416666667,48,0.08219777103076922,0.7970389917958528,-1.390705553907901,-0.005307515152231715,0.8739292476743904
4.92%,0.0110666223,57344,100.2677116394043,9.95338024,56,0.024872943518857937,0.7544012825004757,-1.3578683601692318,-0.004352346777610779,0.7749218792417228
5.73%,0.008510179,65536,116.18251585960388,14.460302380000003,64,0.01401019023887784,0.6923000505659729,-1.3317090458236636,-0.0028328023231391124,0.7034774384817116
6.55%,0.0088699716,73728,131.82486414909363,18.15397196,72,0.016048245859565213,0.6715486207976937,-1.2991428597830237,-0.0013976495555380747,0.6861992171017208
7.37%,0.0100852046,81920,147.7696659564972,21.66216414,80,0.014101305601161584,0.6396996932569892,-1.2796979183331132,-0.0026388225402771796,0.6511621763178735
8.19%,0.0104453275,90112,163.5359559059143,21.12266784,88,0.03375623939500656,0.5965847592102363,-1.262774822860956,-0.0030367818320425114,0.6273042167732005
9.01%,0.0114552562,98304,179.65115571022034,22.174050320000003,96,0.038792502315482126,0.5901396436616778,-1.2416847753338516,-0.003813943061945907,0.625118202915214
