Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,entropy_loss,policy_gradient_loss,icm_loss,value_loss,total_loss
0.0%,8192,1.4583215896,8,6.0726696250000005,3.0903728008270264,,,,,
0.82%,16384,0.1489672203,16,6.047881500000001,19.962703943252563,-1.4236747670918704,-0.00643861977329579,0.8935325285419822,6.851912711374462,7.739006620143148
1.64%,24576,0.0579619307,24,6.307841041666666,36.56158208847046,-1.4091395834460854,-0.007855725136632814,0.8478728968184441,0.3935450146673247,1.233562186349136
2.46%,32768,0.0439343995,32,8.7360933125,53.08047842979431,-1.3848496320657433,-0.011279430698958,0.7935683013405651,0.1055661460472038,0.8878550166888107
3.28%,40960,0.0269224437,40,10.9268444,70.09581971168518,-1.3581174459308385,-0.008078877267750254,0.7568365255137905,0.05244656450377079,0.8012042127498111
4.1%,49152,0.0278493123,48,12.450531020833333,86.48036026954651,-1.3232348517514765,-0.0037827199996875996,0.7245702389162034,0.023984523533908942,0.7447720424504247
4.92%,57344,0.0273234693,56,14.739193860000002,102.82518982887268,-1.296957799885422,-0.0024624297843626624,0.6636397319613024,0.03931808390734659,0.7004953860842864
5.73%,65536,0.0240270668,64,17.67384524,119.31200051307678,-1.2921028967946768,-0.003833179198939081,0.6289627231191843,0.03143018914233835,0.6565597330625836
6.55%,73728,0.0236294752,72,21.37804964,135.82181572914124,-1.2786523059010506,-0.0040318538289911,0.6410770620917902,0.04099651196229388,0.6780417202250929
7.37%,81920,0.0278962194,80,22.53824304,152.5877878665924,-1.2610614844597876,-0.0045390766702326345,0.6256851768586784,0.03150315986804344,0.6526492600564893
8.19%,90112,0.027265589,88,24.33635216,169.18396830558777,-1.2411707133054732,-0.003019668869505768,0.6060103258118034,0.05746367381580057,0.6604543307580981
9.01%,98304,0.0155581952,96,26.872128739999997,185.72955870628357,-1.2300567564554512,-0.0019500684300936017,0.5813476065639407,0.0703012028701778,0.6496987410040249
9.83%,106496,0.014717436,104,29.0772061,202.37403559684753,-1.2137903542257846,-0.003436694223091561,0.573647657665424,0.03023046441103361,0.6004414278533661
10.65%,114688,0.017031345,112,31.630138900000002,219.3303747177124,-1.203780118189752,-0.0033013111867506175,0.5428515378385782,0.024433568769563863,0.5639837954213915
11.47%,122880,0.0204026837,120,33.5261191,235.26436042785645,-1.1864768518134952,-0.002636130990587361,0.544120139023289,0.02512494181000875,0.5666089498427105
12.29%,131072,0.0161078632,128,36.055201460000006,251.95934796333313,-1.1607475098222495,-0.0019883652189097373,0.5152464155107737,0.027210993230437453,0.5404690435223014
13.11%,139264,0.0188975097,136,37.29745764,268.4376611709595,-1.1449841670691967,-0.0028690188501103503,0.4870801141485572,0.025165661285245732,0.5093767565836925
13.93%,147456,0.0161669129,144,37.66656802,285.4285578727722,-1.1320066526532173,-0.001742488545511324,0.46518813208676874,0.0295383162687358,0.49298395980999327
14.75%,155648,0.0136252168,152,37.523087319999995,301.790420293808,-1.1158918290399016,-0.002203768919260321,0.45577199910767374,0.025277175878909475,0.47884540606732295
15.56%,163840,0.0137503705,160,37.0916673,318.66575384140015,-1.1132444862276316,-0.0012085983961836791,0.43662160492967816,0.025571024498822224,0.46098403103231667
16.38%,172032,0.011894536,172,36.3708461,335.6027307510376,-1.1041547825559974,-0.002767943152859203,0.44434972759336233,0.027961431404310132,0.46954321584481323
17.2%,180224,0.0109893285,180,36.95965682,352.3389940261841,-1.0917519928887487,-0.0008571699064388674,0.43314643474295733,0.035729298170736,0.46801856300725453
18.02%,188416,0.0090373919,188,37.5606529,369.13474202156067,-1.076190979965031,-0.0012228231370258159,0.424604427581653,0.023084359322183445,0.4464659637668106
18.84%,196608,0.0096245672,196,38.53586106,385.60962867736816,-1.0579672615043818,-0.000346416181646682,0.4068393961759284,0.024245786365418097,0.4307387663596998
19.66%,204800,0.0082658675,204,39.45166802,402.2741770744324,-1.0407956167124213,-0.0006651804926500872,0.3951222710777074,0.023317086505767293,0.4177741770908246
20.48%,212992,0.0074387138,212,40.70046802,419.76100993156433,-1.0341438679024577,0.00034444234203045195,0.3809435511240736,0.024022516408831508,0.4053105098749355
21.3%,221184,0.0071411604,220,41.95582112,436.22086548805237,-1.0198574329726398,-0.0007698066399109347,0.3779752335743979,0.023981889676224454,0.40118731661071133
22.12%,229376,0.0068526049,228,42.623435579999985,452.49406695365906,-1.016513207554817,-0.0012576618276310494,0.35942778158932925,0.02477122776786018,0.3829413475295584
22.94%,237568,0.0080513135,236,44.14747438000001,469.3351423740387,-1.004408791474998,-0.001328336130723268,0.3600868910667486,0.02373995088344145,0.38249850581946687
23.76%,245760,0.008640914,244,45.724199199999994,486.2260687351227,-0.9843452570028604,-0.0014809815838269882,0.3450528286630288,0.02407689582155399,0.3676487429007558
24.58%,253952,0.0080862425,252,47.3852287,502.8438138961792,-0.9736599321011454,0.00016655917838297917,0.3414605884230696,0.023384461012392423,0.36501160861384496
25.4%,262144,0.007498711,260,49.37767038000001,519.7048027515411,-0.956457446841523,-0.0005261402842037573,0.33937508342787626,0.02011084839700743,0.3589597915406799
26.21%,270336,0.007891277,268,51.88410524000001,536.7828121185303,-0.9239979560486973,-0.0011835496925844849,0.31899364576675,0.021258563977653466,0.33906866005181896
27.03%,278528,0.006615438,276,54.70287006,554.0012259483337,-0.8959200195036828,-0.000880566743298896,0.29678229766432196,0.024407604707630527,0.3203093356286536
27.85%,286720,0.0061303824,284,57.318071339999996,570.6492722034454,-0.8841922843363136,2.5235462389235714e-05,0.28671503892401234,0.0225340191513169,0.3092742935377185
28.67%,294912,0.0061053665,292,60.07690246,587.345379114151,-0.8740985038690269,-0.0011856800129859792,0.2758537861634977,0.02671762072086494,0.30138572687137666
29.49%,303104,0.0064711047,300,63.50419125999999,604.4934067726135,-0.8584184609819203,-0.0002815734333974472,0.2648798897396773,0.025485827684133256,0.2900841439904131
30.31%,311296,0.0068317944,308,67.33456736000001,621.2854542732239,-0.8354097360279411,-0.0007501103329715954,0.25813277722336353,0.025432486169847834,0.28281515306023974
31.13%,319488,0.0057859566,316,70.17245154,638.0473875999451,-0.815069337328896,0.0007794962013876669,0.24810041538439692,0.02839078156475807,0.2772706931505427
31.95%,327680,0.0058794578,324,73.77726403999999,654.8433017730713,-0.7950697763822973,0.00025961646925013295,0.23946297988295556,0.022097222365755443,0.2618198187179611
32.77%,335872,0.0058747258,332,77.09479066,671.7698390483856,-0.7797700608149171,0.0007598028059651741,0.23127010999014602,0.02491034709564701,0.2569402598917582
33.59%,344064,0.0073576268,344,81.24024798,689.0523223876953,-0.746473524114117,-0.0003423780442295997,0.2217709684628062,0.024272785449920776,0.24570137586849733
34.41%,352256,0.0129028955,352,82.21810445999999,705.9570145606995,-0.7272906794212759,0.0072539287528311834,0.20562863952945917,0.03964937994787761,0.2525319482301679
35.23%,360448,0.0095979104,360,82.60322362000001,723.1834201812744,-0.7188167207408697,0.001271843692080118,0.20968489373335614,0.045549670976834024,0.2565064084022703
36.04%,368640,0.0082116829,368,82.57101214000001,740.0402238368988,-0.692037295922637,0.00231522936900888,0.2030914171191398,0.027730123806668415,0.2331367702948171
36.86%,376832,0.0104065156,376,80.16242738,757.2447202205658,-0.6874506447464228,0.0006769731808015223,0.19160221938509495,0.029211531802775425,0.2214907243686719
37.68%,385024,0.0157276975,384,79.51896414,774.0442638397217,-0.6836523400619626,0.0066501485633275155,0.19158857004949822,0.04351703953952892,0.24175575815235467
38.5%,393216,0.0125954313,392,78.8798809,790.9271202087402,-0.672110610967502,0.003801028752707207,0.18804000299423934,0.05622576256155298,0.24806679430849954
39.32%,401408,0.0150527608,400,76.63599232,807.3920321464539,-0.6859387236647307,-0.0003191486734559238,0.1848980273527559,0.022923189286757406,0.20750206796605736
40.14%,409600,0.0168798843,408,75.73327632,824.6193287372589,-0.7025572203099728,0.0014826989402623202,0.19222239800728858,0.08524710318615689,0.2789522001337078
40.96%,417792,0.0150098517,416,77.63351650000001,841.1604452133179,-0.7001775295473636,0.0025449159578354703,0.20405917852185668,0.043219094269989,0.24982318874968107
41.78%,425984,0.0106009529,424,80.82987015999998,857.6330409049988,-0.6830671439412981,0.0005740016141861211,0.19465583708370104,0.027676307129877387,0.22290614582776458
42.6%,434176,0.0074965372,432,83.21754692,874.5965268611908,-0.6518993464298546,0.0008859432108440582,0.18803101722151042,0.02345257034567112,0.21236953077802562
43.42%,442368,0.0077002782,440,84.69292625999998,891.2666039466858,-0.6327711596153677,-0.00011720701326940874,0.1754707373213023,0.02011843851341837,0.1954719688214513
44.24%,450560,0.0074194336,448,88.59824572000001,908.0139129161835,-0.6052050225902349,0.00024173496741022386,0.1696827109379228,0.026899579126620665,0.1968240250319537
45.06%,458752,0.0072683238,456,92.29376364,924.4922654628754,-0.5861273823305965,0.0010021204278548028,0.1602101129188668,0.01967588775578406,0.18088812110250566
45.88%,466944,0.0079786813,464,93.08093982,941.5115115642548,-0.570318500418216,-4.684681100843744e-05,0.15456119680893607,0.019562097183643344,0.17407644718157098
46.69%,475136,0.0104628184,472,94.59681912,958.9519596099854,-0.549959107208997,0.002258181106390498,0.1480030828679446,0.028680256359712074,0.17894152033404717
47.51%,483328,0.0083331694,480,99.00086205999997,976.0708465576172,-0.5337956996168941,0.0010831829416851767,0.1442822247510776,0.07064103084940143,0.2160064385421642
48.33%,491520,0.0082109385,488,103.38291774,993.0144011974335,-0.533367273490876,0.0014947935762137958,0.13891369191696867,0.019722821365940037,0.16013130685912252
49.15%,499712,0.0067692436,496,105.87610834000002,1009.7062978744507,-0.5255431554280221,0.0008198558027043733,0.14124735940131358,0.05558943477299181,0.19765664997700977
49.97%,507904,0.0071817358,504,108.63804509999999,1026.8185856342316,-0.502807300700806,0.002271368920048227,0.13747446124325507,0.03661293730583566,0.17635876746913895
50.79%,516096,0.0062433489,516,112.78141432000001,1043.6214542388916,-0.4879416729789227,0.0014945972486003465,0.12962104079197162,0.023648771257012414,0.15476440929758434
51.61%,524288,0.0076308286,524,115.32046876,1060.6366114616394,-0.47343466938473283,0.0010113361282967429,0.12847158772638068,0.041580055235681354,0.17106297909035878
52.43%,532480,0.015180792,532,113.97651341999999,1077.4607684612274,-0.45395790992770346,0.009504705923894987,0.121622700948501,0.02596515949462628,0.15709256636702226
53.25%,540672,0.0069789501,540,113.14389818,1094.7024774551392,-0.4398569042328745,0.015804565617607024,0.12115142805268989,0.13538434646397945,0.2723403401342764
54.07%,548864,0.0056929955,548,113.07911414,1111.2762355804443,-0.44602099689655006,0.002795434586388698,0.11893434120574967,0.03040930053412012,0.1521390763262585
54.89%,557056,0.0053438143,556,113.14858744000001,1127.958173274994,-0.44882943024858835,0.001199166375451677,0.11831549978815019,0.03780893880229996,0.15732360496590184
55.71%,565248,0.0057452217,564,112.6643082,1145.4325861930847,-0.43768399115651846,0.0012588391470841145,0.1168158963904716,0.022380948035743132,0.14045568357329885
56.52%,573440,0.0053929461,572,110.87150476,1162.0570812225342,-0.41706605795770885,0.0007608386432814524,0.11338103486923501,0.028653937341641723,0.14279581085415818
57.34%,581632,0.0056082724,580,111.15773908000001,1178.7847917079926,-0.4006831455975771,0.00128698087832921,0.10977137209847569,0.023487434962453334,0.13454578793925825
58.16%,589824,0.0054602742,588,110.64334594,1195.8284885883331,-0.3696870506508276,0.0039956847183224556,0.10546827778453008,0.03216040513061671,0.14162436763346925
58.98%,598016,0.0109594691,596,112.74294666000002,1212.8168840408325,-0.35479456081520766,0.005038662040455898,0.1001636967586819,0.03602106863245354,0.14122342743159133
59.8%,606208,0.0065452118,604,113.56764881999999,1229.9869616031647,-0.33555779138114306,0.0021327579401153323,0.0985331665549893,0.019219789906128427,0.11988571440123304
60.62%,614400,0.0049293682,612,114.38332040000002,1246.9808776378632,-0.3157988741993904,0.00275647286000772,0.09244786070776172,0.01909081307512679,0.11429514664289622
61.44%,622592,0.0049285696,620,115.09357104,1264.1909062862396,-0.29855859335511925,0.0010059416347535364,0.09044051930250134,0.014345154962938977,0.10579161590019386
62.26%,630784,0.0034512954,628,114.8655511,1280.9401161670685,-0.29538149242289363,0.0017518827552875159,0.08597449632652569,0.015762874175970866,0.10348925325778406
