Progress,mean_int_reward,total_time,total timesteps,num_episodes,ep_rew_mean,entropy_loss,total_loss,policy_gradient_loss,value_loss,icm_loss
0.0%,1.5383326425,3.4069719314575195,8192,8,-41.019882,,,,,
0.82%,0.1574751126,19.661133289337158,16384,16,-40.638310000000004,-1.423120011202991,7.627929710962111,-0.004411008821567202,6.705755366384983,0.9265853533986956
1.64%,0.0954467711,34.8366379737854,24576,24,-38.893136166666665,-1.426016804482788,1.2213367872357974,-0.0029557590886345668,0.3728687373921275,0.8514238089323044
2.46%,0.0639435358,50.548521995544434,32768,32,-38.91481003125,-1.4257099208422006,1.0351036569597898,-0.0027042869449826687,0.20651174560189248,0.8312961983028799
3.28%,0.0451133085,66.18916058540344,40960,40,-37.673143024999995,-1.4237398651428521,0.9311683174195743,-0.0019351154854710749,0.11769008122209926,0.815413351682946
4.1%,0.0394667475,81.51726651191711,49152,48,-38.44905427083334,-1.4156008363701402,0.88351275067015,-0.002219200762385412,0.05069145972956903,0.8350404917029663
4.92%,0.0352080332,96.65491151809692,57344,56,-38.63096778,-1.4122025124728679,0.842373081638111,-0.0015880609220360296,0.03685305933249765,0.8071080832276494
5.73%,0.0319149461,111.43149757385254,65536,64,-38.74216996,-1.4141429684124887,0.812453710657078,-0.002771703566381753,0.026726825176228885,0.7884985890472308
6.55%,0.0289244266,126.43385124206543,73728,72,-34.36122256,-1.4055200930684806,0.8319529882250307,-0.005033700504999718,0.020809305641523678,0.8161773830885067
7.37%,0.023085864,141.07841444015503,81920,80,-27.31975226,-1.3915319366380572,0.835686444288898,-0.005545716750908687,0.03614051672848291,0.8050916443113237
8.19%,0.0260059981,156.50358605384827,90112,88,-20.595749700000002,-1.3769939340651036,0.7924714751457959,-0.0056574020334646475,0.029149115290056215,0.7689797618892044
9.01%,0.0171176528,171.9702808856964,98304,96,-10.64711216,-1.3605526548810303,0.7774963080422029,-0.0061583489043979586,0.04025556718552252,0.7433990897610784
9.83%,0.0152886139,187.61162638664246,106496,104,-1.3385095400000002,-1.3365024695172907,0.7311516609452442,-0.008826738297073967,0.021587652478410747,0.7183907467639074
10.65%,0.0139914277,203.51028490066528,114688,112,10.28400706,-1.3209039147943258,0.7017737941535124,-0.004494739256308102,0.017469568338492537,0.688798965071328
11.47%,0.0122298197,220.38047766685486,122880,120,17.359994799999996,-1.2982757730409502,0.6714377598089566,-0.0023333890769055977,0.013181121659727069,0.6605900272261351
12.29%,0.0117401768,235.9280927181244,131072,128,21.4372524,-1.2748092892579734,0.629979012019136,-0.0032944664536657974,0.012055626154142374,0.6212178523186594
13.11%,0.0125219638,252.37445974349976,139264,136,24.5363034,-1.2607711147516967,0.6119716426429046,-0.0013255179585461257,0.010952789805105567,0.6023443707963452
13.93%,0.0145258553,269.62807869911194,147456,144,26.98662988,-1.2535038490779697,0.5899896247431472,-0.0023098333326841743,0.009405493660415232,0.5828939644154161
14.75%,0.0115931323,286.104031085968,155648,152,30.331858479999998,-1.2403902183286846,0.6061675551240941,-0.001812298729700219,0.013189482765483262,0.5947903710883111
15.56%,0.0132887628,302.7173361778259,163840,160,32.33299634,-1.2177533313632012,0.5668845052272824,-0.0029308406823096104,0.010460714632790769,0.5593546312768012
16.38%,0.0139653697,317.5279817581177,172032,172,34.8958393,-1.2004105315543712,0.5342230088403682,-0.001826575985282311,0.009528663861692621,0.5265209209639579
17.2%,0.0132480163,334.94602036476135,180224,180,36.06269656,-1.1813417572528124,0.5381155852958258,-0.002428157034184134,0.017439938631105177,0.5231038036989049
18.02%,0.0105323118,350.69857573509216,188416,188,37.78787294,-1.1547235822305084,0.5162077354409813,-0.003313426314638377,0.012819953337384504,0.5067012084182352
18.84%,0.0064346222,368.0558850765228,196608,196,38.87557014,-1.1207551482133566,0.4929228373928911,-0.0033459289210238823,0.013317836109672498,0.48295093020424246
19.66%,0.0049422177,385.33777379989624,204800,204,38.55354434,-1.096047896053642,0.4469887941012126,-0.0018575727445244653,0.009911923187519277,0.43893444365821777
20.48%,0.0052473513,401.6714463233948,212992,212,39.317838619999996,-1.0892433398403227,0.43877139899828954,-0.0012557225079379724,0.0099708366026789,0.43005628490354864
21.3%,0.0042139073,417.5680522918701,221184,220,39.87410616,-1.0651552236638964,0.4308171120507674,-0.001531480039744001,0.010561623959893041,0.42178696813061833
22.12%,0.0038033819,433.6707022190094,229376,228,40.53344492,-1.0379842648282647,0.40252011336310245,-0.0007957275111540617,0.011061992266604648,0.3922538486076519
22.94%,0.0037989354,449.90894985198975,237568,236,40.91603678,-1.0226589635945857,0.38399799704987564,-0.000725243303616086,0.010869557487171732,0.37385368286632004
23.76%,0.0039668211,466.4096760749817,245760,244,41.123485980000005,-1.010702629107982,0.37743025516815243,0.00024288380045277315,0.013997271211928819,0.3631901001557708
24.58%,0.0041942539,482.2204382419586,253952,252,42.39564784,-1.0052198358811437,0.3747387459257383,-0.00010805681563813468,0.012651433442806592,0.3621953692985699
25.4%,0.0037986937,498.5922803878784,262144,260,43.48188956,-0.9948462971951813,0.3694013894680493,0.00031494351990751546,0.013188288080073107,0.35589815786806867
26.21%,0.004087913,515.5379500389099,270336,268,43.99480032,-0.9722913954406976,0.3562091118488588,6.835887064152671e-05,0.013689067683708344,0.3424516852945089
27.03%,0.0033648849,532.5192139148712,278528,276,44.94032617999999,-0.9546051753219217,0.3463439374746104,-0.0007027117207070926,0.01283744663937796,0.33420920255593956
27.85%,0.0033789564,548.9423065185547,286720,284,45.55926772000001,-0.9375229740981013,0.32950649625616185,4.4770931166541124e-05,0.01327606195225144,0.3161856633727439
28.67%,0.0032325604,565.4471771717072,294912,292,45.95469779999999,-0.91480908296071,0.3160955446602684,0.00018148570455015232,0.012543607482552944,0.3033704514731653
29.49%,0.0032888554,582.2200334072113,303104,300,45.822585800000006,-0.8935843209270388,0.30511918515214403,0.000409413072130155,0.013193669788370244,0.2915161022916436
30.31%,0.0032377729,599.6538758277893,311296,308,45.633739059999996,-0.8937703733798117,0.30046694099101995,-0.0010334359932024288,0.014150847699238512,0.28734952928498386
31.13%,0.0028491734,616.1997077465057,319488,316,45.794709919999995,-0.8762819420080632,0.305240431477594,0.0009138811201437107,0.014445120361574481,0.2898814299958758
31.95%,0.0026934577,632.4865908622742,327680,324,46.00053255999999,-0.8496099671814591,0.2875020874235158,0.0012934075832415222,0.013653989100203035,0.2725546907400712
32.77%,0.0034092499,648.2205951213837,335872,332,45.719474099999985,-0.8398725294042378,0.2689492782476792,0.0002666558467000673,0.01392359501116971,0.2547590273898095
33.59%,0.0041174271,664.7865478992462,344064,344,46.22905384000001,-0.8271134263370186,0.2710081594581726,0.00010771651326020628,0.015399547065680964,0.2555008958792314
34.41%,0.0043841121,680.7815494537354,352256,352,46.23957352,-0.805010381899774,0.27395628930294824,0.0014048445568800832,0.023723252213540037,0.2488281925325282
35.23%,0.0037935746,697.6082661151886,360448,360,46.95098556000001,-0.7878621848300099,0.2554863466149278,7.135892594541528e-05,0.01690164682977411,0.23851334085920825
36.04%,0.0030522772,713.7720160484314,368640,368,47.80152996000001,-0.7632455513812602,0.24762018344068482,0.0007796828311339206,0.01567669795972506,0.2311638026498258
36.86%,0.0024704923,731.0701522827148,376832,376,48.11774934,-0.7365503579378128,0.23290431802892195,0.0006628617411608267,0.016044936196726665,0.21619652009103446
37.68%,0.0028052386,748.6852521896362,385024,384,48.72729558,-0.7172375481575728,0.2229166671776682,0.0005019544553818282,0.015461977190909693,0.20695273553137666
38.5%,0.0026786763,765.4754829406738,393216,392,49.72581608,-0.7038478407543153,0.219638379991646,-0.0002621148704307868,0.015889516544257277,0.20401097831781953
39.32%,0.0029637225,782.2321531772614,401408,400,51.0238396,-0.6968511073384434,0.2135060594621611,0.001522549238909728,0.01532580884526169,0.1966577013779897
40.14%,0.0029602334,798.9168598651886,409600,408,51.58636284,-0.6846709154546261,0.21007416365982454,0.0005793793739672093,0.016647401833984075,0.19284738245187327
40.96%,0.0037541912,815.8574459552765,417792,416,52.23675849999999,-0.6745440958533436,0.20474237554394792,0.00046130897715216805,0.01635464190537732,0.18792642466141843
41.78%,0.0038996911,834.4033679962158,425984,424,53.7812142,-0.6599331644829363,0.20029305962686966,-3.518342921333575e-05,0.016306285156406374,0.18402195789967662
42.6%,0.0057406868,852.628748178482,434176,432,55.54645031999999,-0.6534881401341408,0.2015338912586797,0.0022222531439750406,0.01699663833478553,0.18231499977991916
43.42%,0.0060510208,868.1138956546783,442368,440,56.56939224,-0.6484611460007728,0.23009224543778237,0.03410471254156254,0.017592882210851712,0.1783946506853681
44.24%,0.0093263059,883.7788896560669,450560,448,58.534621679999994,-0.6466873698867858,0.20089894224723914,0.0012796684731151955,0.020766360454990716,0.17885291331913322
45.06%,0.0071373191,903.1493420600891,458752,456,61.51881262,-0.6431773033924401,0.20985893923125828,0.001997128543353464,0.030111871751000763,0.17774993893690408
45.88%,0.0062213433,923.6768789291382,466944,464,65.24125894000001,-0.6511815064121038,0.20094314857880077,0.002854965106336628,0.02293008609867684,0.17515809737378732
46.69%,0.0081079283,940.6039972305298,475136,472,68.21875536,-0.6618213018868119,0.19672605743635702,0.0014698795172114684,0.019201240183247138,0.17605493773589842
47.51%,0.0069715394,958.9312980175018,483328,480,72.40693964,-0.6416183043736965,0.20365459409921366,0.0010460885035508617,0.018857667100337493,0.1837508384953253
