num_episodes,mean_int_reward,total_time,Progress,total timesteps,ep_rew_mean,entropy_loss,icm_loss,policy_gradient_loss,value_loss,total_loss
8,1.9856353094,2.896806001663208,0.0%,8192,20.354242250000002,,,,,
16,0.1967665252,19.23541808128357,0.82%,16384,23.433999687500002,-1.4143756059929729,0.9974771601613611,-0.00435105680487142,12.389861880987883,13.382987984344371
24,0.1099315883,34.95908069610596,1.64%,24576,26.181324125000003,-1.3985332279466092,0.8532682929188014,-0.0029895621603543915,1.1632241869810969,2.013502917739544
32,0.0650153471,50.96160840988159,2.46%,32768,26.28302228125,-1.3715334155596792,0.7943296138895676,-0.002459724886752415,0.4820541533641517,1.2739240423669669
40,0.0499268516,67.67534184455872,3.28%,40960,27.177054750000003,-1.3578271958045662,0.7486497496720403,-0.0029316113857689704,0.20106945019797423,0.9467875884842456
48,0.0309844894,84.6420488357544,4.1%,49152,27.505631604166666,-1.3452793897129596,0.7245779847726226,-0.0030069817082425546,0.07740316023409832,0.7989741632984784
56,0.0246400782,102.00200939178467,4.92%,57344,28.40190038,-1.3271842419169844,0.6787257721181958,-0.0013541806626973865,0.037307401606813076,0.7146789930623115
64,0.017127881,119.60213422775269,5.73%,65536,28.851854780000004,-1.3108592031523585,0.6631495645036921,-0.0011441341377962707,0.019229922815429745,0.6812353531813256
72,0.0073624549,136.98594069480896,6.55%,73728,27.55438734000001,-1.2737023093737663,0.6462057429132984,-0.0020133683882152436,0.015136480189539725,0.6593288547146228
80,0.012227156,154.26178622245789,7.37%,81920,26.362810579999994,-1.2622440923936664,0.5816237984690815,-0.00125329635493856,0.009170385205152343,0.5895408873192953
88,0.0219173375,171.98284697532654,8.19%,90112,26.17189474,-1.2592303951270878,0.5874779053265229,-0.0022746915255832043,0.02930772132167476,0.6145109351226145
96,0.0137107535,190.1526074409485,9.01%,98304,24.96924534,-1.2399399927817285,0.5972974787233397,-0.002593954089218459,0.07508593247039244,0.6697894571045138
