ep_rew_mean,total_time,num_episodes,total timesteps,entropy_loss,policy_gradient_loss,value_loss,total_loss
11.08,0.42323923110961914,95,1024,,,,
13.12,1.7796897888183594,173,2048,-1.411545429378748,-0.002552959894676871,2.9585273656994104,2.9559744058047333
11.92,2.7399251461029053,259,3072,-1.3948843460530043,-0.005600846618569225,1.6647111177444458,1.6591102711258765
13.32,3.662644386291504,331,4096,-1.3751223105937243,-0.0021580500580625954,1.0862990450114012,1.0841409949533385
20.12,4.604568719863892,382,5120,-1.3594038300216198,-0.01369423991729396,0.9568154597654939,0.9431212198482
22.04,5.549562215805054,429,6144,-1.331993443891406,-0.006851286948817377,1.259325115941465,1.2524738289926476
24.42,6.491087198257446,466,7168,-1.3100485932081938,-0.001726982669856372,1.2296083243563771,1.2278813416865209
28.7,7.395175933837891,502,8192,-1.286223791539669,-0.005869180816627861,1.135639782063663,1.129770601247035
29.64,8.31921124458313,537,9216,-1.2430807314813137,-0.0012945394626638484,1.0979344137012959,1.0966398742386319
34.38,9.157218933105469,565,10240,-1.202376900240779,-0.0005718418649771526,0.9906298127025366,0.9900579708375594
38.3,10.052131652832031,589,11264,-1.1720735430717468,0.0012633464406433485,0.849669189658016,0.8509325360986594
41.48,10.999802350997925,612,12288,-1.1587823536247015,-0.0018293211049628224,0.8591459165327251,0.8573165954277623
47.68,11.86150860786438,633,13312,-1.1406698022037745,-0.002031994788103202,0.8927457830868661,0.8907137882987629
48.46,12.737004280090332,656,14336,-1.1245749928057194,0.0013039566710595833,0.796628758776933,0.7979327154479925
43.7,13.596315860748291,679,15360,-1.1100364029407501,-0.0003382462487712501,0.8831523917615414,0.8828141455127702
43.08,14.474218606948853,703,16384,-1.081312082707882,-0.0009524864069039157,0.704782058019191,0.7038295716122871
46.58,15.32371711730957,724,17408,-1.054362691938877,-0.006545393314136044,0.7308396934531629,0.724294300139027
52.5,16.25274658203125,735,18432,-1.0376795437186956,-0.0014040569334052312,0.4951170093845576,0.4937129524511524
69.22,16.975082635879517,744,19456,-1.0343053471297026,0.00015507747787646907,0.5832130261696875,0.583368103647564
79.54,17.7238450050354,749,20480,-1.018631124868989,-0.005584535375056186,1.1322445832192898,1.1266600478442337
82.02,18.492492198944092,751,21504,-0.9983039861544967,0.002535149340170395,0.9507143213413656,0.953249470681536
97.48,19.189427375793457,754,22528,-0.9884797055274248,-0.00033374795698194086,0.6473123556934297,0.6469786077364478
105.74,19.904738664627075,755,23552,-0.9671227941289544,0.0023790763438816063,0.9917016802355647,0.9940807565794464
125.48,20.630991458892822,756,24576,-0.9547827299684286,-0.005113145510466332,0.4579428690485656,0.45282972353809925
133.18,21.33811616897583,757,25600,-0.9519671378657222,0.001499662201207092,0.6239304638002068,0.6254301260014139
173.9,22.063778400421143,761,26624,-0.9358457066118717,-0.0014739110713861787,0.6225501685403287,0.6210762574689426
192.64,22.79668140411377,762,27648,-0.9097366025671363,0.010742214670672457,1.6938107246533036,1.704552939323976
207.44,23.489279747009277,765,28672,-0.8915189122781157,-0.0027731814744284137,0.6422668071463704,0.639493625671942
217.76,24.181984663009644,767,29696,-0.8790096417069435,-0.00045035503944767315,1.2766547864302993,1.2762044313908514
236.38,24.899743795394897,768,30720,-0.8426571190357208,0.007921802900607714,0.6858883476816118,0.6938101505822195
236.38,25.676133632659912,768,31744,-0.8191515244543552,-0.0017540387910299996,0.7145630056038499,0.7128089668128199
274.22,26.302924394607544,770,32768,-0.8167230421677232,-0.004092169523749492,0.06461803865386173,0.060525869130112236
293.98,26.959617853164673,772,33792,-0.8090482968837023,0.0012367605515154327,1.3852267656475306,1.3864635261990461
312.34,27.66908597946167,773,34816,-0.8072087541222572,-0.0014711135398489486,1.1612645464483649,1.1597934329085158
312.34,28.390848875045776,773,35840,-0.8040702203288674,-0.0002448675004451906,0.7648748059291393,0.7646299384286941
366.64,29.093246698379517,776,36864,-0.7870440930128098,-0.0005475844394120136,0.05108060807106085,0.05053302363164884
366.64,29.791550636291504,776,37888,-0.7688725646585226,-0.00013091712446965586,1.9944223989732563,1.9942914818487867
385.2,30.478559255599976,777,38912,-0.7563966270536184,-0.001905480464102338,0.09335189952980727,0.09144641906570493
385.2,31.125646114349365,777,39936,-0.7488530315458775,-0.00029014070378831033,0.5528057058691047,0.5525155651653164
442.82,31.859674215316772,780,40960,-0.7535018315538764,-0.004442740996971658,0.035098324820864946,0.030655583823893287
460.44,32.52634119987488,782,41984,-0.7566668782383204,-0.004912386929482871,2.4801857247948647,2.4752733378653815
