total timesteps,num_episodes,ep_rew_mean,total_time,entropy_loss,value_loss,policy_gradient_loss,total_loss
8192,1288,5.94,3.1914007663726807,,,,
16384,2464,7.2,13.167582750320435,-1.3669333390891552,3.2081216011196374,-0.017840670992943945,3.1902809301266934
24576,3378,8.06,25.035565853118896,-1.2727679071947933,1.5624844318255782,-0.03160201980321168,1.5308824120223665
32768,4001,13.6,36.82512044906616,-1.1810837333090602,1.5805625048000365,-0.029482863022924844,1.5510796417771116
40960,4371,25.84,48.0130033493042,-1.089674985129386,1.835176453460008,-0.026960328601023396,1.8082161248589845
49152,4628,32.0,57.661081314086914,-1.0025931522715836,1.6884607930667699,-0.018871622088923408,1.6695891709778465
57344,4800,49.92,67.99224138259888,-0.9302728714421391,1.34606265979819,-0.014211041724887344,1.3318516180733027
65536,4949,59.46,77.86574101448059,-0.8788768471218645,1.0127884273417294,-0.009686129274086644,1.003102298067643
73728,5044,83.7,87.28310203552246,-0.8225408081896604,0.7304677992826327,-0.009023134401063651,0.7214446648815691
81920,5114,120.34,97.55445122718811,-0.7761141507420689,0.6314808686729521,-0.006476494812041894,0.6250043738609101
90112,5158,164.84,106.68876147270203,-0.7375311703886837,0.6490063301986083,-0.0057655356237660185,0.6432407945748423
98304,5188,224.46,116.62897944450378,-0.699203113745898,0.620001191017218,-0.008331630133164422,0.6116695608840536
106496,5206,334.92,126.8290741443634,-0.6524769911542535,0.5284681362565606,-0.006357303101897774,0.5221108331546629
114688,5215,419.74,136.57737374305725,-0.6134136148262769,0.4865260050748475,-0.009223213027156365,0.47730279204769116
122880,5225,548.36,147.45269107818604,-0.5848583050537854,0.46285579840186986,-0.006914166318475518,0.45594163208339433
131072,5233,676.54,157.5786371231079,-0.5556767374742776,0.5573902681935579,-0.002607903168590948,0.5547823650249669
139264,5241,783.16,167.97671627998352,-0.5138093636604026,0.5622631271427962,-0.0032322985207807685,0.5590308286220156
147456,5249,864.18,180.7299039363861,-0.4566933319438249,0.5836062631628011,-0.0007472432020536888,0.5828590199607474
155648,5257,931.86,192.05617499351501,-0.42492460140492766,0.6398359498998616,0.00026815958340434276,0.6401041094832658
163840,5265,979.14,201.91820120811462,-0.4092966552823782,0.6477174012979958,0.0003720570109354737,0.6480894583089313
163840,5265,979.14,209.7793996334076,-0.40846489677205683,0.6865005592437228,0.0010234953396882262,0.687524054583411
