num_episodes,total_time,ep_rew_mean,total timesteps,total_loss,value_loss,entropy_loss,policy_gradient_loss
20,0.6703333854675293,-139.34081195,1024,,,,
40,2.020986318588257,-135.655677975,2048,0.7546484971084422,0.7601667237468064,-1.4050417356193066,-0.005518226638364133
60,3.0522654056549072,-131.05547942,3072,0.07137263088198478,0.07748485769843683,-1.3769603129476309,-0.006112226816452033
80,3.9713358879089355,-124.15413289999998,4096,0.04902417069712416,0.05412438162602484,-1.3435140196233988,-0.005100210928900681
100,4.873459815979004,-113.27322248000002,5120,0.062019162952342985,0.06755094171967357,-1.307899223640561,-0.00553177876733059
120,5.842156410217285,-104.19955554,6144,0.054089664054219735,0.06085219554370269,-1.2678994927555323,-0.006762531489482955
140,6.758508205413818,-93.63572171999998,7168,0.039622554184280304,0.046206038270611316,-1.2331461012363434,-0.006583484086331014
160,7.66745662689209,-87.44477904000001,8192,0.0426112551339218,0.04509598738513887,-1.1925351079553366,-0.002484732251217066
184,8.510457515716553,-81.01681051999999,9216,0.02624703927712011,0.028842824409366585,-1.1579706594347954,-0.002595785132246474
204,9.359198570251465,-74.33905736000001,10240,0.022104820891103095,0.02685461234068498,-1.1274718288332224,-0.004749791449581886
224,10.244261026382446,-70.68773824,11264,0.03552469016591421,0.0350367471401114,-1.0924841798841953,0.00048794302580280847
244,11.11199951171875,-67.53836316,12288,0.018268211283172776,0.02442531041742768,-1.0602002386003733,-0.006157099134254905
264,11.972167491912842,-64.71994728,13312,0.01770233593221475,0.025408580288058147,-1.0270805396139622,-0.0077062443558434
284,12.859773397445679,-61.3892954,14336,0.028737749142634862,0.032738825102569535,-0.9919440234079957,-0.004001075959934674
304,13.784426212310791,-57.96578642,15360,0.021646482599996165,0.022864152342663147,-0.9531925767660141,-0.0012176697426669787
324,14.593514680862427,-55.70834770000001,16384,0.022127749899669973,0.02136779135616962,-0.9236523052677512,0.0007599585435003548
348,15.426453828811646,-52.311319139999995,17408,0.024004288726225065,0.02281470062735025,-0.8896614518016577,0.0011895880988748177
368,16.29662847518921,-47.8437323,18432,0.019173987517066962,0.020768430695170537,-0.854173107072711,-0.0015944431781035754
388,17.16422724723816,-45.41916330000001,19456,0.026671486275186618,0.022681165501126088,-0.8286508675664663,0.0039903207740605295
408,18.081758975982666,-44.38035756,20480,0.021382591806235186,0.02342109325400088,-0.8031624760478735,-0.0020385014477656937
428,18.959258556365967,-42.712537780000005,21504,0.017059261378016784,0.0196867008053232,-0.7644967315718532,-0.0026274394273064113
448,19.802619218826294,-41.606044059999995,22528,0.015517244546193033,0.014948302239645272,-0.7308871075510979,0.0005689423065477603
468,20.630024909973145,-38.99030611999999,23552,0.023748636685808452,0.018791155525832437,-0.7063279952853918,0.004957481159976016
488,21.493372917175293,-37.77554826,24576,0.01817357911245363,0.018631168961292133,-0.6863396083936095,-0.0004575898488385038
512,22.383583307266235,-35.546641820000005,25600,0.019106356461329722,0.01760696741985157,-0.6586836567148566,0.0014993890414781504
532,23.16534399986267,-34.0198936,26624,0.01763950295032938,0.016867800426553003,-0.6274130064994097,0.0007717025237763731
552,24.004499435424805,-33.333305579999994,27648,0.019730025918029602,0.019281187895103358,-0.6033192509785295,0.0004488380229262445
572,24.823002576828003,-32.14134386,28672,0.020339197270820036,0.02124956606712658,-0.5853058882057667,-0.0009103687963065432
592,25.72080898284912,-31.279692320000002,29696,0.019568652581586514,0.01634178812673781,-0.5638475734740496,0.0032268644548487037
612,26.55832529067993,-30.630929300000002,30720,0.018818975107052202,0.017579155901330523,-0.5456967763602734,0.001239819205721679
632,27.325464725494385,-29.918251839999996,31744,0.020408928420346265,0.01447036194440443,-0.5286453384906054,0.005938566475941832
652,28.1589035987854,-28.417609519999996,32768,0.009876710968044017,0.011145938013214618,-0.5045756855979562,-0.0012692270451706003
672,29.029183864593506,-27.286273459999997,33792,0.01235931148380927,0.012980159328435548,-0.47395008616149426,-0.0006208478446262777
696,29.922946453094482,-26.485975840000002,34816,0.0153675563355957,0.010748863256594632,-0.4421544815413654,0.004618693079001068
716,30.811690092086792,-27.35704376,35840,0.024238334763786073,0.017034429096383974,-0.41531185852363706,0.007203905667402099
736,31.78095269203186,-25.997765280000003,36864,0.022087466606331464,0.018338240348384716,-0.3858164786361158,0.0037492262579467478
