total timesteps,mean_int_reward,ep_rew_mean,total_time,num_episodes,value_loss,total_loss,entropy_loss,policy_gradient_loss,intrinsic_loss
8192,0.012097726,51.374109960000006,3.176223039627075,1375,,,,,
16384,0.10847977,55.98972642,16.599770545959473,2647,3.438669518940151,4.291275171386009,-1.4166973114944994,-0.012155956102138772,1.7295232170959935
24576,0.0011588994,65.12093436,29.96571707725525,3810,2.9328419261612,4.759522770575207,-1.3787073520943522,-0.019276093089062602,3.691913875006139
32768,0.00024162902,69.7852761,42.39424514770508,4867,2.1133621643297373,2.10871883008674,-1.3473124109208583,-0.012405768148552113,0.015524867811109289
40960,0.004735745,84.17360129999999,55.30692458152771,5812,1.3315785482525826,1.31507820300118,-1.2982049914076925,-0.016962387539477236,0.000924084576149653
49152,1.9044953e-07,90.21254479999999,68.19030904769897,6687,1.3369266933295876,1.3228963339830895,-1.220194179005921,-0.01539011174099896,0.0027195047890018033
57344,1.7774022e-07,83.51851445999999,81.28962111473083,7528,1.1884671926964074,1.173692299968915,-1.1301815499551595,-0.014892504709210047,0.00023522396343480522
65536,6.659768e-09,87.21518839999999,93.98298263549805,8383,1.0713059842586516,1.0585211513560622,-1.0510859413072466,-0.012839410155884698,0.00010915450659041426
73728,5.459231e-12,75.43341754000001,106.62237119674683,9244,0.836168002197519,0.8209413942338827,-0.9856406559702009,-0.015264023736818993,7.483154636531709e-05
81920,1.6834733e-08,84.16185577999998,120.87857389450073,10120,0.6642981181619689,0.6465710292594478,-0.9248792270198465,-0.017752152249417414,5.012669379240719e-05
90112,1.6749551e-11,86.04516036000001,133.61548280715942,10966,0.5270200350903906,0.5054592049708285,-0.8560325975064188,-0.02157989603661401,3.8131834103793946e-05
98304,5.8367555e-10,85.76451620000002,146.38198518753052,11777,0.44579318169271576,0.4259962150409475,-0.788267217669636,-0.019811398257600643,2.8863211664642564e-05
106496,1.2602502e-08,94.99410139999998,159.36272525787354,12548,0.4954297575750388,0.4765088172568762,-0.7414096586406231,-0.0189343998289739,2.6919021622617834e-05
114688,1.0424067e-13,105.90387798,172.23889446258545,13265,0.4869601330254227,0.46439054500303223,-0.6950849919114261,-0.02258161188198389,2.4047719186981455e-05
122880,1.2224314e-13,116.61423638000001,185.26209568977356,13946,0.5603144137654453,0.5380753662827663,-0.630564947379753,-0.02224979406238758,2.1493159417040887e-05
131072,1.1145415e-13,106.15099306000002,198.3407952785492,14595,0.5494181615184062,0.5258182713710348,-0.5684003513306379,-0.02360802162335977,1.62629519767421e-05
139264,1.8722228e-13,133.04523996,211.20247316360474,15172,0.5485224392730743,0.5304658326011815,-0.541793082235381,-0.018066094425115115,1.897550644471835e-05
147456,1.5488618e-13,156.47643200000002,224.02305841445923,15713,0.788838536455296,0.7723201900625373,-0.4970491186250001,-0.01653000830440548,2.3323823293530667e-05
155648,1.9250132e-13,149.27725208,236.70206236839294,16233,0.6877604897366837,0.6671125386273198,-0.4623589474475011,-0.02065555824538821,1.521427204878023e-05
163840,2.6790606e-13,156.17192651999997,249.37559986114502,16701,0.664480140095111,0.6433474103462073,-0.41304686362855136,-0.02113973382067814,1.4008143549126828e-05
172032,3.6805576e-13,194.84891086,261.52288794517517,17122,0.7865276945289225,0.7677228088763624,-0.35177022833377125,-0.0188135337388129,1.7296172505698594e-05
180224,3.7781226e-13,233.20461388,273.949903011322,17457,0.9030973834916949,0.8863085207597272,-0.2787672462873161,-0.016795617249995454,1.3509036055303626e-05
188416,9.44174e-12,225.53792163999998,286.6855773925781,17764,1.0465816641459242,1.034625816268425,-0.2115371241234243,-0.011965044704389902,1.839365378160096e-05
196608,6.5024673e-13,295.37190782,299.2051441669464,18039,0.958845784352161,0.9509584248657166,-0.15236635180190206,-0.007894328339114815,1.3937705340794081e-05
204800,4.5165862e-13,288.42958776,311.66059613227844,18304,0.9356419249204919,0.9300877370138979,-0.09968932261690497,-0.005559449700331823,1.0523587475574913e-05
212992,2.3498908e-10,299.19310274,325.0172700881958,18554,0.6808218450285495,0.6743715560267602,-0.03565973956137895,-0.006454295182367174,8.012361156062298e-06
221184,1.7115399e-12,341.49708530000004,338.00901341438293,18783,0.6664191804593429,0.661872353169106,0.026234513986855744,-0.004550807222495923,7.95986451791464e-06
229376,3.162043e-13,312.35440536000004,350.77200174331665,19008,0.6274235231685452,0.6257954300549128,0.0634022768586874,-0.0016316320015018343,7.077775738784098e-06
237568,2.7504979e-13,386.9494413999999,363.1409077644348,19209,0.6014004586846567,0.5964293218411594,0.08932036813348532,-0.004973561357024456,4.849027054021348e-06
245760,3.7886534e-13,350.78484629999997,375.6781599521637,19422,0.590873913699761,0.5896195368755407,0.10294723026454448,-0.0012574066640189889,6.05967959721454e-06
253952,2.9445185e-13,400.67162837999996,388.6990740299225,19617,0.5894981336547062,0.5869256871795081,0.11085918685421348,-0.0025754379250941236,5.982899792189578e-06
262144,2.4517156e-13,438.84196395999993,401.34982562065125,19798,0.6377620007726363,0.635537534647746,0.13201329186558725,-0.0022278148815466506,6.697513312525771e-06
