total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,intrinsic_loss,entropy_loss,policy_gradient_loss,value_loss,total_loss
8192,0.07033607,1417,47.73664616000001,3.243009090423584,,,,,
16384,0.08542538,2675,65.16609026,21.803962230682373,39.599228361505084,-1.4123668141663075,-0.01831015529164165,2.906447364576161,22.68775139003706
24576,4.463012e-07,3819,68.5563537,40.00050163269043,20.85868216641247,-1.3691985819488763,-0.024404466345930537,2.3580156906507908,12.762952307511096
32768,0.025554398,4858,70.56500076,57.609602212905884,0.029474090933581464,-1.3033932932652532,-0.017797221231222453,1.3802716188598425,1.3772114430954108
40960,0.00011608341,5817,84.75326052,75.57063627243042,6.574031019100221,-1.2205656638368965,-0.01820390602985042,0.9202949831960723,4.189106586716333
49152,1.6344986e-08,6776,76.47131936000001,93.64578294754028,0.023549135419898448,-1.1213827121071518,-0.02074726101443101,0.8425971359480172,0.8336244426435353
57344,1.2508436e-08,7677,87.61173110000001,111.519939661026,0.007643265967828938,-1.0296526972204447,-0.024884903842014944,0.6559094837401063,0.6348462128820057
65536,2.7737819e-09,8548,86.60784732000002,129.1066291332245,0.0009952377223498843,-0.9484746251720935,-0.021275915242178162,0.6662051705177874,0.6454268741367841
73728,5.287276e-05,9414,87.4627945,147.2494411468506,0.0005560113301783076,-0.872702274704352,-0.020778326863030005,0.5874191497219726,0.5669188285240317
81920,5.505524e-10,10222,88.24482639999998,165.31195950508118,0.00042567185793984663,-0.8244207064621151,-0.02441785616666785,0.5651895481976681,0.5409845279599701
90112,4.609284e-10,10996,90.22392774,183.1685914993286,0.00019597109912297128,-0.7704370147548616,-0.020405826891826812,0.6337840979686007,0.6134762566263353
98304,3.42945e-10,11702,114.4324395,201.1994366645813,0.0001744616886085737,-0.7099711243994534,-0.020127147027477997,0.647369787027128,0.6273298708439543
106496,1.8826165e-09,12344,122.53277528000001,218.8891851902008,0.00013786453998534398,-0.6482127129100264,-0.016844147387918045,0.7289141027489677,0.7121388876310423
114688,2.2436538e-08,12919,138.50800246,236.9391815662384,0.00019685438176892945,-0.5808411459904164,-0.01702061880043021,0.8477862123167142,0.8308640207071685
122880,1.1083902e-10,13446,150.19963836,254.51679801940918,0.00011766755119282379,-0.5093161882134154,-0.011720522840146722,0.866550877597183,0.8548891885326327
131072,7.876738e-11,13910,170.19659766000004,272.53187251091003,9.09843426299517e-05,-0.4408981568412855,-0.013053500390745399,0.8995833702851087,0.8865753620656782
139264,4.938612e-11,14359,173.03550691999996,290.41984844207764,9.980021040050247e-05,-0.38286016408819706,-0.007618562729185653,0.9222634294303134,0.914694766806328
147456,2.5977023e-11,14762,188.7816538,308.2673568725586,6.744711714397056e-05,-0.31907311715185643,-0.006383992428724608,0.9608675403054804,0.9545172714353278
155648,1.4338334e-11,15146,199.88293059999995,326.2442629337311,8.145688674794371e-05,-0.2601816836744547,-0.007616719164819236,0.8967557943891734,0.8891798036677281
163840,5.4524428e-12,15510,207.83377051999997,344.0778839588165,5.538658594907986e-05,-0.20980086140334606,-0.010229632997754787,0.839586635120213,0.8293846954154327
172032,1.9673182e-12,15827,243.77897655999993,361.8190472126007,4.919324446532869e-05,-0.15262981094419956,-0.006059951664457782,0.825963048194535,0.81992769315231
180224,8.50637e-13,16121,247.31571630000002,379.446026802063,6.0242096616214266e-05,-0.1014109930023551,-0.0015569428590966462,0.7638501176144927,0.7623232958037043
188416,5.5969785e-13,16415,243.92391873999998,397.093594789505,6.482328235222213e-05,-0.04838386671617627,-0.01189603928188819,0.7537212018156424,0.7418575741749304
196608,5.2657976e-13,16707,271.83843882,415.36020064353943,4.2546091542483563e-05,-0.004779912251979113,-0.0013396209815848355,0.6457620244240388,0.6444436764882252
204800,5.408497e-13,16993,280.21258808,432.867728471756,4.552006397080532e-05,0.014209607057273388,0.001933829091752802,0.5764959563850425,0.5784525455087807
212992,5.124175e-13,17264,270.93919244,451.0389189720154,2.9355335225478286e-05,0.029922046698629856,-0.0016036343137536535,0.6001570863067173,0.5985681296605764
221184,5.161323e-13,17521,296.4164646,469.0251920223236,3.917049401049866e-05,0.06162442285567522,-0.003429598578543728,0.5909214985440485,0.5875114852125101
229376,6.079582e-13,17760,351.15299015999994,486.7790081501007,2.5911611007600753e-05,0.1006385214626789,-0.004446446930541639,0.4890993449254893,0.48466585380045135
237568,6.0359703e-13,17996,321.92312365999993,504.48839926719666,4.996272922728195e-05,0.14258210696280002,-0.008724297994574215,0.555634478176944,0.5469351615469834
245760,5.913087e-13,18224,362.5669680799999,521.6343464851379,3.316980992256191e-05,0.19035266134887935,0.0014717812555359439,0.5293636151356622,0.5308519812961595
253952,6.7337417e-13,18434,378.78547204,539.5614042282104,3.0212617216651694e-05,0.2131043015047908,0.0049241989102103735,0.5092198455240577,0.5141591507428764
262144,8.897996e-13,18630,388.4133248,557.4728138446808,5.983001742393412e-05,0.2432942945510149,0.003715877563944092,0.4970312867080793,0.5007770792807353
270336,7.7548e-13,18807,445.19607756,575.2493155002594,4.841934382548985e-06,0.27284195721149446,0.004108876346150697,0.563393357093446,0.5675046544067879
278528,6.259278e-13,18978,470.8056973800001,593.5470516681671,3.151881119389799e-05,0.29492323137819765,0.005017993541343982,0.6117147618206218,0.6167485147675628
286720,5.231453e-13,19129,474.76587214,611.1381525993347,3.3809917190152916e-05,0.3204268844798207,0.0017636018700743536,0.7284270427422598,0.7302075495709293
294912,3.9938137e-13,19287,496.02147306,629.1646721363068,2.680907379648545e-05,0.33233377961441873,0.004833973018220791,0.8326096277916804,0.8374570053467993
303104,3.004045e-13,19435,489.02479442,647.4840624332428,1.6586496704462662e-05,0.362074267771095,0.00767919127210135,0.8194392741424963,0.8271267586629498
311296,2.6738494e-13,19560,592.5165768400001,665.4734053611755,3.822080997233357e-05,0.4011310517787933,0.004929013395095131,0.7123426027363167,0.7172907265363979
