num_episodes,total_time,total timesteps,ep_rew_mean,mean_int_reward,value_loss,total_loss,entropy_loss,policy_gradient_loss,intrinsic_loss
74,0.648350239,1024,12.64,0,,,,,
150,1.766839266,2048,14.54,0,1.708108713,1.724279657,-1.413342237,-0.001949436,0.03624076
186,2.853031397,3072,23.94,0,1.194651565,1.175982917,-1.390268797,-0.019317424,0.001297552
214,4.069235802,4096,33.1,0,1.063929664,1.062237534,-1.361775497,-0.001994033,0.000603807
234,5.301246643,5120,38.94,0,0.757181249,0.747159192,-1.333624212,-0.010225588,0.000407061
255,6.587823153,6144,47.32,0,0.879449412,0.876644926,-1.307354616,-0.003012476,0.000415979
271,7.708982706,7168,53.24,0,0.769240125,0.765031106,-1.287209604,-0.004333929,0.000249821
289,8.681180954,8192,59.22,0.12427568,0.67960379,0.673550677,-1.280044114,-0.006160295,0.000214362
302,9.756762981,9216,62.76,0.17471425,0.718420143,21.75872035,-1.258515134,-0.002266811,42.08513404
316,10.89634848,10240,65.4,0.103258766,0.850061594,16.69720591,-1.217409289,-0.002431781,31.69915219
328,12.03229094,11264,73.62,0.12922733,0.93358425,8.41750329,-1.19061378,-0.007398075,14.98263423
340,13.22051287,12288,78.92,0.070847765,0.693239924,6.787740817,-1.173111102,-0.009476404,12.20795459
351,14.56392908,13312,82.62,0.062073633,0.844565837,3.619714046,-1.145801909,-0.003083104,5.556462627
363,15.73602009,14336,88.86,0.055753723,0.600710747,1.641774244,-1.124448199,-0.003408184,2.088943362
379,16.90578794,15360,81.42,0.03944926,0.422727981,1.047723228,-1.097414073,-0.009893914,1.269778321
389,18.1312685,16384,85.2,0.018571718,0.460656718,1.278290549,-1.05914375,-0.00373324,1.642734143
406,19.39599824,17408,73.16,0.010856951,0.245945623,0.58097316,-1.031943677,0.002052124,0.665950827
423,20.59720588,18432,67.04,0.004256942,0.366312786,0.773714333,-1.022598159,-0.001847584,0.818498261
439,21.69740152,19456,63.54,0.00129655,0.353595841,0.641909472,-0.989812139,-0.004011815,0.584650893
449,22.87491941,20480,67.02,0.000348256,0.250120961,0.531729957,-0.963859495,-0.001683554,0.566585099
462,24.07599354,21504,75.38,8.35E-05,0.210249932,0.383857138,-0.947130576,-0.000886472,0.348987355
471,25.28607225,22528,83.34,1.09E-05,0.229507836,0.318554783,-0.933191047,0.000211634,0.177670626
483,26.44125557,23552,89.58,2.14E-06,0.242789599,0.27793703,-0.92024152,-0.005254212,0.080803286
495,27.6818738,24576,90.22,1.37E-07,0.227419715,0.256072149,-0.916872021,-0.000366033,0.058036934
509,28.91749907,25600,86.5,1.49E-08,0.188829064,0.21254297,-0.901614195,-0.001103657,0.049635124
518,30.02482772,26624,87.8,5.74E-09,0.403660015,0.416091653,-0.87343604,0.00058761,0.023688056
531,31.19996452,27648,86.76,2.23E-09,0.216093205,0.220729249,-0.856877211,-0.000426742,0.01012557
541,32.45320034,28672,87.24,8.46E-10,0.16298584,0.166817438,-0.844396907,0.000918933,0.00582533
552,33.62837529,29696,91.54,6.90E-10,0.15220534,0.150217271,-0.849792541,-0.003687128,0.003398118
561,34.86436749,30720,97.7,8.84E-13,0.180216498,0.172420423,-0.86587677,-0.008956525,0.002320898
572,36.1408267,31744,95.14,1.21E-09,0.541953078,0.559495042,-0.874563704,0.016422544,0.002238842
583,37.3945055,32768,96.86,5.21E-14,0.40506061,0.402880651,-0.876609245,-0.003056937,0.001753957
593,38.48390794,33792,95.72,1.17E-09,0.638173488,0.638445033,-0.858939846,-0.000243111,0.00102931
600,39.46781802,34816,103.88,7.43E-14,0.621003493,0.613772502,-0.840846349,-0.007982022,0.001502062
