total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,intrinsic_loss,entropy_loss,policy_gradient_loss,value_loss,total_loss
1024,0.0,20,-139.34424540000003,0.5683269500732422,,,,,
2048,0.0,40,-135.63605940000002,1.755873203277588,0.33065022178925574,-1.4059327393770218,-0.005210681918711765,1.8426514267921448,2.002765855768061
3072,0.0,60,-127.26822404,2.9668102264404297,0.1366328690201044,-1.3912146538496017,0.001694235398153395,0.6342681800015271,0.7042788499097327
4096,0.0,80,-122.33894452,4.116110563278198,0.020445761387236416,-1.3764486983418465,0.0003842386891955091,0.3488460686057806,0.3594531879885943
5120,0.0,100,-120.54814630000001,5.240659236907959,0.00770649532933021,-1.354001035913825,-0.008217506725147572,0.3416975860018283,0.3373333269413459
6144,0.0,120,-116.75110782,6.490719318389893,0.005026331922636018,-1.330794608220458,-0.004741881584817776,0.36525143403559923,0.36302271841209943
7168,0.0,140,-111.91047264,7.744375944137573,0.0025286063719249796,-1.3059148043394089,-0.0034692316338658033,0.39573086611926556,0.39352593767136224
8192,0.08266897,160,-105.48978831999999,8.942818403244019,0.002458105893310858,-1.2883963473141193,0.0011040543487825225,0.33534054341726005,0.337673650712698
9216,0.24472329,184,-107.19460545999999,10.249422311782837,10.370365306735039,-1.272866915911436,-0.0006062383477937966,0.371842457447201,5.556418872466926
10240,0.33102158,204,-104.00369148000001,11.520777702331543,27.29571445286274,-1.2484221905469894,-0.009546671805291538,0.3905484366696328,14.028858991295712
11264,0.3436557,224,-100.38139234000002,12.747967958450317,55.46025002002716,-1.2209316026419401,-0.0034553815766663236,0.29723455710336566,28.02390418554028
12288,0.08744801,244,-99.2574802,13.934135437011719,45.61557564139366,-1.208598418161273,-0.004755408873508907,0.2715933092404157,23.074625721063736
13312,0.13266578,264,-98.05478621999998,15.165913105010986,3.7206827159971,-1.1996274404227734,-0.002504005332516693,0.2676380609627813,2.1254754136288145
14336,0.08592223,284,-95.39368651999999,16.41450548171997,4.0946499444544315,-1.183656757697463,-0.001706524575558303,0.27177989878691733,2.317398346438575
