#{"t_start": 1595849462.8508396, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,520,8.194183
5.0,1458,27.226759
0.0,563,34.163192
1.0,648,46.427858
6.0,1572,77.30024
0.0,609,89.388691
0.0,557,99.732017
5.0,1406,131.685842
0.0,579,143.175666
0.0,548,152.339903
0.0,581,161.993055
1.0,668,172.312724
9.0,1614,199.531482
0.0,551,209.292219
1.0,765,224.77329
1.0,697,236.689703
5.0,1406,266.333933
5.0,1434,295.385305
2.0,954,316.541049
2.0,832,331.826252
4.0,1162,353.790746
4.0,1263,381.125631
9.0,1656,411.738837
3.0,1094,433.960653
12.0,1399,465.70906
2.0,850,487.233081
5.0,1167,512.001463
3.0,1083,533.687939
4.0,1151,557.929688
5.0,1274,585.568644
5.0,1213,611.367249
4.0,1071,631.665366
5.0,1388,658.060899
6.0,1603,689.967542
4.0,1122,712.280981
7.0,1039,732.757169
7.0,1688,764.867145
7.0,1099,787.572351
